,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,195.31,419.96,189.8,233.9,342.68,251.39,399.81,253.21,288.99,373.09,564.59,1023.54,563.28,592.63,773.37,588.31,719.74,910.07,721.49,818.87,1837.96,762.74,703.34,925.26,697.96,1352.01,1677.71,1343.81,3,3,3,3,3,3
1,"Amchitka, AK, Site",AMC,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,6.2,0.0,0.0,0.0,0.0,0.79,3.67,0.48,0,0,0,0,0,3
2,"Bluewater, NM, Disposal Site",BLU,NM,195.31,419.96,189.8,233.9,342.68,251.39,399.81,253.21,288.99,373.09,564.59,1023.54,563.28,592.63,773.37,588.31,719.74,910.07,721.49,818.87,1837.96,762.74,703.34,925.26,697.96,1352.01,1677.71,1343.81,3,3,3,3,3,3
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,5133.9,6072.72,5134.1,5353.15,5801.57,5544.81,5981.12,5556.67,5706.0,5922.17,5977.24,6934.68,5987.82,6009.94,6501.93,5992.98,6318.0,6777.33,6330.55,6387.72,7936.11,6356.44,6229.9,6655.77,6239.92,7261.02,7723.19,7264.91,3,3,3,3,3,3
4,"Bronco, CO, Site",BRO,CO,210.72,451.68,203.21,248.96,365.87,273.16,422.37,268.24,312.55,400.9,570.72,1046.3,568.95,603.39,793.03,589.86,726.75,938.36,712.53,825.74,1851.36,757.79,707.22,914.55,703.34,1365.02,1711.37,1351.88,3,3,3,3,3,3
5,"Burrell, PA, Disposal Site",BUR,PA,638.57,959.5,624.8,696.74,852.38,728.77,898.26,730.68,786.1,871.32,1127.0,1658.6,1143.97,1165.28,1376.87,1166.9,1286.38,1535.53,1271.83,1429.62,2507.51,1370.42,1317.1,1553.4,1300.47,2097.7,2390.54,2099.11,3,3,3,3,3,3
6,"Burris Park, CA, Site",BRP,CA,1727.92,2204.38,1721.14,1814.73,2026.85,1860.56,2126.6,1851.64,1925.09,2090.0,2463.29,3215.86,2477.06,2484.17,2786.55,2471.77,2719.23,3048.41,2713.34,2846.26,4226.62,2794.55,2719.09,3058.96,2706.15,3696.77,4075.79,3668.03,3,3,3,3,3,3
7,"Canonsburg, PA, Disposal Site",CAN,PA,695.53,1026.14,681.69,756.77,911.45,788.95,960.16,790.97,846.87,935.0,1196.94,1742.68,1214.95,1236.06,1454.43,1238.49,1362.16,1613.56,1346.02,1506.82,2608.19,1444.75,1392.67,1636.33,1382.17,2191.55,2494.27,2184.67,3,3,3,3,3,3
8,"Casper, WY, Calibration Model",CSC,WY,360.19,654.9,353.06,411.97,554.75,429.06,597.72,426.13,476.73,572.99,754.91,1260.99,755.89,797.0,1011.77,781.74,906.01,1136.89,897.16,1036.73,2087.51,963.23,919.34,1134.95,927.43,1644.48,1964.37,1629.7,3,3,3,3,3,3
9,"Central Nevada Test Area, NV",CNT,NV,345.99,615.09,335.69,389.91,513.51,423.06,595.6,420.18,460.86,566.07,783.32,1289.3,789.17,796.94,973.13,788.9,958.24,1187.76,929.33,1061.32,2086.9,1004.51,950.64,1185.2,951.48,1670.91,1968.93,1663.29,3,3,3,3,3,3
