,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_max,hist_min,rcp45_mean,rcp45_std,rcp45_max,rcp45_min,rcp85_mean,rcp85_std,rcp85_max,rcp85_min,1990_2019_mean,1990_2019_std,1990_2019_min,1990_2019_max,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,-0.015235573888547058,0.32907241955016314,0.7713732282795657,-0.5864254272720442,-0.37980055684001157,0.2875685265782356,0.348833456387881,-1.0255182261063154,-0.6990146328797245,0.42720358290010807,0.2377344533063809,-1.6180717068651276,-0.12662659263700315,0.29610493733040316,-0.5864254272720442,0.7713732282795657,3.0,-2.077898414962557
1,"Amchitka, AK, Site",AMC,AK,0.01914194117444595,0.27610949701611176,0.5627071774784372,-0.5099531356227547,0.49166198024638913,0.2607946344314297,1.0588260130067204,-0.1397719136988034,1.1637110346837427,0.679465739126262,2.48212639467928,-0.0281493500705424,0.12827892284150588,0.2640362785951076,-0.3186095967188553,0.7112614621200777,3.0,3.0
2,"Bluewater, NM, Disposal Site",BLU,NM,-0.01550814362498664,0.32930375428105924,0.8018502466323532,-0.589491404046546,-0.3837749096962474,0.28057945589899635,0.3546019276219184,-1.0085237239793878,-0.6901495048363772,0.4251460168183158,0.2259979795544021,-1.5766349330950085,-0.12924747608893172,0.297581828764785,-0.589491404046546,0.8018502466323532,3.0,-2.048690160500227
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,-0.015362822991299633,0.2692151833940618,0.489815827588595,-0.7245338345266243,-0.0952820630686058,0.27584877915418793,0.796759078576582,-0.7314464637480363,-0.6149690626644126,0.6778169141809041,0.5900703276358228,-2.09243588761329,-0.03367711953104718,0.2959566941110849,-0.7245338345266243,0.489815827588595,3.0,-2.227237825570349
4,"Bronco, CO, Site",BRO,CO,-0.0017759079499026595,0.2610343200329599,0.4988259106005367,-0.4983252974982544,-0.25734285776762084,0.3141272970825529,0.5344084682814683,-1.2113880547817877,-0.538403360178391,0.389886043973399,0.355008601882978,-1.4226684560055136,-0.03169892349520854,0.26375627525780876,-0.4983252974982544,0.4988259106005367,3.0,-2.0557735556026895
5,"Burrell, PA, Disposal Site",BUR,PA,0.005955311370099093,0.24278739611997827,0.4006339421964289,-0.5558218826912612,0.30171690334582624,0.3600864673449545,1.201171851591023,-0.7554426493739225,0.2705287201418787,0.293812440282928,0.94195627163663,-0.5865669495351766,0.0094666565132635,0.2450123042616548,-0.5558218826912612,0.4006339421964289,3.0,3.0
6,"Burris Park, CA, Site",BRP,CA,0.006487312039575383,0.2595499606374914,0.6434707117745,-0.6281316162630457,-0.17738211294397227,0.2724334397949051,0.4517083872654819,-0.7115287246086202,-0.4258471535799524,0.3504030218414153,0.3574923204072879,-1.374167077733658,0.004934668945690216,0.23688745703196903,-0.6281316162630457,0.3574923204072879,3.0,3.0
7,"Canonsburg, PA, Disposal Site",CAN,PA,0.0005437657564991674,0.2144088124367933,0.35117117120952,-0.4783568924809778,0.2867154811843501,0.3418429885713589,1.194243093995633,-0.5850522425889361,0.24106856100370805,0.28118396830669634,0.8344992033707803,-0.637290364392627,0.009800434688361892,0.2175448883260694,-0.4783568924809778,0.316561646262828,3.0,3.0
8,"Casper, WY, Calibration Model",CSC,WY,-0.0005377121667143855,0.2529158284019438,0.7465539865514447,-0.4569567274188216,-0.13772021804270115,0.264767135603799,0.4163074148032462,-0.898318989324351,-0.4174861964781314,0.3269290126034923,0.3571398969772829,-1.1972040933005987,-0.02996306817779442,0.25937520000037073,-0.4569567274188216,0.7465539865514447,3.0,3.0
9,"Central Nevada Test Area, NV",CNT,NV,0.0050727373922358435,0.2426434082521923,0.7349466984826347,-0.6771737308544021,-0.21202987685294578,0.2770351948673676,0.7824788171104649,-1.0066902825721784,-0.5128354575865933,0.3619971789394567,0.3194132250314109,-1.4601708621100018,0.00029047891164081784,0.2022362095697141,-0.6771737308544021,0.3194132250314109,3.0,-2.134441643024316
