,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,1.06,4.24,0.88,1.5,2.89,1.09,3.05,0.86,1.35,2.7,1.31,5.43,1.05,1.15,3.33,0.86,1.28,3.19,1.0,1.27,5.14,0.93,1.1,3.1,1.05,1.52,3.57,1.38,1,1,0,1,1,2
1,"Amchitka, AK, Site",AMC,AK,2.32,6.9,2.07,3.0,4.98,2.32,4.76,2.19,2.96,4.42,3.57,9.76,3.36,3.61,6.33,3.52,4.26,8.1,3.86,4.62,12.29,4.38,4.49,8.05,4.38,6.24,10.81,5.95,2,2,2,2,2,3
2,"Bluewater, NM, Disposal Site",BLU,NM,1.06,4.24,0.88,1.5,2.89,1.09,3.05,0.86,1.35,2.7,1.31,5.43,1.05,1.15,3.33,0.86,1.28,3.19,1.0,1.27,5.14,0.93,1.1,3.1,1.05,1.52,3.57,1.38,1,1,0,1,1,2
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,2.35,10.14,1.79,2.88,6.21,2.22,5.71,1.81,2.72,5.18,2.0,9.52,1.43,2.28,6.29,1.57,1.98,6.05,1.43,2.1,11.1,1.43,2.09,5.57,1.57,1.08,3.9,0.67,0,0,0,0,0,0
4,"Bronco, CO, Site",BRO,CO,1.22,4.67,0.93,1.71,3.2,1.35,3.48,1.29,1.68,3.02,1.58,6.1,1.4,1.46,3.48,1.29,1.71,3.86,1.43,1.78,6.33,1.6,1.76,4.14,1.52,2.14,4.43,2.1,1,1,0,1,1,2
5,"Burrell, PA, Disposal Site",BUR,PA,2.07,6.0,1.9,2.64,4.57,2.22,4.57,2.14,2.64,4.19,2.8,7.57,2.62,2.77,5.0,2.76,3.05,5.33,3.14,3.37,9.1,3.19,3.11,6.29,2.95,4.1,7.43,3.9,1,2,2,2,2,2
6,"Burris Park, CA, Site",BRP,CA,0.46,3.1,0.05,0.57,1.93,0.54,2.05,0.29,0.53,1.78,0.57,3.95,0.19,0.51,1.95,0.14,0.58,2.14,0.38,0.67,4.24,0.21,0.53,2.0,0.19,0.85,2.81,0.52,1,1,0,1,0,1
7,"Canonsburg, PA, Disposal Site",CAN,PA,2.6,6.76,2.5,3.33,5.29,2.79,5.33,2.67,3.49,4.91,3.44,9.05,3.29,3.54,6.67,3.24,3.62,6.81,3.52,4.14,10.86,3.83,3.7,6.67,3.67,5.05,8.71,4.76,1,2,1,2,2,2
8,"Casper, WY, Calibration Model",CSC,WY,0.98,4.05,0.67,1.48,2.75,1.05,2.95,0.86,1.35,2.59,1.19,4.81,0.76,1.25,3.29,1.05,1.26,3.1,1.14,1.25,5.14,0.95,1.28,3.19,1.14,1.42,3.67,1.29,1,1,1,1,1,1
9,"Central Nevada Test Area, NV",CNT,NV,0.8,3.86,0.48,1.14,2.51,0.86,2.81,0.62,1.1,2.39,1.12,5.1,0.95,1.12,3.14,0.95,1.26,3.29,0.9,1.2,5.38,0.95,1.07,2.95,0.86,1.59,4.05,1.29,1,1,1,1,1,2
10,"Colonie, NY, Site",CLN,NY,1.37,4.48,1.19,1.83,3.33,1.49,3.57,1.24,1.88,3.27,1.93,6.33,1.67,1.85,4.14,1.67,2.15,4.67,1.9,2.43,7.43,2.29,2.34,4.67,2.19,3.02,5.76,2.71,1,2,1,2,2,2
11,"Durango, CO, Disposal Site",DUD,CO,1.23,5.0,1.0,1.57,3.26,1.27,3.43,1.0,1.52,3.01,1.52,5.76,1.24,1.57,3.81,1.33,1.49,3.81,1.33,1.6,6.24,1.43,1.53,3.62,1.29,2.05,4.71,1.81,1,1,1,1,1,2
12,"Durango, CO, Processing Site",DUP,CO,1.06,4.62,0.79,1.43,3.1,1.13,3.19,0.86,1.4,2.83,1.31,5.33,1.0,1.35,3.48,0.95,1.29,3.62,1.19,1.37,5.81,1.07,1.35,3.19,1.19,1.76,4.24,1.52,1,1,1,1,1,2
13,"Edgemont, SD, Disposal Site",EDG,SD,0.99,4.48,0.67,1.43,2.79,0.99,2.86,0.76,1.35,2.44,1.1,4.81,0.81,1.14,3.1,0.86,1.19,3.48,0.95,1.15,4.9,0.98,1.03,2.76,0.9,1.29,3.24,1.14,1,1,1,1,1,1
14,"Falls City, TX, Disposal Site",FCT,TX,1.23,4.95,0.86,1.57,3.5,1.17,3.29,0.95,1.54,2.9,1.42,6.48,1.1,1.4,4.05,1.14,1.52,3.76,1.33,1.45,6.67,1.0,1.36,4.24,0.86,1.49,4.1,1.0,1,1,1,1,0,1
15,"Fernald Preserve, OH, Site",FER,OH,2.12,6.57,1.95,2.6,4.85,2.17,4.38,2.19,2.82,4.04,2.89,7.81,2.55,2.84,5.95,2.57,3.16,5.86,3.1,3.42,9.38,3.19,3.51,6.48,3.52,4.14,7.62,3.95,1,2,1,2,2,2
16,"Gasbuggy, NM, Site",GSB,NM,1.0,4.29,0.76,1.31,2.82,0.99,2.71,0.81,1.33,2.37,1.23,4.71,1.05,1.26,3.14,1.24,1.22,3.0,1.05,1.29,5.57,1.12,1.22,3.14,1.05,1.63,3.95,1.43,1,1,1,1,1,2
17,"George West, TX, Calibration Model",GWC,TX,1.23,5.57,0.95,1.67,3.56,1.16,3.48,0.95,1.48,2.89,1.4,6.24,0.95,1.37,4.14,0.9,1.47,3.95,1.24,1.47,6.95,1.12,1.34,3.9,0.95,1.52,4.14,1.29,0,1,0,1,0,1
18,"Gnome-Coach, NM, Site",GNO,NM,0.44,2.62,0.21,0.57,1.68,0.55,1.86,0.33,0.74,1.59,0.43,2.86,0.1,0.41,1.43,0.14,0.49,1.67,0.24,0.46,3.19,0.17,0.46,1.81,0.14,0.53,1.95,0.19,0,0,0,0,0,0
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,1.07,4.38,0.86,1.33,3.01,1.14,3.24,0.9,1.39,2.82,1.34,5.76,0.98,1.25,3.24,1.24,1.53,3.67,1.33,1.45,5.38,1.14,1.5,3.86,1.24,1.86,4.33,1.67,1,1,1,1,1,2
20,"Grand Junction, CO, Calibration Model",GJC,CO,1.07,4.38,0.86,1.33,3.01,1.14,3.24,0.9,1.39,2.82,1.34,5.76,0.98,1.25,3.24,1.24,1.53,3.67,1.33,1.45,5.38,1.14,1.5,3.86,1.24,1.86,4.33,1.67,1,1,1,1,1,2
21,"Grand Junction, CO, Disposal Site",GRJ,CO,0.81,3.62,0.52,1.05,2.49,1.04,3.05,0.86,1.34,2.55,0.97,4.38,0.81,0.96,2.67,0.81,0.98,2.67,0.81,1.1,4.71,0.86,1.03,2.9,0.76,1.38,3.05,1.24,1,1,0,0,0,1
22,"Grand Junction, CO, Processing Site",GJT,CO,1.07,4.38,0.86,1.33,3.01,1.14,3.24,0.9,1.39,2.82,1.34,5.76,0.98,1.25,3.24,1.24,1.53,3.67,1.33,1.45,5.38,1.14,1.5,3.86,1.24,1.86,4.33,1.67,1,1,1,1,1,2
23,"Grand Junction, CO, Site",GJO,CO,1.07,4.38,0.86,1.33,3.01,1.14,3.24,0.9,1.39,2.82,1.34,5.76,0.98,1.25,3.24,1.24,1.53,3.67,1.33,1.45,5.38,1.14,1.5,3.86,1.24,1.86,4.33,1.67,1,1,1,1,1,2
24,"Grants, NM, Calibration Model",GNC,NM,1.06,4.24,0.88,1.5,2.89,1.09,3.05,0.86,1.35,2.7,1.31,5.43,1.05,1.15,3.33,0.86,1.28,3.19,1.0,1.27,5.14,0.93,1.1,3.1,1.05,1.52,3.57,1.38,1,1,0,1,1,2
25,"Green River, UT, Disposal Site",GRN,UT,0.64,3.14,0.33,0.79,2.18,0.68,2.24,0.33,0.86,1.91,0.81,4.19,0.62,0.68,2.24,0.38,0.87,2.71,0.62,0.82,3.86,0.5,0.8,2.43,0.52,1.07,2.9,0.9,1,1,1,1,1,2
26,"Gunnison, CO, Disposal Site",GUD,CO,0.72,3.33,0.57,1.02,2.17,0.83,2.43,0.62,1.08,2.12,0.94,4.38,0.67,0.83,2.29,0.71,0.94,2.57,0.71,1.05,4.81,0.76,1.02,2.86,0.76,1.44,3.52,1.14,1,1,1,1,1,2
27,"Gunnison, CO, Processing Site",GUP,CO,0.72,3.33,0.57,1.02,2.17,0.83,2.43,0.62,1.08,2.12,0.94,4.38,0.67,0.83,2.29,0.71,0.94,2.57,0.71,1.05,4.81,0.76,1.02,2.86,0.76,1.44,3.52,1.14,1,1,1,1,1,2
