,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,shifting_rcp45,shifting_rcp85
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,6180.665732435096,351.01199710964937,5297.656180376313,6986.683562796444,6178.070108054013,6265.984816414955,6365.48313049315,6476.336270446765,6605.856258239733,6728.712542386723,5096.574961329631,432.58232569360075,4039.3068637520837,6211.473382829927,5052.709056222088,4695.222231627108,758.7157838858072,3045.644055219371,6297.885935102177,4710.374207000723,0.0,0.0
1,"Amchitka, AK, Site",AMC,AK,9125.36444873886,309.68106634941256,8346.701578805092,9858.992872314439,9116.381124267564,9196.483453369126,9282.966082676463,9379.778805106014,9504.698026210224,9602.828368225082,7951.684027356847,487.22473523551344,6897.376471906375,9090.722862723198,7896.296830880286,7436.340473209818,914.8932500730208,5420.042043282631,9053.319851946135,7512.673783569321,0.0,0.0
2,"Bluewater, NM, Disposal Site",BLU,NM,6180.665732435096,351.01199710964937,5297.656180376313,6986.683562796444,6178.070108054013,6265.984816414955,6365.48313049315,6476.336270446765,6605.856258239733,6728.712542386723,5096.574961329631,432.58232569360075,4039.3068637520837,6211.473382829927,5052.709056222088,4695.222231627108,758.7157838858072,3045.644055219371,6297.885935102177,4710.374207000723,0.0,0.0
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,0.004525616704201034,0.023396736331710802,0.0,0.16264535086495174,0.0,0.0,0.0,0.0,0.0,0.0061859348842070346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Bronco, CO, Site",BRO,CO,7268.823088185042,420.8418273787369,6097.924451686302,8160.114494367314,7288.179769875651,7389.441893005358,7495.601868460505,7611.980999799443,7770.32191199165,7895.622233908504,6027.382463142772,548.5754491925603,4656.72017325264,7397.59214172362,6006.424953874849,5565.658517147158,891.485896054402,3656.283294677726,7481.002368643611,5589.317796173085,0.0,0.0
5,"Burrell, PA, Disposal Site",BUR,PA,5752.89748238465,422.19260199635426,4745.578123997269,6736.360468314025,5762.588068259092,5877.650773359015,5975.768905138277,6095.553987993502,6279.021014120909,6406.017951071591,4795.688674293619,466.3752701521508,3620.069039742596,6036.398986206044,4773.832039598727,4456.902385680123,687.0502586392951,2878.6566597202773,6003.788555385034,4456.489987923748,0.0,0.0
6,"Burris Park, CA, Site",BRP,CA,2014.6702769384497,225.05901659518435,1488.8340415736534,2573.7550898088643,2013.3247726440347,2069.8617173113066,2135.943442905963,2197.9888429478156,2283.6836454990853,2371.4449916294566,1499.0352846875755,262.12656512197645,919.3061362130247,2200.0290371268056,1483.5822574288436,1322.1754502696986,381.9567770067317,534.6390493338411,2258.316090436655,1316.767066519595,0.0,0.0
7,"Canonsburg, PA, Disposal Site",CAN,PA,5569.581952565241,415.0823989598287,4579.45193171909,6530.309365931908,5578.089471391941,5693.082613307399,5790.356824384404,5904.874633527472,6084.937716326022,6208.880768094733,4635.791254534774,456.9844237411658,3483.4789671543585,5838.801355111247,4615.97076714651,4304.397718446486,673.2742172555833,2756.809704851416,5812.099679957789,4302.377600882385,0.0,0.0
8,"Casper, WY, Calibration Model",CSC,WY,6913.468195413072,395.45530783373476,5854.022891322534,7793.398230983175,6916.6084860447345,7013.707977294909,7123.590033743711,7223.613739667608,7410.789028407493,7531.560021285997,5804.665596310849,506.1780798949922,4535.096010175422,7033.657470310745,5777.21787599835,5390.696496492972,800.2903385296456,3666.631961364738,7132.500997314443,5426.853769792818,0.0,0.0
9,"Central Nevada Test Area, NV",CNT,NV,6057.2734031863965,396.06403746656065,5100.494213954369,7025.0445267159475,6066.445290570929,6155.55471470423,6264.007507607586,6373.752232142845,6529.783385249534,6673.896045150744,4954.223683842002,473.2357120752291,3853.730947614388,6217.272208164748,4912.21457885741,4576.128994216213,756.9848132440633,2966.443463745109,6312.46687247139,4582.5777663748495,0.0,0.0
10,"Colonie, NY, Site",CLN,NY,6552.753654286898,365.1794728626228,5661.770329938607,7408.463657095761,6560.3813121468565,6657.5827945382125,6747.115704672666,6858.312542724598,6984.871217956534,7126.61723825726,5473.68027147042,467.8246466994714,4241.810872759129,6630.597575727179,5432.755088958731,5080.4102913844235,742.5625252816379,3369.2885714285635,6562.162872009268,5088.124994833801,0.0,0.0
11,"Durango, CO, Disposal Site",DUD,CO,6428.311470987735,392.8794802211168,5406.972994428351,7302.275750165655,6440.140924159447,6538.986224539609,6643.584484340112,6747.911221967412,6904.9769751412405,7005.3253388104995,5288.305291938871,471.8069134918895,4146.396536080488,6488.922572326648,5244.855033046167,4878.566876657122,796.4428616485047,3168.06167000906,6649.9396095929715,4897.651643981923,0.0,0.0
12,"Durango, CO, Processing Site",DUP,CO,8188.174515249277,433.6889634824086,7026.672705470481,9139.42100825717,8210.378546840107,8307.69943241663,8422.615310472747,8546.119280133915,8706.005346897657,8826.684624067018,6818.425328393925,543.6357626644608,5523.046996372756,8201.24587925501,6764.598295854828,6320.996011324235,939.5037264339944,4284.799773428771,8332.859405430372,6343.29451106479,0.0,0.0
13,"Edgemont, SD, Disposal Site",EDG,SD,6341.17229911881,387.916990919115,5334.909162946417,7237.07966744558,6352.386684003546,6440.415918317512,6538.996822618747,6646.410784214555,6818.5662206159195,6951.079707063936,5369.236763289103,469.83664099888347,4168.593818795331,6569.928290405263,5344.874666290273,5007.4249485277805,721.0769067163087,3406.7493015398213,6601.487775312139,5024.469258640825,0.0,0.0
14,"Falls City, TX, Disposal Site",FCT,TX,1100.824708118044,177.16764150515243,682.2166500418485,1514.1324819510264,1095.9640703909686,1143.7094518170984,1185.8406864711162,1251.9708072335325,1322.3489234270314,1391.7418982369502,762.534550316484,184.85623589549692,372.96935869489124,1268.6039848981538,750.6775913783442,646.055738317144,256.4540658908926,163.67915126255417,1306.4321612548774,633.7365900530098,0.0,0.0
15,"Fernald Preserve, OH, Site",FER,OH,5101.6791065449515,376.7435832985835,4177.609497375479,5980.831014447884,5114.608256007592,5208.428192138663,5309.74663835797,5414.810863603853,5559.009174455906,5670.815264413007,4251.2259787590965,425.8548906036753,3169.884909711557,5379.15353794642,4227.797957872654,3959.7281526160805,621.6193206685749,2508.985163399825,5379.35656502859,3953.702061832965,0.0,0.0
16,"Gasbuggy, NM, Site",GSB,NM,6706.435806340575,384.53746677816713,5707.267731366826,7582.329844142358,6707.111324332089,6806.718384050629,6908.766450958237,7010.678323974597,7180.223589303141,7288.199914594363,5574.921929262943,462.62294239175054,4453.479174673888,6760.423220520006,5525.325081242141,5163.032694275912,794.1116475380023,3426.874753156381,6899.555167497895,5184.52453475951,0.0,0.0
17,"George West, TX, Calibration Model",GWC,TX,898.231123436125,161.1515705022782,524.3658839634451,1277.7911370849556,893.0861298915271,933.82632882254,974.3504708426292,1034.241030622205,1104.3178683907595,1162.9830935232928,602.3985801874941,163.51868414646847,270.0981711251371,1061.7639236014186,589.6915902709925,505.1924978002268,221.1701756488815,106.50018729073543,1103.3976130022274,489.51962720598175,0.0,0.0
18,"Gnome-Coach, NM, Site",GNO,NM,2549.1431332023703,207.70952454437688,2036.0015399169847,3049.1396970040378,2553.618151506689,2596.7678003801548,2656.463087615959,2719.7895696149476,2802.2155390276153,2870.6944600786396,1959.9919974602012,259.0935198231037,1361.211189923962,2614.4566294206807,1948.0260847255095,1737.6876250316245,435.892882062426,809.1923706054642,2680.9949902343674,1752.582772434773,0.0,0.0
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,5674.0933495969075,394.5879474611712,4629.260733729762,6514.571386369967,5687.621381508952,5789.40596496581,5888.584664481015,5996.750009068069,6150.467399488167,6275.343040172021,4626.894952971031,475.4406073358795,3460.0286866106217,5859.968951721181,4600.091809278207,4245.605297031567,753.5721524169878,2633.6272998046807,5953.534420471182,4256.798430284763,0.0,0.0
20,"Grand Junction, CO, Calibration Model",GJC,CO,5674.0933495969075,394.5879474611712,4629.260733729762,6514.571386369967,5687.621381508952,5789.40596496581,5888.584664481015,5996.750009068069,6150.467399488167,6275.343040172021,4626.894952971031,475.4406073358795,3460.0286866106217,5859.968951721181,4600.091809278207,4245.605297031567,753.5721524169878,2633.6272998046807,5953.534420471182,4256.798430284763,0.0,0.0
21,"Grand Junction, CO, Disposal Site",GRJ,CO,6076.080137849135,395.07271605731,5017.460330941325,6916.653335222504,6092.9990289088555,6189.090799604132,6292.735441676537,6399.570900617317,6552.26734588622,6669.404621102458,4977.509790313865,483.0817272801376,3800.842012154706,6216.605311715252,4948.556729452939,4578.948778755155,779.7611501775666,2907.174818725578,6332.665406624919,4592.620512433724,0.0,0.0
22,"Grand Junction, CO, Processing Site",GJT,CO,5674.0933495969075,394.5879474611712,4629.260733729762,6514.571386369967,5687.621381508952,5789.40596496581,5888.584664481015,5996.750009068069,6150.467399488167,6275.343040172021,4626.894952971031,475.4406073358795,3460.0286866106217,5859.968951721181,4600.091809278207,4245.605297031567,753.5721524169878,2633.6272998046807,5953.534420471182,4256.798430284763,0.0,0.0
23,"Grand Junction, CO, Site",GJO,CO,5674.0933495969075,394.5879474611712,4629.260733729762,6514.571386369967,5687.621381508952,5789.40596496581,5888.584664481015,5996.750009068069,6150.467399488167,6275.343040172021,4626.894952971031,475.4406073358795,3460.0286866106217,5859.968951721181,4600.091809278207,4245.605297031567,753.5721524169878,2633.6272998046807,5953.534420471182,4256.798430284763,0.0,0.0
24,"Grants, NM, Calibration Model",GNC,NM,6180.665732435096,351.01199710964937,5297.656180376313,6986.683562796444,6178.070108054013,6265.984816414955,6365.48313049315,6476.336270446765,6605.856258239733,6728.712542386723,5096.574961329631,432.58232569360075,4039.3068637520837,6211.473382829927,5052.709056222088,4695.222231627108,758.7157838858072,3045.644055219371,6297.885935102177,4710.374207000723,0.0,0.0
25,"Green River, UT, Disposal Site",GRN,UT,5225.392439083946,387.6344634472109,4256.9960037667315,6085.689553222646,5233.955368826721,5328.94863621302,5425.801498522067,5535.94823678152,5711.041105978819,5839.687016972122,4241.2947471112,450.349864403072,3146.7358415440076,5445.0100599452335,4211.242399139396,3899.552435021666,695.2547080979751,2420.513473423542,5559.789777396057,3898.4169134085437,0.0,0.0
26,"Gunnison, CO, Disposal Site",GUD,CO,10296.641742918038,442.0251933481772,9025.463758065345,11241.45909872871,10331.145485796229,10429.48775107246,10537.935428248798,10656.30466387066,10821.417446528827,10930.91584558758,8825.348189498201,608.3515624184686,7373.014167742034,10307.296392429884,8786.432415902262,8225.855272156952,1083.368449621788,5798.264544154566,10409.62213701519,8262.834132080063,0.0,0.0
27,"Gunnison, CO, Processing Site",GUP,CO,10296.641742918038,442.0251933481772,9025.463758065345,11241.45909872871,10331.145485796229,10429.48775107246,10537.935428248798,10656.30466387066,10821.417446528827,10930.91584558758,8825.348189498201,608.3515624184686,7373.014167742034,10307.296392429884,8786.432415902262,8225.855272156952,1083.368449621788,5798.264544154566,10409.62213701519,8262.834132080063,0.0,0.0
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,5837.327339155226,385.9004192490094,4876.250920148567,6735.427034955695,5834.358447025834,5928.903752005431,6034.516456952765,6147.901934596461,6306.080144871294,6453.525993020184,4962.129293385826,445.5980190239218,3800.9146455601212,6152.542585536403,4938.895596444256,4627.033348573253,671.0683456241838,3078.8174659074984,6166.680905064165,4638.435599234436,0.0,0.0
29,"L-Bar, NM, Disposal Site",BAR,NM,5584.306399441921,329.7216533398741,4752.06155770437,6349.056184474389,5576.907567879802,5661.297418518055,5759.085823974597,5853.463112313395,5984.20528651645,6101.94900677271,4586.271419394687,401.6060706330556,3600.0584807477594,5626.177352120524,4543.016121738969,4213.849510153903,706.8038677661671,2675.7042426844923,5711.888849051327,4226.757671530578,0.0,0.0
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,2319.040193456524,232.12570041169437,1799.3169795444958,2915.8407012939356,2313.0594777570363,2373.7834137834734,2439.2108977399466,2502.0689304024745,2604.5066064889006,2693.413444606227,1763.3065495353706,284.4133737584125,1121.6438883754122,2508.5179740687695,1742.9011332920543,1569.1573605337333,412.60094015804185,724.4469919259157,2562.529646780823,1569.8598057774066,0.0,0.0
31,"Lakeview, OR, Disposal Site",LKD,OR,6865.8981716257085,382.49270557108275,5945.804048767076,7824.9799251447275,6857.263513096388,6951.93042585099,7056.580160544247,7173.98996643065,7343.217903812938,7480.305685043322,5734.490351719003,496.5089745750017,4560.030988943907,6977.884073573509,5690.100750252848,5345.616866311755,767.1287294374649,3700.7777545165923,7008.328415483736,5365.724307534342,0.0,0.0
32,"Lakeview, OR, Processing Site",LKP,OR,6418.082268855802,376.0908833490421,5528.0006431797465,7365.488988865431,6407.128615243082,6500.913771841852,6602.449984784796,6719.78527718679,6892.08069124493,7025.181816264549,5330.239873110381,481.4855248162991,4196.904643293098,6540.844653974248,5284.422608228399,4958.711211104919,740.2562425120879,3379.959061104902,6577.576218218108,4976.308152661994,0.0,0.0
33,"Lowman, ID, Disposal Site",LOW,ID,8046.627149940008,424.30355828170315,6953.130961042119,8987.057995343877,8058.536600341785,8158.447167837948,8269.875674394867,8390.577065865638,8561.10356722149,8703.860773489801,6696.016494076495,593.8690455556815,5299.937201276496,8165.087095816461,6636.323201904284,6218.6978317269895,923.4748333734864,4317.935974295471,8156.6720990426065,6218.143241250163,0.0,0.0
34,"Maxey Flats, KY, Disposal Site",MAX,KY,4577.749852411689,378.62728944844883,3661.82292681012,5460.66035356793,4579.2396879577545,4680.006404462532,4782.723119506826,4901.898817792612,5036.022326921726,5160.215601141784,3800.058699365672,410.9564789750001,2758.4993723842003,4894.172149701791,3786.3075954764145,3531.4212841866365,583.561713748162,2164.468939993716,4901.9777248273485,3528.1759271022174,0.0,0.0
35,"Maybell West, CO, Disposal Site",MAW,CO,7623.62378493405,423.7509963848277,6426.75084599085,8527.027251107342,7640.135650612956,7749.574117736804,7853.826454772936,7972.271697910842,8128.427077571311,8249.305291900622,6354.22352009046,556.5023344945845,4967.0018385096855,7731.953110569532,6326.6729915509795,5883.48397942771,904.3229290060781,3938.314649876177,7816.572328055235,5904.888019627152,0.0,0.0
36,"Maybell, CO, Disposal Site",MAY,CO,8135.551648566562,432.60075537411075,6904.340228838227,9058.072757088785,8150.394579009997,8265.625185416071,8371.46649440219,8496.4739905221,8650.338564256926,8770.18380416869,6802.921017783212,569.0957766234746,5396.299321812209,8202.910645446766,6773.539873482829,6309.416058429371,937.0341669581421,4282.951445617667,8292.768212149469,6330.262478376106,0.0,0.0
37,"Mexican Hat, UT, Disposal Site",HAT,UT,4766.121203804784,345.2188880564163,3926.888538033613,5556.795328194744,4776.99188232421,4866.2277631923025,4943.751797899508,5056.91578818184,5190.74280179704,5310.899235610951,3845.619594743993,398.2281785343778,2877.04749258858,4897.8757836478,3812.3235534667874,3517.9456456990715,645.3755891466304,2138.1122638811316,5017.640665413982,3530.4286166817715,0.0,0.0
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,6899.68504570006,402.2206430837024,5869.057653939372,7786.858951633986,6912.158465161991,7005.25686322892,7130.492251150937,7226.416459568556,7390.373336617595,7509.107197113026,5712.0715704469685,489.01019905148416,4521.501645769381,6967.344961504244,5670.303006678979,5289.040827856083,813.3235638754884,3534.0155927821493,7110.512553928909,5307.392156590043,0.0,0.0
39,"Monument Valley, AZ, Processing Site",MON,AZ,5147.866517139347,346.05017439698054,4298.36532963343,5932.220417436862,5159.198595973413,5250.85034916468,5325.962534768229,5432.520826764776,5568.522006814129,5685.450780628738,4188.30259012923,406.2464538283346,3190.6810186767493,5252.213973475854,4151.092941393163,3844.0448657017773,670.9197084676396,2397.169072309214,5372.40132559639,3857.126839185433,0.0,0.0
40,"Mound, OH, Site",MND,OH,5289.107080672117,379.7963054811561,4358.071275678353,6175.173192269451,5302.85553338186,5394.530657348623,5498.557314278728,5606.169137834814,5750.969576786575,5857.857680576858,4417.053239663591,433.0162105466059,3318.024820600229,5563.563653651636,4393.0563014439085,4118.005835910777,635.5126567693957,2637.732585449212,5553.687415684282,4113.797701721183,0.0,0.0
41,"Naturita, CO, Disposal Site",NAD,CO,5905.119158004438,394.7563966773272,4882.628723100924,6768.279348188116,5919.6282523890795,6006.257039271751,6124.660215192511,6221.544012669144,6395.242165527331,6499.081038894642,4822.293405562629,469.34554795901977,3686.998581978925,6041.615952845971,4790.628254568907,4437.3681321400845,757.3688499487675,2825.9130821881895,6168.091333007802,4451.77630746023,0.0,0.0
42,"Naturita, CO, Processing Site",NAP,CO,6228.462344964464,396.75091111106025,5195.298660975855,7094.095577261778,6242.220116751523,6338.287857317231,6449.512750156936,6553.912785906099,6715.729453669946,6821.450873827242,5106.3165808396725,476.49770145811186,3948.5988296508704,6333.585407148076,5073.218229479099,4706.724025457308,781.5740415946848,3038.3178174699974,6473.625997183652,4720.90098526,0.0,0.0
43,"Parkersburg, WV, Disposal Site",PKB,WV,5146.579062295242,396.54579528957413,4186.457864379874,6066.371778433653,5154.270809086379,5259.598703395289,5358.996826913008,5474.4140583583185,5633.926216321662,5754.34556992666,4281.29420410313,433.0870971242573,3179.9247181483597,5436.67141645158,4269.9402744402105,3978.1351617686637,630.3530648546265,2503.962049124574,5401.418072771335,3977.4875608825596,0.0,0.0
