,Name,NameMnemonic,StateCode,1990_2019_mean,1990_2019_std,1990_2019_max
0,"Ambrosia Lake, NM, Disposal Site",AMB,NM,28.56325439929852,12.141495772195176,61.27190353082759
1,"Amchitka, AK, Site",AMC,AK,21.476760613296204,6.04401707878482,38.693198322185445
2,"Bluewater, NM, Disposal Site",BLU,NM,28.56325439929852,12.141495772195176,61.27190353082759
3,"BONUS, PR, Decommissioned Reactor Site",BON,PR,95.31030419782685,52.23453852303642,280.8465943272625
4,"Bronco, CO, Site",BRO,CO,22.773506637809458,8.009850911851823,45.470282674900126
5,"Burrell, PA, Disposal Site",BUR,PA,59.78116710060118,21.527942216510105,127.32912706477302
6,"Burris Park, CA, Site",BRP,CA,32.422337614876106,17.122986577619113,82.87415078708104
7,"Canonsburg, PA, Disposal Site",CAN,PA,48.25684637189132,13.929690619268234,84.81711521744728
8,"Casper, WY, Calibration Model",CSC,WY,23.118589571768904,8.939287952174615,47.74063921400479
9,"Central Nevada Test Area, NV",CNT,NV,27.312282475486874,12.888636646429305,68.26992251777223
10,"Colonie, NY, Site",CLN,NY,44.55086508068473,15.184243992871597,88.11102067785603
11,"Durango, CO, Disposal Site",DUD,CO,31.082812512954103,11.800243927001672,65.5044319906405
12,"Durango, CO, Processing Site",DUP,CO,37.9430109442308,13.91624422935547,76.63384710571596
13,"Edgemont, SD, Disposal Site",EDG,SD,29.07821660404888,11.503503552931468,61.382213088550735
14,"Falls City, TX, Disposal Site",FCT,TX,61.58099690030143,29.024875838467512,148.72619562915392
15,"Fernald Preserve, OH, Site",FER,OH,49.663361562920606,15.2886806152812,91.21235311031342
16,"Gasbuggy, NM, Site",GSB,NM,29.907392840855408,11.308015323126043,62.90843671719943
17,"George West, TX, Calibration Model",GWC,TX,60.03540967971893,27.03286592666405,138.1835446293865
18,"Gnome-Coach, NM, Site",GNO,NM,38.83611318802123,21.691333385829545,106.99767691216299
19,"Grand Junction Regional Airport, CO, Calibration Model",GAC,CO,24.59405097133237,10.04783264611342,55.96238804448928
20,"Grand Junction, CO, Calibration Model",GJC,CO,24.59405097133237,10.04783264611342,55.96238804448928
21,"Grand Junction, CO, Disposal Site",GRJ,CO,25.803295886969845,10.424262412457262,56.244997440704275
22,"Grand Junction, CO, Processing Site",GJT,CO,24.59405097133237,10.04783264611342,55.96238804448928
23,"Grand Junction, CO, Site",GJO,CO,24.59405097133237,10.04783264611342,55.96238804448928
24,"Grants, NM, Calibration Model",GNC,NM,28.56325439929852,12.141495772195176,61.27190353082759
25,"Green River, UT, Disposal Site",GRN,UT,15.979376833901965,8.10947000417286,43.387768297855345
26,"Gunnison, CO, Disposal Site",GUD,CO,37.550191414941644,16.01127703672375,87.78551401836532
27,"Gunnison, CO, Processing Site",GUP,CO,37.550191414941644,16.01127703672375,87.78551401836532
28,"Hallam, NE, Decommissioned Reactor Site",HAL,NE,51.1577530995727,21.81618997078232,124.45609468434539
29,"L-Bar, NM, Disposal Site",BAR,NM,29.899949108518825,12.489587574205158,63.46602426575763
30,"Laboratory for Energy-Related Health Research, CA, Site",LEH,CA,74.25394281859651,49.068758319926914,254.92143056222372
31,"Lakeview, OR, Disposal Site",LKD,OR,26.98240054718544,9.974662332603186,57.25766976497003
32,"Lakeview, OR, Processing Site",LKP,OR,28.642878618797866,10.39670480543769,58.224678318947554
33,"Lowman, ID, Disposal Site",LOW,ID,35.07144518421384,12.20566512812716,67.45932434818575
34,"Maxey Flats, KY, Disposal Site",MAX,KY,60.063703694000026,20.19186947943553,120.08462899497577
35,"Maybell West, CO, Disposal Site",MAW,CO,21.799756430337215,7.710218123092747,43.41345296374389
36,"Maybell, CO, Disposal Site",MAY,CO,24.497054335707112,8.713433681787551,49.75370377568262
37,"Mexican Hat, UT, Disposal Site",HAT,UT,20.147468729731465,8.975323304275197,45.16580178003226
38,"Monticello, UT, Disposal and Processing Sites",MNT,UT,26.965928946167526,11.691612083453176,60.2808093386037
39,"Monument Valley, AZ, Processing Site",MON,AZ,22.544106625116846,10.272486894954508,51.874226251883165
40,"Mound, OH, Site",MND,OH,48.447236521031904,15.970328516971124,95.50472452704396
41,"Naturita, CO, Disposal Site",NAD,CO,27.46350730980374,12.240991928177618,64.99298047274351
42,"Naturita, CO, Processing Site",NAP,CO,30.685220388902042,14.096007504073436,75.08029296462026
43,"Parkersburg, WV, Disposal Site",PKB,WV,49.95392475144139,16.389543376170398,98.7179855416928
44,"Pinellas County, FL, Site",PIN,FL,79.18811113770884,37.889915774913796,207.69984740763903
45,"Piqua, OH, Decommissioned Reactor Site",PIQ,OH,48.156495983001264,16.421408914376993,94.19380205550364
46,"Pre-Gondola and Trencher, MT, Site",PGD,MT,25.838403897176455,11.453917376028002,60.29774641085948
47,"Pre-Schooner II, ID, Site",PSC,ID,20.521209985728884,7.851609914833073,43.88138013226645
48,"Rifle New, CO, Processing Site",RFN,CO,31.590114560395744,12.249326956579559,66.22768438288143
49,"Rifle Old, CO, Processing Site",RFO,CO,31.590114560395744,12.249326956579559,66.22768438288143
50,"Rifle, CO, Disposal Site",RFL,CO,31.590114560395744,12.249326956579559,66.22768438288143
51,"Rio Blanco, CO, Site",RBL,CO,25.045625747667785,9.473144684863566,52.21540922565119
52,"Riverton, WY, Processing Site",RVT,WY,19.922755585164477,7.321945536150914,40.40902790480426
53,"Rocky Flats, CO, Site",RFS,CO,30.155699762855225,12.45700897569628,65.54170595481992
54,"Rulison, CO, Site",RUL,CO,32.99559272316473,12.985828398564914,68.62257241404482
55,"Salmon, MS, Site",SAL,MS,91.06432768869502,35.887859221909366,188.40825424662657
56,"Salt Lake City, UT, Disposal Site",SLD,UT,20.268889877651564,8.398846641366267,44.53778109912361
57,"Salt Lake City, UT, Processing Site",SLP,UT,38.05348681873215,13.55607507919614,75.86260424660784
58,"Sherwood, WA, Disposal Site",SHE,WA,21.194668668505773,7.680899728227736,43.01857012989266
59,"Shiprock, NM, Disposal Site",SHP,NM,20.897673576521996,8.820987747901265,46.85313157471163
60,"Shirley Basin South, WY, Disposal Site",SBS,WY,21.963434139486825,8.256410214905205,44.87139377743006
61,"Shoal, NV, Site",SHL,NV,15.925666439665823,7.393386900277324,37.20993721591575
62,"SiteAPlotM, IL, Decommissioned Reactor Site",SAM,IL,52.342334141257446,18.587554133566158,101.16689793233361
63,"Slick Rock East, CO, Processing Site",SRE,CO,28.78167035523802,13.401002761541966,70.41134479056511
64,"Slick Rock West, CO, Processing Site",SRW,CO,28.78167035523802,13.401002761541966,70.41134479056511
65,"Slick Rock, CO, Disposal Site",SRD,CO,28.78167035523802,13.401002761541966,70.41134479056511
66,"Spook, WY, Disposal Site",SPK,WY,25.33015627402519,9.653083107316634,52.39001265061753
67,"Tonopah Test Range, NV, Site",TTR,NV,18.413350254519763,9.926200846164486,50.05978238103645
68,"Tuba City, AZ, Disposal Site",TUB,AZ,25.26441349365789,10.93483690195795,53.9619855449668
69,"Utah, UT, Site",UTA,UT,16.253660526470703,6.279490285317461,33.59505509558533
70,"Weldon Spring, MO, Site",WEL,MO,51.730912196876595,20.320338883871077,121.89300041645765
