date,mean
2006-12-31,5.33
2007-12-31,5.48
2008-12-31,5.64
2009-12-31,5.55
2010-12-31,5.55
2011-12-31,5.53
2012-12-31,5.51
2013-12-31,5.65
2014-12-31,5.56
2015-12-31,5.56
2016-12-31,5.76
2017-12-31,5.7
2018-12-31,5.81
2019-12-31,5.68
2020-12-31,5.69
2021-12-31,5.75
2022-12-31,5.9
2023-12-31,5.93
2024-12-31,5.87
2025-12-31,6.03
2026-12-31,6.15
2027-12-31,6.03
2028-12-31,6.11
2029-12-31,6.25
2030-12-31,6.12
2031-12-31,6.26
2032-12-31,6.25
2033-12-31,6.28
2034-12-31,6.17
2035-12-31,6.26
2036-12-31,6.31
2037-12-31,6.3
2038-12-31,6.16
2039-12-31,6.35
2040-12-31,6.39
2041-12-31,6.34
2042-12-31,6.37
2043-12-31,6.42
2044-12-31,6.42
2045-12-31,6.48
2046-12-31,6.62
2047-12-31,6.57
2048-12-31,6.6
2049-12-31,6.6
2050-12-31,6.65
2051-12-31,6.78
2052-12-31,6.64
2053-12-31,6.7
2054-12-31,6.81
2055-12-31,6.78
2056-12-31,6.73
2057-12-31,6.81
2058-12-31,6.87
2059-12-31,6.88
2060-12-31,6.97
2061-12-31,7.03
2062-12-31,7.06
2063-12-31,7.02
2064-12-31,6.98
2065-12-31,6.96
2066-12-31,6.99
2067-12-31,6.91
2068-12-31,6.99
2069-12-31,7.0
2070-12-31,7.11
2071-12-31,7.06
2072-12-31,7.11
2073-12-31,7.15
2074-12-31,7.16
2075-12-31,7.11
2076-12-31,7.2
2077-12-31,7.32
2078-12-31,7.22
2079-12-31,7.3
2080-12-31,7.27
2081-12-31,7.35
2082-12-31,7.22
2083-12-31,7.24
2084-12-31,7.16
2085-12-31,7.16
2086-12-31,7.2
2087-12-31,7.23
2088-12-31,7.18
2089-12-31,7.16
2090-12-31,7.16
2091-12-31,7.19
2092-12-31,7.31
2093-12-31,7.33
2094-12-31,7.25
2095-12-31,7.33
2096-12-31,7.2
2097-12-31,7.32
2098-12-31,7.35
2099-12-31,7.4
