date,mean
2006-12-31,1.8
2007-12-31,1.86
2008-12-31,1.85
2009-12-31,1.76
2010-12-31,1.72
2011-12-31,1.78
2012-12-31,1.8
2013-12-31,1.84
2014-12-31,1.73
2015-12-31,1.84
2016-12-31,1.8
2017-12-31,1.83
2018-12-31,1.78
2019-12-31,1.85
2020-12-31,1.9
2021-12-31,1.93
2022-12-31,1.83
2023-12-31,1.83
2024-12-31,1.81
2025-12-31,1.83
2026-12-31,1.81
2027-12-31,1.86
2028-12-31,1.88
2029-12-31,1.86
2030-12-31,1.9
2031-12-31,1.85
2032-12-31,1.85
2033-12-31,1.88
2034-12-31,1.89
2035-12-31,1.94
2036-12-31,1.87
2037-12-31,1.86
2038-12-31,1.91
2039-12-31,1.86
2040-12-31,1.86
2041-12-31,1.94
2042-12-31,1.92
2043-12-31,1.9
2044-12-31,1.96
2045-12-31,1.92
2046-12-31,1.9
2047-12-31,1.9
2048-12-31,1.87
2049-12-31,1.81
2050-12-31,1.94
2051-12-31,1.91
2052-12-31,1.96
2053-12-31,1.86
2054-12-31,1.95
2055-12-31,1.91
2056-12-31,1.95
2057-12-31,1.95
2058-12-31,1.86
2059-12-31,1.9
2060-12-31,1.93
2061-12-31,1.9
2062-12-31,1.87
2063-12-31,1.89
2064-12-31,1.92
2065-12-31,1.94
2066-12-31,1.98
2067-12-31,1.98
2068-12-31,2.01
2069-12-31,1.99
2070-12-31,1.86
2071-12-31,1.91
2072-12-31,1.97
2073-12-31,1.97
2074-12-31,1.95
2075-12-31,1.96
2076-12-31,1.97
2077-12-31,2.02
2078-12-31,2.03
2079-12-31,1.97
2080-12-31,1.96
2081-12-31,1.99
2082-12-31,1.95
2083-12-31,1.98
2084-12-31,1.99
2085-12-31,1.97
2086-12-31,2.04
2087-12-31,2.01
2088-12-31,1.95
2089-12-31,2.01
2090-12-31,2.01
2091-12-31,1.99
2092-12-31,1.97
2093-12-31,1.96
2094-12-31,1.99
2095-12-31,2.01
2096-12-31,2.01
2097-12-31,1.99
2098-12-31,1.99
2099-12-31,1.96
