,historical,rcp45,rcp85
1950-12-31,23.55,,
1951-12-31,19.67,,
1952-12-31,18.24,,
1953-12-31,20.37,,
1954-12-31,21.97,,
1955-12-31,19.91,,
1956-12-31,21.42,,
1957-12-31,17.64,,
1958-12-31,22.34,,
1959-12-31,22.39,,
1960-12-31,20.74,,
1961-12-31,19.41,,
1962-12-31,20.12,,
1963-12-31,18.86,,
1964-12-31,18.93,,
1965-12-31,20.14,,
1966-12-31,20.89,,
1967-12-31,20.93,,
1968-12-31,19.49,,
1969-12-31,19.55,,
1970-12-31,21.31,,
1971-12-31,20.22,,
1972-12-31,20.96,,
1973-12-31,19.85,,
1974-12-31,20.55,,
1975-12-31,20.26,,
1976-12-31,20.88,,
1977-12-31,18.74,,
1978-12-31,21.23,,
1979-12-31,21.09,,
1980-12-31,24.84,,
1981-12-31,18.79,,
1982-12-31,20.8,,
1983-12-31,18.77,,
1984-12-31,23.06,,
1985-12-31,22.06,,
1986-12-31,21.77,,
1987-12-31,19.62,,
1988-12-31,18.97,,
1989-12-31,21.89,,
1990-12-31,22.79,,
1991-12-31,18.72,,
1992-12-31,19.93,,
1993-12-31,19.72,,
1994-12-31,19.57,,
1995-12-31,21.21,,
1996-12-31,22.18,,
1997-12-31,22.47,,
1998-12-31,19.16,,
1999-12-31,19.76,,
2000-12-31,19.84,,
2001-12-31,18.59,,
2002-12-31,21.42,,
2003-12-31,20.4,,
2004-12-31,22.43,,
2005-12-31,21.38,,
2006-12-31,,22.23,25.78
2007-12-31,,21.71,22.55
2008-12-31,,23.56,22.49
2009-12-31,,20.09,21.05
2010-12-31,,19.81,24.59
2011-12-31,,20.87,21.25
2012-12-31,,21.34,22.23
2013-12-31,,23.0,23.73
2014-12-31,,19.26,22.25
2015-12-31,,20.98,21.62
2016-12-31,,22.33,22.57
2017-12-31,,19.44,22.11
2018-12-31,,21.1,21.03
2019-12-31,,22.87,20.78
2020-12-31,,21.48,23.27
2021-12-31,,21.36,23.48
2022-12-31,,20.91,22.64
2023-12-31,,20.51,22.16
2024-12-31,,21.28,23.82
2025-12-31,,21.63,21.76
2026-12-31,,22.18,22.69
2027-12-31,,22.09,24.73
2028-12-31,,22.35,23.92
2029-12-31,,20.46,21.89
2030-12-31,,20.89,21.1
2031-12-31,,21.86,24.65
2032-12-31,,23.31,22.82
2033-12-31,,22.22,24.76
2034-12-31,,23.36,24.89
2035-12-31,,23.91,23.35
2036-12-31,,23.06,26.01
2037-12-31,,23.74,23.52
2038-12-31,,22.33,24.33
2039-12-31,,22.03,22.84
2040-12-31,,20.89,21.07
2041-12-31,,22.5,25.47
2042-12-31,,22.64,22.83
2043-12-31,,22.86,22.52
2044-12-31,,23.47,22.22
2045-12-31,,21.79,24.8
2046-12-31,,22.7,25.26
2047-12-31,,24.59,26.89
2048-12-31,,21.93,23.9
2049-12-31,,22.36,24.14
2050-12-31,,23.39,25.11
2051-12-31,,24.03,24.98
2052-12-31,,22.88,25.04
2053-12-31,,23.53,24.95
2054-12-31,,23.49,23.81
2055-12-31,,24.45,27.77
2056-12-31,,23.03,29.96
2057-12-31,,23.57,26.15
2058-12-31,,20.4,25.12
2059-12-31,,25.09,26.92
2060-12-31,,23.81,26.41
2061-12-31,,23.13,29.03
2062-12-31,,22.66,24.65
2063-12-31,,22.69,25.53
2064-12-31,,21.88,28.81
2065-12-31,,24.03,26.74
2066-12-31,,22.46,25.43
2067-12-31,,23.3,28.62
2068-12-31,,24.06,25.27
2069-12-31,,24.25,23.07
2070-12-31,,20.61,26.78
2071-12-31,,24.84,26.65
2072-12-31,,23.25,24.46
2073-12-31,,22.81,26.7
2074-12-31,,24.47,24.99
2075-12-31,,22.89,27.39
2076-12-31,,22.1,25.48
2077-12-31,,25.03,26.66
2078-12-31,,25.56,24.68
2079-12-31,,25.06,25.04
2080-12-31,,21.79,26.07
2081-12-31,,24.26,25.5
2082-12-31,,22.79,31.54
2083-12-31,,23.88,25.68
2084-12-31,,24.32,26.6
2085-12-31,,21.4,30.78
2086-12-31,,22.12,26.41
2087-12-31,,25.63,28.28
2088-12-31,,22.19,27.02
2089-12-31,,24.7,28.34
2090-12-31,,24.25,25.51
2091-12-31,,23.1,27.46
2092-12-31,,24.39,28.07
2093-12-31,,25.29,29.09
2094-12-31,,24.66,29.46
2095-12-31,,22.53,29.53
2096-12-31,,25.8,28.1
2097-12-31,,25.01,28.49
2098-12-31,,25.31,28.58
2099-12-31,,21.12,29.92
