date,mean
2006-12-31,0.87
2007-12-31,0.82
2008-12-31,0.83
2009-12-31,0.82
2010-12-31,0.9
2011-12-31,0.78
2012-12-31,0.77
2013-12-31,0.86
2014-12-31,0.78
2015-12-31,0.96
2016-12-31,0.91
2017-12-31,0.83
2018-12-31,0.89
2019-12-31,0.94
2020-12-31,0.8
2021-12-31,0.85
2022-12-31,0.82
2023-12-31,0.93
2024-12-31,0.82
2025-12-31,0.93
2026-12-31,0.85
2027-12-31,0.98
2028-12-31,0.81
2029-12-31,0.83
2030-12-31,0.87
2031-12-31,0.88
2032-12-31,0.85
2033-12-31,0.89
2034-12-31,0.81
2035-12-31,0.96
2036-12-31,0.93
2037-12-31,0.82
2038-12-31,0.89
2039-12-31,0.83
2040-12-31,0.81
2041-12-31,0.87
2042-12-31,0.84
2043-12-31,0.79
2044-12-31,0.84
2045-12-31,0.86
2046-12-31,0.88
2047-12-31,0.77
2048-12-31,0.87
2049-12-31,0.86
2050-12-31,0.92
2051-12-31,0.83
2052-12-31,0.81
2053-12-31,0.86
2054-12-31,0.78
2055-12-31,0.9
2056-12-31,0.81
2057-12-31,0.83
2058-12-31,0.88
2059-12-31,0.96
2060-12-31,0.91
2061-12-31,0.81
2062-12-31,0.86
2063-12-31,0.75
2064-12-31,0.83
2065-12-31,0.84
2066-12-31,0.86
2067-12-31,0.9
2068-12-31,0.78
2069-12-31,0.79
2070-12-31,0.94
2071-12-31,0.8
2072-12-31,0.92
2073-12-31,0.85
2074-12-31,0.74
2075-12-31,0.82
2076-12-31,0.92
2077-12-31,0.84
2078-12-31,0.89
2079-12-31,0.86
2080-12-31,0.83
2081-12-31,0.92
2082-12-31,0.79
2083-12-31,0.93
2084-12-31,0.82
2085-12-31,0.88
2086-12-31,0.95
2087-12-31,0.92
2088-12-31,0.86
2089-12-31,0.91
2090-12-31,0.87
2091-12-31,0.9
2092-12-31,0.83
2093-12-31,0.82
2094-12-31,0.78
2095-12-31,0.8
2096-12-31,0.8
2097-12-31,0.92
2098-12-31,0.85
2099-12-31,0.83
