date,spei
1981-12-31,0.41
1982-12-31,0.22
1983-12-31,-0.04
1984-12-31,0.33
1985-12-31,0.43
1986-12-31,-0.21
1987-12-31,-0.18
1988-12-31,0.03
1989-12-31,0.53
1990-12-31,0.9
1991-12-31,0.21
1992-12-31,0.16
1993-12-31,0.35
1994-12-31,0.05
1995-12-31,-0.14
1996-12-31,-0.02
1997-12-31,0.08
1998-12-31,-0.04
1999-12-31,-0.3
2000-12-31,0.26
2001-12-31,-0.15
2002-12-31,0.11
2003-12-31,-0.39
2004-12-31,-0.58
2005-12-31,-0.02
2006-12-31,-0.14
2007-12-31,-0.44
2008-12-31,-0.29
2009-12-31,-0.46
2010-12-31,-0.41
2011-12-31,-0.08
2012-12-31,0.33
2013-12-31,-0.48
2014-12-31,-0.54
