,historical,rcp45,rcp85
1950-12-31,29.73,,
1951-12-31,26.91,,
1952-12-31,24.93,,
1953-12-31,28.75,,
1954-12-31,26.61,,
1955-12-31,25.13,,
1956-12-31,31.96,,
1957-12-31,29.71,,
1958-12-31,31.85,,
1959-12-31,27.57,,
1960-12-31,33.53,,
1961-12-31,25.59,,
1962-12-31,31.42,,
1963-12-31,34.34,,
1964-12-31,29.3,,
1965-12-31,32.58,,
1966-12-31,29.19,,
1967-12-31,29.61,,
1968-12-31,30.89,,
1969-12-31,31.15,,
1970-12-31,29.02,,
1971-12-31,29.42,,
1972-12-31,28.81,,
1973-12-31,37.13,,
1974-12-31,31.74,,
1975-12-31,29.01,,
1976-12-31,33.67,,
1977-12-31,28.93,,
1978-12-31,25.57,,
1979-12-31,30.91,,
1980-12-31,26.81,,
1981-12-31,29.35,,
1982-12-31,30.02,,
1983-12-31,30.81,,
1984-12-31,32.69,,
1985-12-31,25.47,,
1986-12-31,29.11,,
1987-12-31,32.64,,
1988-12-31,29.28,,
1989-12-31,30.58,,
1990-12-31,27.59,,
1991-12-31,34.44,,
1992-12-31,27.0,,
1993-12-31,37.12,,
1994-12-31,30.41,,
1995-12-31,30.03,,
1996-12-31,31.18,,
1997-12-31,27.25,,
1998-12-31,29.49,,
1999-12-31,31.27,,
2000-12-31,34.48,,
2001-12-31,27.85,,
2002-12-31,25.31,,
2003-12-31,29.76,,
2004-12-31,33.75,,
2005-12-31,25.89,,
2006-12-31,,32.54,31.51
2007-12-31,,31.62,30.49
2008-12-31,,32.8,30.13
2009-12-31,,34.59,22.8
2010-12-31,,30.47,29.8
2011-12-31,,31.28,28.44
2012-12-31,,31.46,26.45
2013-12-31,,32.68,28.91
2014-12-31,,33.38,27.9
2015-12-31,,31.95,34.95
2016-12-31,,31.05,31.22
2017-12-31,,29.65,29.74
2018-12-31,,27.65,31.95
2019-12-31,,24.07,32.18
2020-12-31,,30.54,24.97
2021-12-31,,28.4,30.68
2022-12-31,,30.22,25.32
2023-12-31,,27.13,32.88
2024-12-31,,31.9,30.15
2025-12-31,,37.05,29.52
2026-12-31,,30.34,31.82
2027-12-31,,27.35,32.4
2028-12-31,,32.72,29.78
2029-12-31,,29.4,31.91
2030-12-31,,30.3,33.18
2031-12-31,,28.5,27.36
2032-12-31,,28.06,27.33
2033-12-31,,31.65,31.73
2034-12-31,,27.93,32.18
2035-12-31,,34.44,33.12
2036-12-31,,34.39,34.59
2037-12-31,,28.66,27.11
2038-12-31,,28.43,31.49
2039-12-31,,31.07,31.25
2040-12-31,,29.55,26.76
2041-12-31,,25.9,31.31
2042-12-31,,30.72,29.57
2043-12-31,,30.38,27.74
2044-12-31,,38.11,27.01
2045-12-31,,36.18,29.66
2046-12-31,,32.85,30.61
2047-12-31,,33.47,26.22
2048-12-31,,33.32,28.15
2049-12-31,,24.77,32.12
2050-12-31,,27.71,30.58
2051-12-31,,29.72,29.73
2052-12-31,,40.19,30.83
2053-12-31,,28.05,31.92
2054-12-31,,31.59,23.0
2055-12-31,,33.46,28.91
2056-12-31,,29.47,28.53
2057-12-31,,29.72,33.5
2058-12-31,,33.81,31.19
2059-12-31,,32.75,32.84
2060-12-31,,30.0,31.68
2061-12-31,,41.13,25.8
2062-12-31,,36.29,29.94
2063-12-31,,29.89,29.59
2064-12-31,,30.39,36.28
2065-12-31,,34.1,31.75
2066-12-31,,31.2,26.34
2067-12-31,,29.58,30.85
2068-12-31,,30.97,29.29
2069-12-31,,39.3,30.75
2070-12-31,,34.61,34.62
2071-12-31,,29.41,32.27
2072-12-31,,29.98,32.39
2073-12-31,,33.29,29.81
2074-12-31,,29.11,28.72
2075-12-31,,32.12,32.43
2076-12-31,,30.47,32.49
2077-12-31,,27.96,35.29
2078-12-31,,34.87,36.66
2079-12-31,,29.84,29.76
2080-12-31,,30.8,30.89
2081-12-31,,32.72,35.81
2082-12-31,,33.12,27.52
2083-12-31,,32.88,33.09
2084-12-31,,31.22,29.67
2085-12-31,,31.23,31.03
2086-12-31,,27.76,36.99
2087-12-31,,35.62,31.28
2088-12-31,,32.13,35.11
2089-12-31,,36.32,33.61
2090-12-31,,35.57,32.37
2091-12-31,,29.9,35.91
2092-12-31,,27.96,33.84
2093-12-31,,31.86,28.45
2094-12-31,,37.52,33.21
2095-12-31,,30.65,24.99
2096-12-31,,31.12,31.55
2097-12-31,,34.4,30.68
2098-12-31,,29.3,30.49
2099-12-31,,35.29,27.47
