date,mean
2006-12-31,30.49
2007-12-31,30.39
2008-12-31,30.29
2009-12-31,30.56
2010-12-31,30.46
2011-12-31,30.58
2012-12-31,30.58
2013-12-31,30.56
2014-12-31,30.74
2015-12-31,30.84
2016-12-31,30.74
2017-12-31,30.65
2018-12-31,30.64
2019-12-31,30.68
2020-12-31,30.66
2021-12-31,30.77
2022-12-31,30.78
2023-12-31,30.68
2024-12-31,30.81
2025-12-31,30.81
2026-12-31,31.03
2027-12-31,31.16
2028-12-31,30.93
2029-12-31,30.91
2030-12-31,30.74
2031-12-31,30.89
2032-12-31,31.02
2033-12-31,31.14
2034-12-31,30.98
2035-12-31,31.05
2036-12-31,30.99
2037-12-31,31.2
2038-12-31,31.19
2039-12-31,30.96
2040-12-31,31.12
2041-12-31,31.18
2042-12-31,31.29
2043-12-31,31.18
2044-12-31,31.35
2045-12-31,31.17
2046-12-31,31.11
2047-12-31,31.28
2048-12-31,31.19
2049-12-31,31.57
2050-12-31,31.36
2051-12-31,31.38
2052-12-31,31.41
2053-12-31,31.52
2054-12-31,31.4
2055-12-31,31.46
2056-12-31,31.31
2057-12-31,31.35
2058-12-31,31.35
2059-12-31,31.5
2060-12-31,31.6
2061-12-31,31.53
2062-12-31,31.58
2063-12-31,31.5
2064-12-31,31.54
2065-12-31,31.77
2066-12-31,31.74
2067-12-31,31.66
2068-12-31,31.69
2069-12-31,31.7
2070-12-31,31.65
2071-12-31,31.62
2072-12-31,31.63
2073-12-31,31.69
2074-12-31,31.72
2075-12-31,31.7
2076-12-31,31.71
2077-12-31,31.67
2078-12-31,31.69
2079-12-31,31.71
2080-12-31,31.79
2081-12-31,31.9
2082-12-31,31.95
2083-12-31,31.8
2084-12-31,31.69
2085-12-31,31.79
2086-12-31,31.83
2087-12-31,31.69
2088-12-31,31.81
2089-12-31,31.86
2090-12-31,31.86
2091-12-31,31.84
2092-12-31,31.95
2093-12-31,31.8
2094-12-31,31.55
2095-12-31,31.62
2096-12-31,31.63
2097-12-31,31.51
2098-12-31,31.78
2099-12-31,31.96
