,historical,rcp45,rcp85
1950-12-31,4959.8,,
1951-12-31,4909.97,,
1952-12-31,5006.9,,
1953-12-31,4845.42,,
1954-12-31,4979.37,,
1955-12-31,5010.31,,
1956-12-31,4994.96,,
1957-12-31,5029.93,,
1958-12-31,5090.53,,
1959-12-31,5132.55,,
1960-12-31,5051.72,,
1961-12-31,5025.96,,
1962-12-31,5021.26,,
1963-12-31,4905.83,,
1964-12-31,4780.92,,
1965-12-31,4913.68,,
1966-12-31,4803.68,,
1967-12-31,4782.68,,
1968-12-31,4892.54,,
1969-12-31,4839.77,,
1970-12-31,4999.43,,
1971-12-31,4935.5,,
1972-12-31,5006.94,,
1973-12-31,4865.5,,
1974-12-31,4872.22,,
1975-12-31,4907.0,,
1976-12-31,4994.18,,
1977-12-31,5037.74,,
1978-12-31,5030.55,,
1979-12-31,5087.03,,
1980-12-31,5153.18,,
1981-12-31,5179.47,,
1982-12-31,5084.07,,
1983-12-31,4913.57,,
1984-12-31,5029.28,,
1985-12-31,5108.18,,
1986-12-31,5163.53,,
1987-12-31,5242.81,,
1988-12-31,5244.45,,
1989-12-31,5318.7,,
1990-12-31,5423.48,,
1991-12-31,5315.37,,
1992-12-31,5042.68,,
1993-12-31,5178.86,,
1994-12-31,5209.49,,
1995-12-31,5258.1,,
1996-12-31,5363.64,,
1997-12-31,5523.62,,
1998-12-31,5509.51,,
1999-12-31,5522.97,,
2000-12-31,5639.27,,
2001-12-31,5696.63,,
2002-12-31,5699.62,,
2003-12-31,5689.95,,
2004-12-31,5658.38,,
2005-12-31,5615.62,,
2006-12-31,,5447.1,5432.31
2007-12-31,,5393.55,5355.65
2008-12-31,,5340.04,5435.19
2009-12-31,,5508.96,5645.46
2010-12-31,,5453.45,5519.7
2011-12-31,,5520.76,5483.01
2012-12-31,,5552.95,5499.05
2013-12-31,,5517.71,5499.49
2014-12-31,,5615.55,5621.64
2015-12-31,,5674.25,5553.7
2016-12-31,,5630.42,5582.64
2017-12-31,,5566.12,5695.48
2018-12-31,,5572.89,5726.27
2019-12-31,,5580.16,5705.82
2020-12-31,,5587.59,5593.39
2021-12-31,,5618.78,5634.39
2022-12-31,,5654.12,5751.73
2023-12-31,,5571.29,5706.22
2024-12-31,,5668.16,5647.81
2025-12-31,,5673.75,5664.02
2026-12-31,,5790.39,5859.9
2027-12-31,,5887.89,5926.62
2028-12-31,,5754.37,5885.71
2029-12-31,,5733.11,5836.83
2030-12-31,,5598.87,5858.82
2031-12-31,,5709.42,5839.44
2032-12-31,,5812.01,5779.36
2033-12-31,,5873.37,5910.16
2034-12-31,,5753.79,6014.29
2035-12-31,,5790.79,5814.78
2036-12-31,,5792.34,5944.25
2037-12-31,,5901.82,5966.25
2038-12-31,,5869.99,5997.62
2039-12-31,,5761.15,6156.27
2040-12-31,,5859.88,6091.75
2041-12-31,,5914.14,5972.61
2042-12-31,,5966.99,6013.22
2043-12-31,,5857.22,6097.8
2044-12-31,,6043.15,6165.87
2045-12-31,,5882.11,6155.83
2046-12-31,,5852.86,6179.91
2047-12-31,,5992.67,6114.52
2048-12-31,,5933.07,6215.38
2049-12-31,,6128.5,6206.7
2050-12-31,,6040.04,6233.43
2051-12-31,,6043.63,6266.79
2052-12-31,,6068.6,6278.56
2053-12-31,,6147.99,6418.0
2054-12-31,,6072.17,6374.88
2055-12-31,,6089.48,6446.86
2056-12-31,,5998.1,6399.14
2057-12-31,,6009.26,6494.45
2058-12-31,,5983.13,6583.57
2059-12-31,,6096.87,6474.15
2060-12-31,,6176.92,6533.33
2061-12-31,,6115.92,6506.74
2062-12-31,,6147.53,6475.25
2063-12-31,,6124.37,6592.64
2064-12-31,,6171.94,6620.5
2065-12-31,,6273.69,6600.47
2066-12-31,,6228.79,6725.77
2067-12-31,,6197.97,6682.19
2068-12-31,,6232.0,6645.71
2069-12-31,,6228.36,6725.71
2070-12-31,,6195.48,6759.23
2071-12-31,,6171.32,6863.98
2072-12-31,,6193.68,6918.54
2073-12-31,,6233.25,6987.39
2074-12-31,,6234.86,6857.59
2075-12-31,,6225.53,6969.35
2076-12-31,,6265.35,6819.07
2077-12-31,,6214.73,6979.68
2078-12-31,,6247.43,7025.24
2079-12-31,,6254.48,7096.97
2080-12-31,,6300.69,7010.29
2081-12-31,,6364.01,6928.98
2082-12-31,,6387.99,7113.8
2083-12-31,,6301.13,7038.73
2084-12-31,,6226.67,7168.25
2085-12-31,,6296.44,7050.35
2086-12-31,,6327.81,7104.53
2087-12-31,,6251.45,7280.15
2088-12-31,,6320.12,7153.98
2089-12-31,,6342.07,7206.5
2090-12-31,,6314.37,7317.38
2091-12-31,,6325.25,7413.26
2092-12-31,,6407.8,7451.93
2093-12-31,,6276.68,7371.12
2094-12-31,,6124.99,7266.93
2095-12-31,,6163.7,7459.4
2096-12-31,,6214.24,7532.89
2097-12-31,,6128.9,7548.6
2098-12-31,,6308.11,7543.72
2099-12-31,,6202.42,7372.61
