date,spei
2015-12-31,0.38
2016-12-31,0.34
2017-12-31,0.38
2018-12-31,-0.12
2019-12-31,-0.26
2020-12-31,-0.14
2021-12-31,-0.08
2022-12-31,0.2
2023-12-31,-0.14
2024-12-31,-0.07
2025-12-31,0.01
2026-12-31,-0.34
2027-12-31,0.01
2028-12-31,0.29
2029-12-31,0.8
2030-12-31,-0.18
2031-12-31,0.25
2032-12-31,0.25
2033-12-31,0.39
2034-12-31,0.1
2035-12-31,-0.37
2036-12-31,-0.13
2037-12-31,-0.0
2038-12-31,-0.03
2039-12-31,-0.44
2040-12-31,-0.52
2041-12-31,-0.27
2042-12-31,0.32
2043-12-31,0.06
2044-12-31,0.02
2045-12-31,0.15
2046-12-31,0.06
2047-12-31,-0.28
2048-12-31,-0.39
2049-12-31,-0.24
2050-12-31,-0.18
2051-12-31,-0.2
2052-12-31,-0.3
2053-12-31,-0.73
2054-12-31,-0.46
2055-12-31,0.03
2056-12-31,0.04
2057-12-31,-0.32
2058-12-31,-0.32
2059-12-31,-0.36
2060-12-31,-0.11
2061-12-31,0.14
2062-12-31,0.33
2063-12-31,-0.44
2064-12-31,-0.32
2065-12-31,-0.39
2066-12-31,-0.5
2067-12-31,-0.18
2068-12-31,0.02
2069-12-31,-0.22
2070-12-31,-0.28
2071-12-31,0.22
2072-12-31,0.14
2073-12-31,-0.07
2074-12-31,-0.21
2075-12-31,-0.35
2076-12-31,-0.13
2077-12-31,-0.24
2078-12-31,-0.33
2079-12-31,0.21
2080-12-31,-0.32
2081-12-31,-0.43
2082-12-31,-0.29
2083-12-31,-0.3
2084-12-31,-0.15
2085-12-31,-0.15
2086-12-31,-0.49
2087-12-31,0.05
2088-12-31,0.22
2089-12-31,-0.46
2090-12-31,-0.35
2091-12-31,0.06
2092-12-31,-0.32
2093-12-31,0.0
2094-12-31,-0.32
2095-12-31,0.07
2096-12-31,0.19
2097-12-31,-0.25
2098-12-31,-0.23
2099-12-31,0.22
2100-12-31,0.5
