date,mean
2006-12-31,16.61
2007-12-31,16.63
2008-12-31,16.64
2009-12-31,16.56
2010-12-31,16.43
2011-12-31,16.72
2012-12-31,17.04
2013-12-31,16.67
2014-12-31,17.05
2015-12-31,16.71
2016-12-31,16.74
2017-12-31,17.02
2018-12-31,17.22
2019-12-31,17.16
2020-12-31,17.25
2021-12-31,17.25
2022-12-31,17.25
2023-12-31,17.23
2024-12-31,17.48
2025-12-31,17.1
2026-12-31,17.25
2027-12-31,17.2
2028-12-31,17.58
2029-12-31,17.61
2030-12-31,17.9
2031-12-31,17.54
2032-12-31,17.39
2033-12-31,17.91
2034-12-31,17.84
2035-12-31,18.08
2036-12-31,17.87
2037-12-31,18.31
2038-12-31,18.01
2039-12-31,18.16
2040-12-31,18.19
2041-12-31,18.22
2042-12-31,18.41
2043-12-31,18.41
2044-12-31,18.19
2045-12-31,18.44
2046-12-31,18.7
2047-12-31,18.66
2048-12-31,18.6
2049-12-31,18.86
2050-12-31,18.96
2051-12-31,18.84
2052-12-31,18.89
2053-12-31,19.22
2054-12-31,19.33
2055-12-31,19.28
2056-12-31,19.28
2057-12-31,19.61
2058-12-31,19.57
2059-12-31,19.63
2060-12-31,19.56
2061-12-31,19.72
2062-12-31,19.8
2063-12-31,19.97
2064-12-31,20.01
2065-12-31,19.99
2066-12-31,19.94
2067-12-31,20.23
2068-12-31,20.66
2069-12-31,20.68
2070-12-31,20.64
2071-12-31,20.62
2072-12-31,20.46
2073-12-31,20.68
2074-12-31,20.62
2075-12-31,21.0
2076-12-31,20.75
2077-12-31,21.11
2078-12-31,21.25
2079-12-31,21.13
2080-12-31,21.03
2081-12-31,21.4
2082-12-31,21.55
2083-12-31,21.32
2084-12-31,21.46
2085-12-31,21.28
2086-12-31,21.56
2087-12-31,21.57
2088-12-31,21.77
2089-12-31,21.74
2090-12-31,21.79
2091-12-31,21.89
2092-12-31,21.94
2093-12-31,22.36
2094-12-31,22.47
2095-12-31,22.0
2096-12-31,22.28
2097-12-31,22.25
2098-12-31,22.53
2099-12-31,23.68
