date,spei
2015-12-31,-0.12
2016-12-31,-0.37
2017-12-31,0.26
2018-12-31,0.39
2019-12-31,0.41
2020-12-31,0.26
2021-12-31,-0.04
2022-12-31,-0.02
2023-12-31,-0.35
2024-12-31,-0.7
2025-12-31,-0.67
2026-12-31,-0.32
2027-12-31,-0.6
2028-12-31,-0.47
2029-12-31,-0.3
2030-12-31,-0.12
2031-12-31,-0.39
2032-12-31,-0.03
2033-12-31,-0.19
2034-12-31,0.05
2035-12-31,-0.24
2036-12-31,0.0
2037-12-31,-0.3
2038-12-31,-0.08
2039-12-31,-0.13
2040-12-31,-0.23
2041-12-31,-0.65
2042-12-31,-0.39
2043-12-31,0.02
2044-12-31,-0.07
2045-12-31,-0.43
2046-12-31,-0.43
2047-12-31,0.07
2048-12-31,0.35
2049-12-31,0.53
2050-12-31,0.19
2051-12-31,-0.25
2052-12-31,-0.12
2053-12-31,-0.4
2054-12-31,-0.35
2055-12-31,-0.5
2056-12-31,-0.02
2057-12-31,-0.16
2058-12-31,0.06
2059-12-31,-0.35
2060-12-31,-0.46
2061-12-31,-0.79
2062-12-31,-0.48
2063-12-31,-0.29
2064-12-31,0.09
2065-12-31,-0.31
2066-12-31,-0.24
2067-12-31,-0.55
2068-12-31,-1.21
2069-12-31,-0.64
2070-12-31,0.18
2071-12-31,-0.44
2072-12-31,-0.75
2073-12-31,-0.6
2074-12-31,-0.69
2075-12-31,-0.81
2076-12-31,-0.33
2077-12-31,-0.8
2078-12-31,-0.5
2079-12-31,-0.47
2080-12-31,-0.13
2081-12-31,-0.37
2082-12-31,-0.53
2083-12-31,-0.11
2084-12-31,-0.36
2085-12-31,-0.71
2086-12-31,-0.16
2087-12-31,-0.11
2088-12-31,-0.25
2089-12-31,-0.07
2090-12-31,0.15
2091-12-31,-0.18
2092-12-31,-0.52
2093-12-31,-0.51
2094-12-31,-0.15
2095-12-31,-0.05
2096-12-31,0.03
2097-12-31,-0.5
2098-12-31,-0.29
2099-12-31,-0.14
2100-12-31,0.13
