date,mean
1950-12-31,25.04
1951-12-31,25.05
1952-12-31,24.93
1953-12-31,25.2
1954-12-31,25.11
1955-12-31,25.2
1956-12-31,25.01
1957-12-31,24.82
1958-12-31,24.83
1959-12-31,25.05
1960-12-31,24.95
1961-12-31,24.99
1962-12-31,25.19
1963-12-31,25.23
1964-12-31,24.75
1965-12-31,24.61
1966-12-31,24.59
1967-12-31,24.98
1968-12-31,24.82
1969-12-31,24.74
1970-12-31,24.76
1971-12-31,24.82
1972-12-31,24.85
1973-12-31,25.01
1974-12-31,24.88
1975-12-31,24.78
1976-12-31,24.84
1977-12-31,25.24
1978-12-31,25.14
1979-12-31,25.14
1980-12-31,25.27
1981-12-31,25.13
1982-12-31,24.99
1983-12-31,24.68
1984-12-31,25.02
1985-12-31,25.22
1986-12-31,25.22
1987-12-31,25.1
1988-12-31,25.36
1989-12-31,25.29
1990-12-31,25.41
1991-12-31,25.23
1992-12-31,24.95
1993-12-31,24.83
1994-12-31,25.44
1995-12-31,25.26
1996-12-31,25.35
1997-12-31,25.35
1998-12-31,25.75
1999-12-31,25.41
2000-12-31,25.64
2001-12-31,25.55
2002-12-31,25.84
2003-12-31,25.59
2004-12-31,25.7
2005-12-31,25.59
