date,mean
2006-12-31,0.6
2007-12-31,0.56
2008-12-31,0.56
2009-12-31,0.7
2010-12-31,0.56
2011-12-31,0.67
2012-12-31,0.6
2013-12-31,0.57
2014-12-31,0.68
2015-12-31,0.62
2016-12-31,0.68
2017-12-31,0.54
2018-12-31,0.61
2019-12-31,0.56
2020-12-31,0.6
2021-12-31,0.56
2022-12-31,0.65
2023-12-31,0.68
2024-12-31,0.61
2025-12-31,0.67
2026-12-31,0.61
2027-12-31,0.67
2028-12-31,0.59
2029-12-31,0.57
2030-12-31,0.56
2031-12-31,0.65
2032-12-31,0.6
2033-12-31,0.67
2034-12-31,0.52
2035-12-31,0.65
2036-12-31,0.66
2037-12-31,0.69
2038-12-31,0.63
2039-12-31,0.58
2040-12-31,0.61
2041-12-31,0.52
2042-12-31,0.6
2043-12-31,0.64
2044-12-31,0.74
2045-12-31,0.52
2046-12-31,0.51
2047-12-31,0.63
2048-12-31,0.64
2049-12-31,0.61
2050-12-31,0.64
2051-12-31,0.61
2052-12-31,0.63
2053-12-31,0.67
2054-12-31,0.64
2055-12-31,0.65
2056-12-31,0.61
2057-12-31,0.58
2058-12-31,0.51
2059-12-31,0.65
2060-12-31,0.63
2061-12-31,0.69
2062-12-31,0.64
2063-12-31,0.74
2064-12-31,0.59
2065-12-31,0.64
2066-12-31,0.61
2067-12-31,0.6
2068-12-31,0.59
2069-12-31,0.53
2070-12-31,0.62
2071-12-31,0.6
2072-12-31,0.54
2073-12-31,0.61
2074-12-31,0.64
2075-12-31,0.6
2076-12-31,0.61
2077-12-31,0.74
2078-12-31,0.72
2079-12-31,0.6
2080-12-31,0.65
2081-12-31,0.66
2082-12-31,0.64
2083-12-31,0.59
2084-12-31,0.75
2085-12-31,0.61
2086-12-31,0.63
2087-12-31,0.61
2088-12-31,0.66
2089-12-31,0.65
2090-12-31,0.7
2091-12-31,0.65
2092-12-31,0.59
2093-12-31,0.51
2094-12-31,0.53
2095-12-31,0.62
2096-12-31,0.61
2097-12-31,0.64
2098-12-31,0.65
2099-12-31,0.63
