date,mean
1950-12-31,16.6
1951-12-31,16.69
1952-12-31,16.64
1953-12-31,16.64
1954-12-31,16.48
1955-12-31,16.36
1956-12-31,16.52
1957-12-31,16.58
1958-12-31,16.57
1959-12-31,16.23
1960-12-31,16.81
1961-12-31,16.48
1962-12-31,16.51
1963-12-31,16.23
1964-12-31,16.07
1965-12-31,16.22
1966-12-31,16.45
1967-12-31,16.8
1968-12-31,16.35
1969-12-31,16.3
1970-12-31,16.48
1971-12-31,16.41
1972-12-31,16.57
1973-12-31,16.7
1974-12-31,16.52
1975-12-31,16.5
1976-12-31,16.33
1977-12-31,16.4
1978-12-31,16.69
1979-12-31,16.81
1980-12-31,16.63
1981-12-31,17.08
1982-12-31,16.68
1983-12-31,16.28
1984-12-31,16.52
1985-12-31,16.56
1986-12-31,17.04
1987-12-31,16.77
1988-12-31,16.55
1989-12-31,17.04
1990-12-31,16.77
1991-12-31,17.23
1992-12-31,16.18
1993-12-31,16.69
1994-12-31,17.1
1995-12-31,16.93
1996-12-31,17.06
1997-12-31,17.12
1998-12-31,17.14
1999-12-31,17.32
2000-12-31,17.37
2001-12-31,17.1
2002-12-31,17.38
2003-12-31,17.4
2004-12-31,17.24
2005-12-31,17.93
