date,mean
2006-12-31,17.3
2007-12-31,18.02
2008-12-31,17.41
2009-12-31,17.51
2010-12-31,17.53
2011-12-31,17.62
2012-12-31,17.6
2013-12-31,17.58
2014-12-31,18.14
2015-12-31,17.79
2016-12-31,17.75
2017-12-31,17.93
2018-12-31,17.76
2019-12-31,17.89
2020-12-31,17.97
2021-12-31,17.91
2022-12-31,17.93
2023-12-31,17.93
2024-12-31,17.96
2025-12-31,18.27
2026-12-31,18.36
2027-12-31,18.38
2028-12-31,18.28
2029-12-31,18.16
2030-12-31,18.48
2031-12-31,18.34
2032-12-31,18.4
2033-12-31,18.59
2034-12-31,18.53
2035-12-31,18.64
2036-12-31,18.73
2037-12-31,18.36
2038-12-31,18.82
2039-12-31,18.83
2040-12-31,18.84
2041-12-31,18.9
2042-12-31,18.8
2043-12-31,18.9
2044-12-31,18.81
2045-12-31,19.01
2046-12-31,19.25
2047-12-31,18.95
2048-12-31,18.82
2049-12-31,18.89
2050-12-31,18.77
2051-12-31,18.9
2052-12-31,19.14
2053-12-31,19.13
2054-12-31,19.25
2055-12-31,19.14
2056-12-31,19.41
2057-12-31,19.38
2058-12-31,19.24
2059-12-31,19.27
2060-12-31,19.16
2061-12-31,19.28
2062-12-31,19.56
2063-12-31,19.46
2064-12-31,19.22
2065-12-31,19.43
2066-12-31,19.42
2067-12-31,19.27
2068-12-31,19.21
2069-12-31,19.58
2070-12-31,19.47
2071-12-31,19.69
2072-12-31,19.41
2073-12-31,19.55
2074-12-31,19.56
2075-12-31,19.49
2076-12-31,19.58
2077-12-31,19.66
2078-12-31,19.63
2079-12-31,19.43
2080-12-31,19.64
2081-12-31,19.6
2082-12-31,20.02
2083-12-31,19.93
2084-12-31,19.57
2085-12-31,19.74
2086-12-31,19.47
2087-12-31,19.73
2088-12-31,19.48
2089-12-31,19.49
2090-12-31,19.48
2091-12-31,19.42
2092-12-31,19.71
2093-12-31,19.69
2094-12-31,19.77
2095-12-31,19.76
2096-12-31,19.53
2097-12-31,19.92
2098-12-31,19.78
2099-12-31,20.71
