,historical,rcp45,rcp85
1950-12-31,348.02861703055555,,
1951-12-31,314.83203517369157,,
1952-12-31,304.90360124860774,,
1953-12-31,319.61386335100735,,
1954-12-31,313.3654332624193,,
1955-12-31,301.367023838591,,
1956-12-31,359.04254333496385,,
1957-12-31,315.67395926339566,,
1958-12-31,302.93987112863005,,
1959-12-31,300.7238589041602,,
1960-12-31,321.0122779192272,,
1961-12-31,318.74722307477964,,
1962-12-31,329.8664799281561,,
1963-12-31,283.1615792410742,,
1964-12-31,270.32799909319465,,
1965-12-31,276.3668533761186,,
1966-12-31,268.5409263392883,,
1967-12-31,296.03724661691126,,
1968-12-31,305.33766392299395,,
1969-12-31,296.66419921875274,,
1970-12-31,279.73384120396486,,
1971-12-31,284.9764127022906,,
1972-12-31,307.285040283206,,
1973-12-31,329.11313075474624,,
1974-12-31,336.6752069091825,,
1975-12-31,294.98414053780954,,
1976-12-31,322.72392255510886,,
1977-12-31,343.99730259486904,,
1978-12-31,379.67433750697853,,
1979-12-31,341.6216661725754,,
1980-12-31,352.19168936593485,,
1981-12-31,401.84801661900417,,
1982-12-31,327.6626924351314,,
1983-12-31,294.2066946847125,,
1984-12-31,320.99710606166593,,
1985-12-31,365.8905712890657,,
1986-12-31,353.7681666782954,,
1987-12-31,351.798640398301,,
1988-12-31,366.67612775530444,,
1989-12-31,383.78112679618056,,
1990-12-31,363.1431873430556,,
1991-12-31,375.2393657575366,,
1992-12-31,315.04973589216235,,
1993-12-31,321.3190296282116,,
1994-12-31,376.35921299526007,,
1995-12-31,374.0302770996125,,
1996-12-31,389.18839538574537,,
1997-12-31,400.61113743373653,,
1998-12-31,460.2906422642333,,
1999-12-31,412.3267318289653,,
2000-12-31,428.38437848772674,,
2001-12-31,442.30314383370853,,
2002-12-31,444.576624930249,,
2003-12-31,455.79324323382025,,
2004-12-31,462.026726946153,,
2005-12-31,468.89919468471334,,
2006-12-31,,494.2127443150147,506.76146388462956
2007-12-31,,448.65231619699,509.1714069475483
2008-12-31,,499.99896118164423,516.5282477678606
2009-12-31,,501.11090323312305,481.8239858572858
2010-12-31,,475.04962576730264,475.32703430176133
2011-12-31,,499.9192779541051,530.8697774832625
2012-12-31,,567.812744576594,569.1671959577322
2013-12-31,,520.3579833112481,499.289816022604
2014-12-31,,538.1239882114992,568.0529316057517
2015-12-31,,513.3777932303326,570.4267205810584
2016-12-31,,518.7810916573695,517.1971653529612
2017-12-31,,523.0620670863595,546.9682150704557
2018-12-31,,579.141310076036,602.5921880231624
2019-12-31,,531.1800017438652,558.8189320591556
2020-12-31,,548.5457423618899,613.3010654994456
2021-12-31,,526.4040134102993,551.1676677594902
2022-12-31,,641.9606025913823,602.142160557342
2023-12-31,,582.4195328194791,651.1050782121969
2024-12-31,,609.9307818603555,647.7234224156011
2025-12-31,,633.091340419228,622.492644391745
2026-12-31,,649.892066127236,631.9878908865833
2027-12-31,,620.2989430454838,658.7657363455675
2028-12-31,,613.4268695068398,673.127683454245
2029-12-31,,708.5142049734976,685.1415756661593
2030-12-31,,641.2258263288264,742.7295872279619
2031-12-31,,657.6135849435028,692.0164913504503
2032-12-31,,684.5365883091558,689.1530001395129
2033-12-31,,672.0802969796356,705.8320714460141
2034-12-31,,679.0572920445074,719.5179534912148
2035-12-31,,717.6030119977719,748.0406033761202
2036-12-31,,723.280032348637,744.835663713732
2037-12-31,,700.528743634909,782.9905203683077
2038-12-31,,704.6196022251714,788.7818112618625
2039-12-31,,754.7896971784362,809.1522866385368
2040-12-31,,700.6109334891221,812.8696942138714
2041-12-31,,774.9017994907966,801.0409963553337
2042-12-31,,745.8887145124203,837.2003973388717
2043-12-31,,757.8112552315888,825.4907713099934
2044-12-31,,708.4329396275153,795.1881072998088
2045-12-31,,770.4848431396525,888.9642967878112
2046-12-31,,777.7564535958469,920.7748965890113
2047-12-31,,797.3104599435031,899.6993623570075
2048-12-31,,795.3288283865834,904.4252310616672
2049-12-31,,791.421962541857,943.5281287493069
2050-12-31,,825.8557023402666,967.2753014264835
2051-12-31,,805.8278997802778,970.7410623604959
2052-12-31,,790.0965617152664,1003.3846265520416
2053-12-31,,818.4099993896527,1056.9951724679177
2054-12-31,,813.7025588553336,1067.993974870959
2055-12-31,,828.0601354108582,1042.7901538957915
2056-12-31,,833.0549816022642,1087.6473425293018
2057-12-31,,861.0217294747533,1078.8368882533534
2058-12-31,,903.9395770263717,1008.4870710972425
2059-12-31,,841.3170022147084,1086.6213276018466
2060-12-31,,847.0859560721304,1090.6151556396533
2061-12-31,,878.4301092529344,1121.794712611612
2062-12-31,,895.8255692836262,1148.8468260846869
2063-12-31,,878.9957423618907,1166.5514521135656
2064-12-31,,822.437362670903,1215.6135282680018
2065-12-31,,852.8051197161034,1239.1994840785485
2066-12-31,,899.9217815290222,1229.9296546282137
2067-12-31,,901.9350267682801,1294.7961208670536
2068-12-31,,851.8178735351605,1300.8613929094638
2069-12-31,,905.8478800746419,1304.0270134626167
2070-12-31,,871.1678960309754,1264.2650759451783
2071-12-31,,982.4127655901275,1296.079720894955
2072-12-31,,947.9591639055573,1315.686564941412
2073-12-31,,911.3211567034086,1376.4223720877562
2074-12-31,,949.1752368164111,1404.4389309256471
