date,spei
2015-12-31,0.03
2016-12-31,-0.28
2017-12-31,-0.13
2018-12-31,0.45
2019-12-31,0.78
2020-12-31,0.32
2021-12-31,-0.45
2022-12-31,0.0
2023-12-31,-0.38
2024-12-31,-0.53
2025-12-31,-0.38
2026-12-31,-0.55
2027-12-31,-0.25
2028-12-31,-0.19
2029-12-31,-0.36
2030-12-31,-0.34
2031-12-31,-0.43
2032-12-31,-0.09
2033-12-31,0.06
2034-12-31,-0.41
2035-12-31,-0.39
2036-12-31,0.08
2037-12-31,-0.24
2038-12-31,-0.08
2039-12-31,-0.11
2040-12-31,-0.44
2041-12-31,-0.87
2042-12-31,-0.74
2043-12-31,-0.17
2044-12-31,-0.0
2045-12-31,-0.37
2046-12-31,0.0
2047-12-31,-0.14
2048-12-31,0.06
2049-12-31,0.19
2050-12-31,0.15
2051-12-31,-0.25
2052-12-31,-0.3
2053-12-31,-0.46
2054-12-31,-0.09
2055-12-31,-0.4
2056-12-31,-0.09
2057-12-31,-0.22
2058-12-31,-0.35
2059-12-31,-0.36
2060-12-31,-0.54
2061-12-31,-0.08
2062-12-31,-0.27
2063-12-31,-0.26
2064-12-31,-0.21
2065-12-31,-0.28
2066-12-31,0.04
2067-12-31,-0.17
2068-12-31,-1.01
2069-12-31,-0.53
2070-12-31,-0.04
2071-12-31,-0.53
2072-12-31,-0.39
2073-12-31,-0.23
2074-12-31,-0.13
2075-12-31,-0.04
2076-12-31,0.12
2077-12-31,-0.53
2078-12-31,-0.5
2079-12-31,-0.28
2080-12-31,-0.1
2081-12-31,-0.17
2082-12-31,-0.53
2083-12-31,-0.04
2084-12-31,-0.46
2085-12-31,-0.02
2086-12-31,0.03
2087-12-31,-0.22
2088-12-31,-0.42
2089-12-31,-0.26
2090-12-31,0.24
2091-12-31,-0.32
2092-12-31,-0.62
2093-12-31,-0.35
2094-12-31,0.09
2095-12-31,-0.05
2096-12-31,0.16
2097-12-31,-0.41
2098-12-31,-0.36
2099-12-31,0.06
2100-12-31,0.1
