,historical,rcp45,rcp85
1950-12-31,6188.12,,
1951-12-31,6062.31,,
1952-12-31,6087.03,,
1953-12-31,6045.15,,
1954-12-31,6088.56,,
1955-12-31,6056.13,,
1956-12-31,6114.56,,
1957-12-31,6208.63,,
1958-12-31,6185.67,,
1959-12-31,6120.22,,
1960-12-31,6143.5,,
1961-12-31,6018.56,,
1962-12-31,6104.15,,
1963-12-31,6015.14,,
1964-12-31,6279.13,,
1965-12-31,6352.98,,
1966-12-31,6348.86,,
1967-12-31,6181.83,,
1968-12-31,6304.21,,
1969-12-31,6287.81,,
1970-12-31,6255.44,,
1971-12-31,6228.46,,
1972-12-31,6268.9,,
1973-12-31,6169.3,,
1974-12-31,6269.26,,
1975-12-31,6126.26,,
1976-12-31,6235.51,,
1977-12-31,6071.54,,
1978-12-31,6144.05,,
1979-12-31,5991.08,,
1980-12-31,5989.98,,
1981-12-31,6035.83,,
1982-12-31,6149.1,,
1983-12-31,6279.71,,
1984-12-31,6145.32,,
1985-12-31,6027.04,,
1986-12-31,5895.98,,
1987-12-31,6045.08,,
1988-12-31,5913.02,,
1989-12-31,5903.63,,
1990-12-31,5948.07,,
1991-12-31,5881.56,,
1992-12-31,6198.34,,
1993-12-31,6114.57,,
1994-12-31,5932.46,,
1995-12-31,6098.26,,
1996-12-31,5964.18,,
1997-12-31,5887.79,,
1998-12-31,5704.92,,
1999-12-31,5873.27,,
2000-12-31,5761.01,,
2001-12-31,5865.08,,
2002-12-31,5737.38,,
2003-12-31,5797.8,,
2004-12-31,5670.57,,
2005-12-31,5434.98,,
2006-12-31,,5531.15,5581.03
2007-12-31,,5533.28,5582.12
2008-12-31,,5626.83,5678.15
2009-12-31,,5458.27,5741.99
2010-12-31,,5441.61,5770.33
2011-12-31,,5526.26,5541.34
2012-12-31,,5424.4,5462.56
2013-12-31,,5582.28,5637.77
2014-12-31,,5540.35,5480.85
2015-12-31,,5439.16,5502.8
2016-12-31,,5621.75,5495.11
2017-12-31,,5542.13,5308.56
2018-12-31,,5504.86,5310.87
2019-12-31,,5425.26,5424.08
2020-12-31,,5448.68,5412.02
2021-12-31,,5537.12,5371.75
2022-12-31,,5336.69,5310.86
2023-12-31,,5265.15,5246.43
2024-12-31,,5313.7,5294.62
2025-12-31,,5243.04,5303.0
2026-12-31,,5091.59,5206.06
2027-12-31,,5353.37,5290.62
2028-12-31,,5192.46,5104.85
2029-12-31,,5126.23,5053.0
2030-12-31,,5221.1,5051.77
2031-12-31,,5192.07,5246.53
2032-12-31,,5179.72,5347.76
2033-12-31,,5058.65,5076.46
2034-12-31,,5103.01,5106.96
2035-12-31,,5146.62,4945.68
2036-12-31,,5165.17,5113.48
2037-12-31,,5212.52,4936.1
2038-12-31,,5111.68,5009.11
2039-12-31,,5074.14,5008.37
2040-12-31,,5215.52,4948.1
2041-12-31,,5085.9,4876.4
2042-12-31,,5101.51,4877.31
2043-12-31,,5053.94,4832.98
2044-12-31,,5007.36,4972.78
2045-12-31,,4965.57,4848.17
2046-12-31,,4996.11,4778.59
2047-12-31,,4882.63,4809.28
2048-12-31,,4944.65,4742.77
2049-12-31,,4893.4,4678.71
2050-12-31,,4866.44,4590.96
2051-12-31,,4909.47,4652.94
2052-12-31,,4740.89,4611.67
2053-12-31,,4810.45,4560.45
2054-12-31,,4783.74,4544.48
2055-12-31,,4813.85,4488.69
2056-12-31,,5010.41,4528.07
2057-12-31,,4834.56,4398.38
2058-12-31,,4679.83,4411.84
2059-12-31,,4751.43,4358.09
2060-12-31,,4907.35,4374.3
2061-12-31,,4675.93,4380.29
2062-12-31,,4699.43,4370.88
2063-12-31,,4850.76,4329.23
2064-12-31,,4796.07,4332.91
2065-12-31,,4681.78,4281.58
2066-12-31,,4730.8,4222.38
2067-12-31,,4762.29,4250.26
2068-12-31,,4778.92,4031.14
2069-12-31,,4663.16,3986.26
2070-12-31,,4752.44,4022.47
2071-12-31,,4749.7,4092.99
2072-12-31,,4522.34,4057.65
2073-12-31,,4671.67,4050.83
2074-12-31,,4642.73,4089.13
2075-12-31,,4633.69,3954.5
2076-12-31,,4580.05,3996.71
2077-12-31,,4665.31,3988.27
2078-12-31,,4544.62,3834.08
2079-12-31,,4609.72,3906.11
2080-12-31,,4696.01,4041.61
2081-12-31,,4605.59,3826.13
2082-12-31,,4587.78,3715.85
2083-12-31,,4589.76,3910.77
2084-12-31,,4728.54,3838.86
2085-12-31,,4626.04,3756.27
2086-12-31,,4631.21,3636.15
2087-12-31,,4703.42,3741.12
2088-12-31,,4665.33,3655.98
2089-12-31,,4680.61,3660.95
2090-12-31,,4601.06,3691.57
2091-12-31,,4586.08,3655.77
2092-12-31,,4541.54,3675.29
2093-12-31,,4574.96,3560.24
2094-12-31,,4534.88,3529.77
2095-12-31,,4570.82,3625.9
2096-12-31,,4610.29,3556.85
2097-12-31,,4544.65,3485.22
2098-12-31,,4630.43,3451.36
2099-12-31,,4082.43,3124.87
