,historical,rcp45,rcp85
1950-12-31,357.80752197265923,,
1951-12-31,358.3459474400142,,
1952-12-31,344.63052655901527,,
1953-12-31,358.72696568080653,,
1954-12-31,339.8696946498355,,
1955-12-31,328.40596906389794,,
1956-12-31,347.9918901715989,,
1957-12-31,333.22423008510333,,
1958-12-31,291.5647390311131,,
1959-12-31,307.3957256208175,,
1960-12-31,354.01382402692826,,
1961-12-31,341.5381013706782,,
1962-12-31,322.8701190185576,,
1963-12-31,319.8457749721011,,
1964-12-31,293.28551138741904,,
1965-12-31,281.59663225446695,,
1966-12-31,275.1725150844054,,
1967-12-31,369.7339453125029,,
1968-12-31,308.32438380650393,,
1969-12-31,296.6789521135629,,
1970-12-31,321.03574968610764,,
1971-12-31,319.3987359619169,,
1972-12-31,333.46668073382,,
1973-12-31,332.6575303431949,,
1974-12-31,364.09826154436684,,
1975-12-31,295.41748107910433,,
1976-12-31,315.9808531842941,,
1977-12-31,360.8118284388981,,
1978-12-31,359.4691925048858,,
1979-12-31,351.98446236746935,,
1980-12-31,369.8919091796905,,
1981-12-31,405.274705723357,,
1982-12-31,329.10465053013695,,
1983-12-31,294.14172136579515,,
1984-12-31,350.8406779262027,,
1985-12-31,367.84559073312244,,
1986-12-31,346.6477544294114,,
1987-12-31,355.19407374791035,,
1988-12-31,375.9628202601872,,
1989-12-31,394.81067034040495,,
1990-12-31,392.6250458635633,,
1991-12-31,421.3750015694785,,
1992-12-31,296.043550676621,,
1993-12-31,320.87740609305536,,
1994-12-31,432.7622487095457,,
1995-12-31,362.5394526018445,,
1996-12-31,390.6015279715433,,
1997-12-31,385.642648402626,,
1998-12-31,443.61768319266497,,
1999-12-31,427.2604424176931,,
2000-12-31,451.49419215611385,,
2001-12-31,446.4844076974084,,
2002-12-31,474.4378128487758,,
2003-12-31,479.4988449532681,,
2004-12-31,488.36232587542196,,
2005-12-31,481.7972837611641,,
2006-12-31,,515.6899400983573,519.9718696812255
2007-12-31,,475.130010463173,509.1778334263427
2008-12-31,,498.9605606515101,552.4206739153217
2009-12-31,,500.3092480468783,483.07053065709033
2010-12-31,,508.0437557547469,507.6809546770402
2011-12-31,,521.4012682233572,503.8134001813649
2012-12-31,,550.265578700478,560.8403996058909
2013-12-31,,530.4734101213763,546.3150859723808
2014-12-31,,534.0711798095739,525.5689651925259
2015-12-31,,518.1034715053049,535.3069666399309
2016-12-31,,520.9671658761196,546.1458809988875
2017-12-31,,560.1592946951766,573.6571870640382
2018-12-31,,545.6517943464042,641.4001981026825
2019-12-31,,541.0563909040216,589.8139417375874
2020-12-31,,586.1023405238598,644.0855261230507
2021-12-31,,573.2286752755339,588.5783748953721
2022-12-31,,603.4155097307515,618.3943137904614
2023-12-31,,566.9728285435305,660.08849286761
2024-12-31,,573.40185904367,685.649693167554
2025-12-31,,610.5848524693118,598.6752942766499
2026-12-31,,628.5652273123644,594.71240818569
2027-12-31,,610.9425197928329,639.5289727783241
2028-12-31,,638.7117741176099,664.5478690011196
2029-12-31,,629.1302878243621,648.5395453752828
2030-12-31,,641.1032358224087,707.8281119210421
2031-12-31,,603.1280609130896,713.3682885742228
2032-12-31,,635.2081154087649,670.9707534354112
2033-12-31,,683.6917546735529,680.1795147705118
2034-12-31,,690.4760476248642,701.8619025530172
2035-12-31,,719.0381160191166,744.7506102643736
2036-12-31,,652.6483884102995,748.5843684605229
2037-12-31,,680.9575234549425,809.6566892787431
2038-12-31,,765.394615827292,761.6258764648478
2039-12-31,,693.6362116350485,715.8357053920239
2040-12-31,,698.2232634626155,786.4140621512319
2041-12-31,,720.9478843471022,754.4117269461535
2042-12-31,,723.8161782400989,795.6816170828724
2043-12-31,,739.2433987862763,801.8189627511204
2044-12-31,,656.4564483642616,776.4881827218234
2045-12-31,,798.9942615618065,873.9762885393459
2046-12-31,,790.5981857735811,855.3297623116672
2047-12-31,,790.4156250871972,886.4842512730233
2048-12-31,,765.8760765729673,925.9271002197311
2049-12-31,,802.6925055803613,955.2419077846029
2050-12-31,,819.3521764264832,908.5212744140672
2051-12-31,,783.7468340192565,931.6555565534363
2052-12-31,,790.0222526332351,941.6506418282688
2053-12-31,,831.2878225272084,995.2991285051664
2054-12-31,,750.9559353201771,1021.6927939278781
2055-12-31,,798.9672282191727,971.4918476213772
2056-12-31,,756.139127546042,1034.873264160161
2057-12-31,,852.6362420654339,1019.9389784458753
2058-12-31,,868.6579211425824,1015.811736275814
2059-12-31,,824.6336749267621,1042.4477314976332
2060-12-31,,808.4327515520412,1005.5837655203732
2061-12-31,,782.5522181047754,1097.1179825265117
2062-12-31,,870.7790291922475,1071.0009957449827
2063-12-31,,883.9299517822309,1109.5427037702336
2064-12-31,,744.7436717878111,1162.8349722726052
2065-12-31,,860.9245513916057,1173.4514809744746
2066-12-31,,831.9980351911314,1157.497295009073
2067-12-31,,847.1387439836815,1240.8200614711266
2068-12-31,,808.1647268240833,1287.2197069440622
2069-12-31,,856.7684123883971,1329.4047945731077
2070-12-31,,847.22797712054,1242.8386115373933
2071-12-31,,918.1021393694236,1244.0622716413277
2072-12-31,,925.1832781982465,1267.9362339564782
2073-12-31,,843.2747069440613,1318.2494162423322
2074-12-31,,890.2393433489162,1405.8714648437553
2075-12-31,,901.8941680908249,1373.2881778390115
2076-12-31,,909.1286589704284,1378.8052822440063
2077-12-31,,918.3222009277388,1415.3684854561996
2078-12-31,,869.3049793352444,1402.9072420828736
2079-12-31,,860.9241706194239,1406.1697104317852
2080-12-31,,896.7926263427779,1466.3127641950389
2081-12-31,,836.5543965366953,1474.3945212228011
2082-12-31,,909.5689790562266,1533.5868002755356
2083-12-31,,897.6029946463492,1534.5827440534372
2084-12-31,,940.4502428327334,1517.6158558872821
2085-12-31,,882.3404241943404,1566.2663159179745
2086-12-31,,904.2120914132297,1586.9439773995587
2087-12-31,,898.1982167271249,1576.35753295899
2088-12-31,,889.7255760846863,1607.4482498604966
2089-12-31,,909.1456689453169,1600.4048152378687
2090-12-31,,874.675255911695,1716.5779176548608
2091-12-31,,867.8588139997252,1670.0970121547211
2092-12-31,,970.0404525320913,1713.4431072126172
2093-12-31,,957.8968764822868,1762.7856101771818
2094-12-31,,933.0260532924154,1769.7675243268754
2095-12-31,,885.1456593540781,1676.02628295899
2096-12-31,,906.2429988098189,1758.1920227922767
2097-12-31,,912.7318016967816,1778.4299599783817
2098-12-31,,939.0093550415083,1775.4993422154075
2099-12-31,,918.1218055114789,1789.7600479562004
