date,spei
2015-12-31,-0.07
2016-12-31,0.12
2017-12-31,-0.02
2018-12-31,-0.1
2019-12-31,-0.13
2020-12-31,-0.37
2021-12-31,-0.24
2022-12-31,0.09
2023-12-31,-0.23
2024-12-31,-0.07
2025-12-31,-0.08
2026-12-31,-0.33
2027-12-31,0.36
2028-12-31,0.07
2029-12-31,-0.48
2030-12-31,-0.54
2031-12-31,-0.16
2032-12-31,-0.39
2033-12-31,-0.82
2034-12-31,-0.84
2035-12-31,0.22
2036-12-31,0.14
2037-12-31,-0.15
2038-12-31,-0.59
2039-12-31,-0.67
2040-12-31,-0.21
2041-12-31,-0.53
2042-12-31,-0.63
2043-12-31,0.11
2044-12-31,0.22
2045-12-31,-0.14
2046-12-31,-0.06
2047-12-31,-0.44
2048-12-31,-0.79
2049-12-31,-0.76
2050-12-31,-0.8
2051-12-31,-0.53
2052-12-31,-0.32
2053-12-31,-0.4
2054-12-31,-0.21
2055-12-31,-0.76
2056-12-31,-0.32
2057-12-31,-0.07
2058-12-31,0.03
2059-12-31,-0.14
2060-12-31,-0.19
2061-12-31,-0.58
2062-12-31,-0.14
2063-12-31,-0.37
2064-12-31,-0.52
2065-12-31,-0.46
2066-12-31,-0.49
2067-12-31,-0.68
2068-12-31,-0.74
2069-12-31,-0.71
2070-12-31,-0.04
2071-12-31,-0.56
2072-12-31,-0.25
2073-12-31,-0.46
2074-12-31,-0.65
2075-12-31,-0.35
2076-12-31,-0.63
2077-12-31,-0.65
2078-12-31,0.02
2079-12-31,-0.25
2080-12-31,-0.55
2081-12-31,-0.64
2082-12-31,-0.82
2083-12-31,-0.64
2084-12-31,-0.84
2085-12-31,-0.76
2086-12-31,-0.54
2087-12-31,-0.81
2088-12-31,-1.2
2089-12-31,-0.93
2090-12-31,-0.77
2091-12-31,-0.71
2092-12-31,-0.83
2093-12-31,-0.84
2094-12-31,-0.61
2095-12-31,-1.05
2096-12-31,-0.6
2097-12-31,-0.69
2098-12-31,-0.58
2099-12-31,-0.41
2100-12-31,-0.39
