,historical,rcp45,rcp85
1950-12-31,6992.82,,
1951-12-31,6858.45,,
1952-12-31,6929.83,,
1953-12-31,6921.22,,
1954-12-31,6994.0,,
1955-12-31,7009.58,,
1956-12-31,6999.3,,
1957-12-31,7012.06,,
1958-12-31,6985.86,,
1959-12-31,7008.17,,
1960-12-31,7008.85,,
1961-12-31,6892.99,,
1962-12-31,6945.78,,
1963-12-31,6939.97,,
1964-12-31,7269.81,,
1965-12-31,7241.86,,
1966-12-31,7163.76,,
1967-12-31,6966.28,,
1968-12-31,7206.77,,
1969-12-31,7110.41,,
1970-12-31,7180.02,,
1971-12-31,7015.36,,
1972-12-31,7006.33,,
1973-12-31,7004.43,,
1974-12-31,7114.94,,
1975-12-31,6971.01,,
1976-12-31,6983.94,,
1977-12-31,6980.45,,
1978-12-31,6959.63,,
1979-12-31,6834.91,,
1980-12-31,6856.85,,
1981-12-31,6834.87,,
1982-12-31,6983.77,,
1983-12-31,7071.24,,
1984-12-31,6997.58,,
1985-12-31,6912.85,,
1986-12-31,6876.39,,
1987-12-31,6938.77,,
1988-12-31,6892.04,,
1989-12-31,6777.28,,
1990-12-31,6916.36,,
1991-12-31,6663.46,,
1992-12-31,7093.31,,
1993-12-31,6852.96,,
1994-12-31,6773.76,,
1995-12-31,6922.96,,
1996-12-31,6845.4,,
1997-12-31,6695.36,,
1998-12-31,6638.23,,
1999-12-31,6641.04,,
2000-12-31,6619.07,,
2001-12-31,6829.66,,
2002-12-31,6624.19,,
2003-12-31,6591.35,,
2004-12-31,6593.9,,
2005-12-31,6202.81,,
2006-12-31,,6389.63,6479.55
2007-12-31,,6377.03,6417.32
2008-12-31,,6572.02,6478.92
2009-12-31,,6383.19,6519.57
2010-12-31,,6479.39,6643.54
2011-12-31,,6368.49,6432.4
2012-12-31,,6382.1,6278.91
2013-12-31,,6467.84,6438.93
2014-12-31,,6394.76,6329.58
2015-12-31,,6330.88,6494.85
2016-12-31,,6465.22,6351.22
2017-12-31,,6437.96,6239.38
2018-12-31,,6321.86,6214.16
2019-12-31,,6208.74,6220.84
2020-12-31,,6316.83,6214.82
2021-12-31,,6371.73,6250.36
2022-12-31,,6217.82,6196.26
2023-12-31,,6128.1,6114.3
2024-12-31,,6130.78,6155.16
2025-12-31,,6081.08,6243.74
2026-12-31,,5915.53,6086.26
2027-12-31,,6191.91,6179.38
2028-12-31,,6145.01,6003.85
2029-12-31,,6097.12,5976.03
2030-12-31,,6074.48,5900.08
2031-12-31,,6170.08,6040.54
2032-12-31,,5958.66,6140.82
2033-12-31,,5925.63,5852.12
2034-12-31,,6021.55,5935.9
2035-12-31,,5947.49,5832.43
2036-12-31,,6016.19,5922.72
2037-12-31,,5991.62,5748.68
2038-12-31,,5894.72,5827.66
2039-12-31,,5951.71,5791.89
2040-12-31,,6067.78,5834.48
2041-12-31,,5928.0,5734.28
2042-12-31,,5984.61,5744.88
2043-12-31,,5965.02,5675.48
2044-12-31,,5915.47,5739.48
2045-12-31,,5792.87,5704.85
2046-12-31,,5826.38,5673.58
2047-12-31,,5741.47,5639.72
2048-12-31,,5808.26,5575.55
2049-12-31,,5702.97,5511.87
2050-12-31,,5688.5,5443.45
2051-12-31,,5789.16,5464.04
2052-12-31,,5612.1,5434.92
2053-12-31,,5696.76,5401.65
2054-12-31,,5602.6,5356.16
2055-12-31,,5685.1,5339.47
2056-12-31,,5843.46,5405.78
2057-12-31,,5663.52,5205.36
2058-12-31,,5551.1,5253.4
2059-12-31,,5611.72,5172.2
2060-12-31,,5731.96,5184.21
2061-12-31,,5577.53,5167.67
2062-12-31,,5530.18,5183.27
2063-12-31,,5667.46,5183.35
2064-12-31,,5660.84,5193.86
2065-12-31,,5512.65,5145.3
2066-12-31,,5543.98,5043.72
2067-12-31,,5610.17,5078.49
2068-12-31,,5703.59,4828.14
2069-12-31,,5580.76,4789.76
2070-12-31,,5558.78,4826.4
2071-12-31,,5542.51,4834.49
2072-12-31,,5394.31,4822.62
2073-12-31,,5531.06,4834.3
2074-12-31,,5499.31,4856.5
2075-12-31,,5491.08,4708.62
2076-12-31,,5414.39,4753.2
2077-12-31,,5478.63,4726.0
2078-12-31,,5410.7,4630.55
2079-12-31,,5417.46,4599.07
2080-12-31,,5538.59,4757.56
2081-12-31,,5362.76,4543.72
2082-12-31,,5311.38,4473.52
2083-12-31,,5278.05,4606.76
2084-12-31,,5508.98,4611.65
2085-12-31,,5418.54,4543.68
2086-12-31,,5475.61,4467.29
2087-12-31,,5553.78,4444.14
2088-12-31,,5479.18,4493.07
2089-12-31,,5520.4,4418.82
2090-12-31,,5474.39,4462.34
2091-12-31,,5438.99,4345.43
2092-12-31,,5351.41,4403.24
2093-12-31,,5400.98,4296.3
2094-12-31,,5474.91,4277.48
2095-12-31,,5371.84,4344.41
2096-12-31,,5511.31,4341.56
2097-12-31,,5408.3,4267.3
2098-12-31,,5493.44,4217.27
2099-12-31,,4732.66,3757.61
