date,mean
2006-12-31,1.13
2007-12-31,1.02
2008-12-31,1.1
2009-12-31,1.01
2010-12-31,1.05
2011-12-31,0.94
2012-12-31,0.97
2013-12-31,1.12
2014-12-31,0.92
2015-12-31,1.11
2016-12-31,1.21
2017-12-31,1.08
2018-12-31,1.09
2019-12-31,1.06
2020-12-31,1.08
2021-12-31,1.05
2022-12-31,1.07
2023-12-31,1.19
2024-12-31,1.0
2025-12-31,1.18
2026-12-31,1.02
2027-12-31,1.21
2028-12-31,0.99
2029-12-31,1.05
2030-12-31,1.09
2031-12-31,1.11
2032-12-31,1.15
2033-12-31,1.13
2034-12-31,1.0
2035-12-31,1.18
2036-12-31,1.1
2037-12-31,1.07
2038-12-31,1.14
2039-12-31,1.03
2040-12-31,1.08
2041-12-31,1.09
2042-12-31,1.05
2043-12-31,1.07
2044-12-31,1.13
2045-12-31,1.04
2046-12-31,1.15
2047-12-31,1.04
2048-12-31,1.19
2049-12-31,1.07
2050-12-31,1.15
2051-12-31,1.06
2052-12-31,1.1
2053-12-31,1.17
2054-12-31,1.03
2055-12-31,1.18
2056-12-31,1.09
2057-12-31,1.09
2058-12-31,1.09
2059-12-31,1.1
2060-12-31,1.17
2061-12-31,1.13
2062-12-31,1.1
2063-12-31,1.03
2064-12-31,1.01
2065-12-31,1.07
2066-12-31,1.12
2067-12-31,1.15
2068-12-31,0.99
2069-12-31,1.13
2070-12-31,1.18
2071-12-31,1.04
2072-12-31,1.26
2073-12-31,1.02
2074-12-31,1.06
2075-12-31,1.06
2076-12-31,1.18
2077-12-31,1.05
2078-12-31,1.1
2079-12-31,1.23
2080-12-31,1.18
2081-12-31,1.17
2082-12-31,1.02
2083-12-31,1.17
2084-12-31,1.02
2085-12-31,1.21
2086-12-31,1.23
2087-12-31,1.25
2088-12-31,1.1
2089-12-31,1.21
2090-12-31,1.27
2091-12-31,1.22
2092-12-31,1.11
2093-12-31,1.13
2094-12-31,1.12
2095-12-31,1.12
2096-12-31,1.09
2097-12-31,1.16
2098-12-31,1.17
2099-12-31,1.07
