,historical,rcp45,rcp85
1950-12-31,6529.34,,
1951-12-31,6426.86,,
1952-12-31,6483.76,,
1953-12-31,6407.03,,
1954-12-31,6526.48,,
1955-12-31,6579.76,,
1956-12-31,6459.45,,
1957-12-31,6569.77,,
1958-12-31,6497.25,,
1959-12-31,6514.87,,
1960-12-31,6558.45,,
1961-12-31,6516.1,,
1962-12-31,6461.41,,
1963-12-31,6412.04,,
1964-12-31,6755.8,,
1965-12-31,6763.6,,
1966-12-31,6669.35,,
1967-12-31,6476.08,,
1968-12-31,6696.13,,
1969-12-31,6699.04,,
1970-12-31,6725.91,,
1971-12-31,6580.75,,
1972-12-31,6565.07,,
1973-12-31,6479.05,,
1974-12-31,6670.36,,
1975-12-31,6529.66,,
1976-12-31,6567.4,,
1977-12-31,6455.56,,
1978-12-31,6500.74,,
1979-12-31,6291.24,,
1980-12-31,6363.05,,
1981-12-31,6309.67,,
1982-12-31,6517.16,,
1983-12-31,6640.69,,
1984-12-31,6532.19,,
1985-12-31,6443.0,,
1986-12-31,6340.92,,
1987-12-31,6436.26,,
1988-12-31,6359.28,,
1989-12-31,6300.03,,
1990-12-31,6383.07,,
1991-12-31,6167.74,,
1992-12-31,6576.31,,
1993-12-31,6422.1,,
1994-12-31,6281.51,,
1995-12-31,6501.91,,
1996-12-31,6331.5,,
1997-12-31,6188.15,,
1998-12-31,6058.69,,
1999-12-31,6208.45,,
2000-12-31,6105.67,,
2001-12-31,6294.73,,
2002-12-31,6070.87,,
2003-12-31,6128.38,,
2004-12-31,5993.53,,
2005-12-31,5662.25,,
2006-12-31,,5909.39,5981.03
2007-12-31,,5793.79,5949.6
2008-12-31,,5999.59,5941.91
2009-12-31,,5901.3,6033.97
2010-12-31,,5927.87,6102.35
2011-12-31,,5920.98,5912.9
2012-12-31,,5798.32,5756.46
2013-12-31,,5953.79,5974.73
2014-12-31,,5908.72,5874.94
2015-12-31,,5789.96,5966.52
2016-12-31,,5924.86,5866.05
2017-12-31,,5857.97,5738.47
2018-12-31,,5901.06,5671.3
2019-12-31,,5788.23,5775.87
2020-12-31,,5770.57,5744.24
2021-12-31,,5855.05,5673.36
2022-12-31,,5701.16,5686.12
2023-12-31,,5645.25,5663.69
2024-12-31,,5713.13,5623.41
2025-12-31,,5528.6,5702.01
2026-12-31,,5467.55,5578.71
2027-12-31,,5677.62,5689.48
2028-12-31,,5520.37,5429.57
2029-12-31,,5455.44,5453.37
2030-12-31,,5511.99,5384.91
2031-12-31,,5503.55,5586.02
2032-12-31,,5484.48,5657.35
2033-12-31,,5373.45,5366.58
2034-12-31,,5522.34,5462.12
2035-12-31,,5384.71,5329.42
2036-12-31,,5365.62,5424.34
2037-12-31,,5528.52,5259.97
2038-12-31,,5460.04,5299.05
2039-12-31,,5378.58,5303.66
2040-12-31,,5564.77,5275.9
2041-12-31,,5365.23,5250.73
2042-12-31,,5436.75,5201.59
2043-12-31,,5383.27,5139.32
2044-12-31,,5343.29,5272.14
2045-12-31,,5300.03,5171.98
2046-12-31,,5269.85,5043.36
2047-12-31,,5239.73,5084.91
2048-12-31,,5281.5,5106.37
2049-12-31,,5214.04,4998.58
2050-12-31,,5158.62,4849.52
2051-12-31,,5243.54,5029.35
2052-12-31,,5113.43,4965.29
2053-12-31,,5090.86,4826.49
2054-12-31,,5100.59,4794.18
2055-12-31,,5195.78,4796.19
2056-12-31,,5287.17,4806.88
2057-12-31,,5193.4,4671.35
2058-12-31,,5019.75,4688.37
2059-12-31,,5031.4,4689.54
2060-12-31,,5232.6,4718.25
2061-12-31,,5077.38,4675.63
2062-12-31,,5104.35,4580.79
2063-12-31,,5163.47,4646.62
2064-12-31,,5119.32,4602.15
2065-12-31,,5026.22,4558.19
2066-12-31,,5078.18,4479.63
2067-12-31,,5136.33,4584.86
2068-12-31,,5187.51,4314.58
2069-12-31,,5006.75,4324.49
2070-12-31,,5088.19,4306.08
2071-12-31,,5105.42,4355.28
2072-12-31,,4938.6,4362.36
2073-12-31,,4977.62,4307.29
2074-12-31,,4930.32,4348.54
2075-12-31,,4988.89,4232.31
2076-12-31,,4850.16,4292.41
2077-12-31,,4939.39,4300.69
2078-12-31,,4909.87,4153.04
2079-12-31,,4929.33,4123.6
2080-12-31,,5098.88,4211.31
2081-12-31,,4991.4,4059.42
2082-12-31,,4832.56,4004.29
2083-12-31,,4854.69,4107.37
2084-12-31,,4980.07,4121.47
2085-12-31,,4963.54,4025.05
2086-12-31,,4962.09,3947.38
2087-12-31,,4921.8,3966.08
2088-12-31,,4926.06,3953.4
2089-12-31,,5009.36,3952.95
2090-12-31,,4998.77,3933.14
2091-12-31,,4954.58,3848.56
2092-12-31,,4911.83,3905.02
2093-12-31,,4894.22,3764.71
2094-12-31,,4879.34,3739.7
2095-12-31,,4896.65,3824.43
2096-12-31,,4934.96,3775.62
2097-12-31,,4901.96,3747.69
2098-12-31,,4983.34,3657.84
2099-12-31,,4319.36,3247.51
