date,mean
1950-12-31,1.0
1951-12-31,0.93
1952-12-31,0.94
1953-12-31,0.9
1954-12-31,1.02
1955-12-31,0.96
1956-12-31,1.02
1957-12-31,0.94
1958-12-31,1.04
1959-12-31,1.05
1960-12-31,0.91
1961-12-31,1.05
1962-12-31,1.02
1963-12-31,1.01
1964-12-31,1.04
1965-12-31,1.05
1966-12-31,1.05
1967-12-31,0.95
1968-12-31,1.0
1969-12-31,1.12
1970-12-31,0.92
1971-12-31,0.95
1972-12-31,1.03
1973-12-31,0.98
1974-12-31,0.98
1975-12-31,1.05
1976-12-31,1.05
1977-12-31,1.05
1978-12-31,0.96
1979-12-31,1.01
1980-12-31,0.9
1981-12-31,0.99
1982-12-31,1.06
1983-12-31,1.05
1984-12-31,0.97
1985-12-31,0.97
1986-12-31,1.0
1987-12-31,1.06
1988-12-31,1.03
1989-12-31,1.0
1990-12-31,1.05
1991-12-31,1.03
1992-12-31,1.05
1993-12-31,1.0
1994-12-31,0.91
1995-12-31,0.99
1996-12-31,0.96
1997-12-31,1.15
1998-12-31,0.91
1999-12-31,1.03
2000-12-31,1.03
2001-12-31,1.07
2002-12-31,1.0
2003-12-31,1.04
2004-12-31,0.95
2005-12-31,1.07
