,historical,rcp45,rcp85
1950-12-31,605.86,,
1951-12-31,617.84,,
1952-12-31,608.14,,
1953-12-31,623.65,,
1954-12-31,593.9,,
1955-12-31,568.23,,
1956-12-31,605.43,,
1957-12-31,598.12,,
1958-12-31,534.43,,
1959-12-31,549.65,,
1960-12-31,598.74,,
1961-12-31,579.4,,
1962-12-31,562.29,,
1963-12-31,563.73,,
1964-12-31,526.39,,
1965-12-31,509.45,,
1966-12-31,476.48,,
1967-12-31,610.49,,
1968-12-31,551.17,,
1969-12-31,496.02,,
1970-12-31,582.5,,
1971-12-31,558.55,,
1972-12-31,564.46,,
1973-12-31,574.7,,
1974-12-31,629.24,,
1975-12-31,537.81,,
1976-12-31,542.07,,
1977-12-31,601.56,,
1978-12-31,604.32,,
1979-12-31,578.77,,
1980-12-31,635.6,,
1981-12-31,657.9,,
1982-12-31,561.75,,
1983-12-31,520.84,,
1984-12-31,595.86,,
1985-12-31,623.43,,
1986-12-31,605.79,,
1987-12-31,594.26,,
1988-12-31,629.17,,
1989-12-31,655.23,,
1990-12-31,649.5,,
1991-12-31,674.61,,
1992-12-31,523.65,,
1993-12-31,551.08,,
1994-12-31,691.08,,
1995-12-31,606.1,,
1996-12-31,655.06,,
1997-12-31,624.68,,
1998-12-31,718.87,,
1999-12-31,693.0,,
2000-12-31,707.33,,
2001-12-31,715.51,,
2002-12-31,730.64,,
2003-12-31,755.56,,
2004-12-31,770.12,,
2005-12-31,728.27,,
2006-12-31,,780.08,801.93
2007-12-31,,757.33,779.72
2008-12-31,,769.61,832.24
2009-12-31,,784.26,758.03
2010-12-31,,799.67,798.09
2011-12-31,,827.59,789.3
2012-12-31,,835.05,873.79
2013-12-31,,819.12,835.38
2014-12-31,,861.4,786.11
2015-12-31,,821.47,827.07
2016-12-31,,792.37,857.45
2017-12-31,,868.24,863.31
2018-12-31,,879.76,943.05
2019-12-31,,859.35,908.54
2020-12-31,,897.4,964.16
2021-12-31,,891.95,892.1
2022-12-31,,914.9,924.66
2023-12-31,,858.47,993.16
2024-12-31,,868.59,1033.84
2025-12-31,,926.82,917.41
2026-12-31,,947.34,891.51
2027-12-31,,917.92,966.35
2028-12-31,,940.04,1001.35
2029-12-31,,936.92,956.92
2030-12-31,,933.4,1011.77
2031-12-31,,879.74,1045.78
2032-12-31,,965.14,972.48
2033-12-31,,1020.18,996.43
2034-12-31,,1026.1,1000.64
2035-12-31,,1042.58,1065.29
2036-12-31,,982.17,1068.59
2037-12-31,,1019.25,1108.31
2038-12-31,,1107.97,1106.17
2039-12-31,,994.41,1077.78
2040-12-31,,1020.06,1127.19
2041-12-31,,1055.19,1118.49
2042-12-31,,1067.62,1130.63
2043-12-31,,1090.86,1134.85
2044-12-31,,1021.5,1127.84
2045-12-31,,1154.11,1223.0
2046-12-31,,1141.72,1246.83
2047-12-31,,1137.08,1251.65
2048-12-31,,1115.5,1306.43
2049-12-31,,1152.4,1345.26
2050-12-31,,1172.78,1276.63
2051-12-31,,1134.25,1289.66
2052-12-31,,1146.64,1314.7
2053-12-31,,1180.82,1398.91
2054-12-31,,1100.75,1390.7
2055-12-31,,1124.59,1338.68
2056-12-31,,1101.44,1416.18
2057-12-31,,1222.79,1371.63
2058-12-31,,1235.87,1401.93
2059-12-31,,1183.24,1404.44
2060-12-31,,1184.95,1390.17
2061-12-31,,1148.69,1489.24
2062-12-31,,1258.74,1421.82
2063-12-31,,1242.44,1469.21
2064-12-31,,1104.76,1539.72
2065-12-31,,1213.34,1562.28
2066-12-31,,1178.63,1513.37
2067-12-31,,1169.85,1589.05
2068-12-31,,1159.76,1680.02
2069-12-31,,1216.49,1688.77
2070-12-31,,1201.57,1595.6
2071-12-31,,1302.19,1598.47
2072-12-31,,1295.95,1610.44
2073-12-31,,1220.85,1682.29
2074-12-31,,1268.17,1758.86
2075-12-31,,1259.17,1719.66
2076-12-31,,1277.78,1757.44
2077-12-31,,1307.08,1786.85
2078-12-31,,1252.08,1758.98
2079-12-31,,1212.63,1756.4
2080-12-31,,1248.18,1833.08
2081-12-31,,1210.72,1855.03
2082-12-31,,1287.45,1896.32
2083-12-31,,1274.72,1938.89
2084-12-31,,1293.43,1855.96
2085-12-31,,1254.42,1985.05
2086-12-31,,1257.88,1981.63
2087-12-31,,1265.16,1990.93
2088-12-31,,1235.8,2026.35
2089-12-31,,1259.76,1977.26
2090-12-31,,1230.98,2153.22
2091-12-31,,1247.43,2119.37
2092-12-31,,1347.15,2132.72
2093-12-31,,1318.65,2211.21
2094-12-31,,1322.6,2163.3
2095-12-31,,1267.36,2062.45
2096-12-31,,1287.13,2154.15
2097-12-31,,1271.19,2193.27
2098-12-31,,1308.83,2182.92
2099-12-31,,1262.55,2175.25
