date,mean
2006-12-31,0.96
2007-12-31,1.09
2008-12-31,1.04
2009-12-31,0.99
2010-12-31,1.08
2011-12-31,1.05
2012-12-31,1.05
2013-12-31,1.05
2014-12-31,1.03
2015-12-31,1.12
2016-12-31,1.07
2017-12-31,1.02
2018-12-31,0.98
2019-12-31,1.04
2020-12-31,1.02
2021-12-31,1.08
2022-12-31,1.0
2023-12-31,1.1
2024-12-31,1.07
2025-12-31,0.97
2026-12-31,1.02
2027-12-31,1.09
2028-12-31,1.04
2029-12-31,1.06
2030-12-31,1.05
2031-12-31,1.09
2032-12-31,1.05
2033-12-31,1.03
2034-12-31,0.93
2035-12-31,1.05
2036-12-31,1.06
2037-12-31,0.99
2038-12-31,1.01
2039-12-31,1.07
2040-12-31,1.06
2041-12-31,1.07
2042-12-31,1.07
2043-12-31,1.01
2044-12-31,1.12
2045-12-31,0.95
2046-12-31,0.99
2047-12-31,1.09
2048-12-31,1.1
2049-12-31,1.01
2050-12-31,1.08
2051-12-31,1.07
2052-12-31,1.16
2053-12-31,1.02
2054-12-31,1.06
2055-12-31,1.15
2056-12-31,1.04
2057-12-31,0.98
2058-12-31,1.12
2059-12-31,1.06
2060-12-31,1.1
2061-12-31,1.15
2062-12-31,1.06
2063-12-31,1.16
2064-12-31,1.16
2065-12-31,1.12
2066-12-31,1.11
2067-12-31,1.18
2068-12-31,1.09
2069-12-31,1.06
2070-12-31,1.11
2071-12-31,1.08
2072-12-31,1.01
2073-12-31,1.1
2074-12-31,1.08
2075-12-31,1.07
2076-12-31,1.09
2077-12-31,1.04
2078-12-31,1.12
2079-12-31,1.1
2080-12-31,1.09
2081-12-31,1.16
2082-12-31,1.03
2083-12-31,1.11
2084-12-31,1.09
2085-12-31,1.15
2086-12-31,1.05
2087-12-31,1.09
2088-12-31,1.12
2089-12-31,1.1
2090-12-31,1.17
2091-12-31,1.04
2092-12-31,1.04
2093-12-31,1.07
2094-12-31,1.04
2095-12-31,1.13
2096-12-31,1.11
2097-12-31,1.05
2098-12-31,1.02
2099-12-31,1.06
