date,mean
2006-12-31,2.02
2007-12-31,1.81
2008-12-31,1.94
2009-12-31,2.09
2010-12-31,2.11
2011-12-31,1.8
2012-12-31,1.94
2013-12-31,1.93
2014-12-31,2.07
2015-12-31,2.34
2016-12-31,1.69
2017-12-31,1.87
2018-12-31,1.92
2019-12-31,1.83
2020-12-31,1.76
2021-12-31,1.97
2022-12-31,1.72
2023-12-31,1.69
2024-12-31,2.12
2025-12-31,1.92
2026-12-31,2.04
2027-12-31,1.94
2028-12-31,1.82
2029-12-31,1.9
2030-12-31,1.9
2031-12-31,2.21
2032-12-31,1.94
2033-12-31,1.86
2034-12-31,1.57
2035-12-31,1.63
2036-12-31,1.88
2037-12-31,2.02
2038-12-31,1.95
2039-12-31,1.54
2040-12-31,2.13
2041-12-31,1.86
2042-12-31,1.99
2043-12-31,1.96
2044-12-31,2.01
2045-12-31,1.95
2046-12-31,1.65
2047-12-31,1.81
2048-12-31,2.0
2049-12-31,1.8
2050-12-31,1.81
2051-12-31,1.93
2052-12-31,1.99
2053-12-31,1.87
2054-12-31,2.26
2055-12-31,1.88
2056-12-31,1.86
2057-12-31,1.82
2058-12-31,1.8
2059-12-31,1.89
2060-12-31,1.85
2061-12-31,2.13
2062-12-31,1.87
2063-12-31,1.93
2064-12-31,1.93
2065-12-31,1.8
2066-12-31,1.7
2067-12-31,2.14
2068-12-31,2.03
2069-12-31,2.06
2070-12-31,2.27
2071-12-31,1.92
2072-12-31,1.64
2073-12-31,2.01
2074-12-31,1.86
2075-12-31,1.78
2076-12-31,1.9
2077-12-31,1.9
2078-12-31,2.06
2079-12-31,2.01
2080-12-31,2.1
2081-12-31,2.14
2082-12-31,1.81
2083-12-31,1.69
2084-12-31,1.95
2085-12-31,2.06
2086-12-31,1.94
2087-12-31,1.84
2088-12-31,1.85
2089-12-31,1.86
2090-12-31,1.73
2091-12-31,1.98
2092-12-31,1.82
2093-12-31,1.79
2094-12-31,2.02
2095-12-31,2.14
2096-12-31,1.98
2097-12-31,2.12
2098-12-31,1.91
2099-12-31,2.03
