,historical,rcp45,rcp85
1950-12-31,3005.497723824648,,
1951-12-31,3053.934856131427,,
1952-12-31,2998.0256411307296,,
1953-12-31,3053.717364501963,,
1954-12-31,2998.6224302455457,,
1955-12-31,2981.0954876709084,,
1956-12-31,3010.2355790492566,,
1957-12-31,2960.2093884277447,,
1958-12-31,3048.512059936533,,
1959-12-31,3074.1267626953218,,
1960-12-31,2990.355512259357,,
1961-12-31,2993.199675118592,,
1962-12-31,3094.359850202298,,
1963-12-31,2995.9181402587988,,
1964-12-31,3043.7920142473586,,
1965-12-31,2902.139089442672,,
1966-12-31,3044.587538103386,,
1967-12-31,3065.5292976597475,,
1968-12-31,2929.4783735874817,,
1969-12-31,2941.3773908342737,,
1970-12-31,2855.1514450509308,,
1971-12-31,3023.562947300512,,
1972-12-31,3082.157848772331,,
1973-12-31,3006.3570698765443,,
1974-12-31,3057.3084708077668,,
1975-12-31,3056.642278878358,,
1976-12-31,2963.4879806082686,,
1977-12-31,3033.548926042839,,
1978-12-31,3014.4246898542224,,
1979-12-31,3113.575795724061,,
1980-12-31,3058.0516972133187,,
1981-12-31,3076.2623745291676,,
1982-12-31,3094.7639893450155,,
1983-12-31,2926.7315304129565,,
1984-12-31,3046.740766165607,,
1985-12-31,3118.902175205786,,
1986-12-31,3142.496487077996,,
1987-12-31,3162.1427297537766,,
1988-12-31,3138.2919195556738,,
1989-12-31,3233.5585746547254,,
1990-12-31,3193.8074697440115,,
1991-12-31,3242.82916381837,,
1992-12-31,2954.7643918282743,,
1993-12-31,3077.3434856305903,,
1994-12-31,3180.5921220180066,,
1995-12-31,3211.635061558325,,
1996-12-31,3177.5285300990613,,
1997-12-31,3255.347391357432,,
1998-12-31,3241.2730315290282,,
1999-12-31,3246.67776524136,,
2000-12-31,3245.2471863665,,
2001-12-31,3244.939574759357,,
2002-12-31,3171.990117187509,,
2003-12-31,3378.5775965227504,,
2004-12-31,3332.2938174874553,,
2005-12-31,3346.61642351424,,
2006-12-31,,3391.832634626127,3372.5820159912205
2007-12-31,,3451.5864508056757,3416.398857334692
2008-12-31,,3465.4322582135987,3471.677120361338
2009-12-31,,3401.961715436674,3318.5827738734756
2010-12-31,,3371.9011666434258,3459.4133140346084
2011-12-31,,3488.2510747419187,3484.616681518565
2012-12-31,,3493.9120170375377,3482.409962245406
2013-12-31,,3522.3161533900766,3452.0165091378462
2014-12-31,,3452.9323073033024,3429.035070016054
2015-12-31,,3491.6309147426164,3400.1179801723038
2016-12-31,,3591.9129099818742,3514.835969063906
2017-12-31,,3563.140107073113,3533.6159672328504
2018-12-31,,3534.92391444616,3575.4634558977505
2019-12-31,,3557.8725850132637,3551.2512184361162
2020-12-31,,3659.6091213553404,3560.9921525355853
2021-12-31,,3606.725436488571,3672.630764683325
2022-12-31,,3662.7744396972757,3642.872800292978
2023-12-31,,3678.858065970296,3627.921816319067
2024-12-31,,3598.876188354503,3682.901465454112
2025-12-31,,3647.0223995535816,3715.731929757265
2026-12-31,,3706.1811825997584,3699.2779060581865
2027-12-31,,3744.9339982387096,3821.4043858119526
2028-12-31,,3727.4207795061484,3869.236181117477
2029-12-31,,3789.060083095016,3696.0639880371205
2030-12-31,,3775.4670667375954,3810.941686139799
2031-12-31,,3678.4507043457133,3796.930712803443
2032-12-31,,3760.7264760044754,3853.810409633103
2033-12-31,,3780.2504051862556,3821.390955461786
2034-12-31,,3893.9038328334364,3885.993723231735
2035-12-31,,4029.4559601702113,3911.3350682721916
2036-12-31,,3900.58601248606,3990.422449515218
2037-12-31,,3764.8716463797546,3987.4361641148266
2038-12-31,,3838.0669560023816,3956.3015133231133
2039-12-31,,4082.148997192394,4118.152488577718
2040-12-31,,3911.2016790771595,4093.846196027494
2041-12-31,,3960.4414262172254,3949.0411455427
2042-12-31,,3879.3635478864503,4053.625571289073
2043-12-31,,3914.532856096551,4118.914874441975
2044-12-31,,3871.982006923141,4083.053657313766
2045-12-31,,3953.0135367257367,4149.047583007824
2046-12-31,,4098.212115565719,4144.574462890635
2047-12-31,,4008.1693066406365,4191.310778634218
2048-12-31,,3958.1393529401607,4164.211259678443
2049-12-31,,4087.68504385813,4374.493654436395
2050-12-31,,3994.2888085937616,4308.194777919237
2051-12-31,,3996.9552489362554,4307.602158115943
2052-12-31,,4057.1319337681475,4349.012883736758
2053-12-31,,4095.4367078508753,4335.19302533832
2054-12-31,,3988.4924967738666,4339.274773298002
2055-12-31,,4124.249855433884,4473.113904331763
2056-12-31,,4214.110354701463,4484.614408482155
2057-12-31,,4107.297881382545,4516.620529697975
2058-12-31,,4199.946166817811,4612.825676007963
2059-12-31,,4219.954501081205,4711.00463169644
2060-12-31,,4202.733609531959,4676.380326712484
2061-12-31,,4158.425307442813,4690.051982596274
2062-12-31,,4092.2381044224444,4723.595406058186
2063-12-31,,4161.7182787214115,4627.468871808744
2064-12-31,,4115.267540893566,4614.180433262429
2065-12-31,,4216.573170340414,4746.819735892172
2066-12-31,,4223.618341849202,4678.895115094877
2067-12-31,,4204.0449230085205,4743.1126198033035
2068-12-31,,4125.499773298001,4827.584709123896
2069-12-31,,4227.639197300513,4861.633633161285
2070-12-31,,4151.326353236618,4982.0485280064295
2071-12-31,,4167.428393554697,4950.352393973227
2072-12-31,,4258.114093802327,5105.1055330985055
2073-12-31,,4200.454637799956,5066.068830740803
2074-12-31,,4215.529628208717,5093.3333350481425
2075-12-31,,4296.853290754057,5109.791942400262
2076-12-31,,4300.9568927002065,5073.485012468624
2077-12-31,,4284.040937674397,5119.168012172166
2078-12-31,,4244.349355119989,5088.883434099482
2079-12-31,,4275.426886335111,5202.656527448394
2080-12-31,,4296.907316807349,5216.134181518566
2081-12-31,,4198.695911254894,5186.6337353515755
2082-12-31,,4364.835672433047,5161.2009048026075
2083-12-31,,4386.463061523447,5330.488956647612
2084-12-31,,4325.837855747779,5274.27403982981
2085-12-31,,4272.793947753918,5392.383818010615
2086-12-31,,4257.23043675015,5385.7394250488405
2087-12-31,,4368.928952985502,5418.331529976994
2088-12-31,,4320.297804652633,5466.439101998478
2089-12-31,,4306.845990687791,5497.970918491921
2090-12-31,,4370.033778686535,5606.15298540389
2091-12-31,,4297.619528023867,5621.460430821024
2092-12-31,,4378.323194928862,5664.642760009778
2093-12-31,,4420.6959701974165,5579.276461617619
2094-12-31,,4268.727113734664,5821.342283063629
2095-12-31,,4267.2880429513225,5686.810898263127
2096-12-31,,4211.201078887951,5681.498092738573
2097-12-31,,4276.879681823742,5667.673978969043
2098-12-31,,4297.500323638928,5726.642618844181
2099-12-31,,4330.232049499522,5751.195691005174
