date,spei
1981-12-31,0.24
1982-12-31,-0.04
1983-12-31,0.09
1984-12-31,0.06
1985-12-31,-0.52
1986-12-31,-0.0
1987-12-31,0.04
1988-12-31,-0.33
1989-12-31,-0.39
1990-12-31,0.24
1991-12-31,0.21
1992-12-31,0.38
1993-12-31,0.23
1994-12-31,0.11
1995-12-31,-0.23
1996-12-31,-0.18
1997-12-31,0.12
1998-12-31,0.45
1999-12-31,0.27
2000-12-31,0.57
2001-12-31,-0.25
2002-12-31,-0.15
2003-12-31,0.36
2004-12-31,-0.3
2005-12-31,-0.16
2006-12-31,-0.02
2007-12-31,-0.23
2008-12-31,-0.11
2009-12-31,-0.17
2010-12-31,-0.07
2011-12-31,-0.02
2012-12-31,0.35
2013-12-31,-0.32
2014-12-31,-0.89
