,historical,rcp45,rcp85
1950-12-31,52.71,,
1951-12-31,69.54,,
1952-12-31,59.92,,
1953-12-31,73.89,,
1954-12-31,75.29,,
1955-12-31,62.78,,
1956-12-31,54.83,,
1957-12-31,64.73,,
1958-12-31,64.37,,
1959-12-31,63.78,,
1960-12-31,57.57,,
1961-12-31,63.98,,
1962-12-31,68.08,,
1963-12-31,58.15,,
1964-12-31,49.67,,
1965-12-31,66.25,,
1966-12-31,51.52,,
1967-12-31,54.71,,
1968-12-31,66.66,,
1969-12-31,63.27,,
1970-12-31,58.59,,
1971-12-31,68.58,,
1972-12-31,55.77,,
1973-12-31,60.82,,
1974-12-31,69.97,,
1975-12-31,59.06,,
1976-12-31,55.25,,
1977-12-31,53.01,,
1978-12-31,60.84,,
1979-12-31,67.99,,
1980-12-31,63.88,,
1981-12-31,61.31,,
1982-12-31,63.67,,
1983-12-31,59.12,,
1984-12-31,56.12,,
1985-12-31,56.55,,
1986-12-31,56.23,,
1987-12-31,52.75,,
1988-12-31,67.84,,
1989-12-31,59.46,,
1990-12-31,56.4,,
1991-12-31,47.74,,
1992-12-31,66.65,,
1993-12-31,62.57,,
1994-12-31,50.74,,
1995-12-31,51.83,,
1996-12-31,64.56,,
1997-12-31,56.76,,
1998-12-31,62.21,,
1999-12-31,56.54,,
2000-12-31,57.1,,
2001-12-31,69.71,,
2002-12-31,61.42,,
2003-12-31,47.89,,
2004-12-31,72.91,,
2005-12-31,72.0,,
2006-12-31,,63.54,56.22
2007-12-31,,56.99,65.14
2008-12-31,,61.71,57.03
2009-12-31,,71.45,72.9
2010-12-31,,64.37,72.92
2011-12-31,,57.04,57.5
2012-12-31,,71.02,61.21
2013-12-31,,65.55,60.81
2014-12-31,,68.51,66.32
2015-12-31,,72.43,78.96
2016-12-31,,65.42,62.73
2017-12-31,,61.02,55.57
2018-12-31,,58.83,61.53
2019-12-31,,65.87,63.72
2020-12-31,,49.44,52.09
2021-12-31,,56.99,59.79
2022-12-31,,59.25,49.71
2023-12-31,,50.39,64.48
2024-12-31,,64.67,70.72
2025-12-31,,57.63,60.3
2026-12-31,,69.66,68.28
2027-12-31,,62.61,60.18
2028-12-31,,54.04,61.25
2029-12-31,,69.72,71.06
2030-12-31,,60.95,66.56
2031-12-31,,65.12,59.56
2032-12-31,,66.76,60.48
2033-12-31,,59.21,64.04
2034-12-31,,60.71,55.04
2035-12-31,,64.34,73.86
2036-12-31,,63.41,62.29
2037-12-31,,61.14,68.24
2038-12-31,,63.61,62.86
2039-12-31,,55.32,57.25
2040-12-31,,72.8,59.08
2041-12-31,,73.8,78.25
2042-12-31,,59.71,59.5
2043-12-31,,58.69,67.2
2044-12-31,,53.25,64.91
2045-12-31,,67.82,70.37
2046-12-31,,50.9,61.11
2047-12-31,,63.62,53.14
2048-12-31,,65.6,63.84
2049-12-31,,62.14,58.74
2050-12-31,,58.83,69.93
2051-12-31,,69.72,54.53
2052-12-31,,75.66,81.8
2053-12-31,,58.38,63.9
2054-12-31,,80.35,70.34
2055-12-31,,74.9,54.77
2056-12-31,,62.12,71.86
2057-12-31,,66.34,79.65
2058-12-31,,56.89,71.66
2059-12-31,,67.52,68.62
2060-12-31,,60.77,68.23
2061-12-31,,67.37,70.64
2062-12-31,,61.89,70.74
2063-12-31,,63.19,67.58
2064-12-31,,59.61,79.31
2065-12-31,,66.45,56.17
2066-12-31,,60.15,78.27
2067-12-31,,68.3,62.4
2068-12-31,,61.98,57.1
2069-12-31,,64.28,70.46
2070-12-31,,83.3,53.98
2071-12-31,,64.8,64.33
2072-12-31,,61.72,66.81
2073-12-31,,66.56,63.48
2074-12-31,,69.25,62.98
2075-12-31,,59.16,74.25
2076-12-31,,58.11,70.64
2077-12-31,,70.48,53.51
2078-12-31,,71.84,72.96
2079-12-31,,65.31,79.12
2080-12-31,,59.83,68.51
2081-12-31,,72.11,78.35
2082-12-31,,70.14,68.31
2083-12-31,,59.58,64.75
2084-12-31,,55.31,83.35
2085-12-31,,66.76,53.23
2086-12-31,,68.24,62.17
2087-12-31,,67.83,79.63
2088-12-31,,64.99,63.48
2089-12-31,,68.78,66.01
2090-12-31,,63.86,53.15
2091-12-31,,68.85,66.36
2092-12-31,,57.31,68.57
2093-12-31,,73.04,79.85
2094-12-31,,61.53,68.33
2095-12-31,,72.09,61.29
2096-12-31,,71.46,85.43
2097-12-31,,67.55,82.16
2098-12-31,,74.09,66.3
2099-12-31,,62.13,76.22
