date,mean
2006-12-31,18.5
2007-12-31,18.69
2008-12-31,18.68
2009-12-31,18.46
2010-12-31,18.71
2011-12-31,18.87
2012-12-31,19.1
2013-12-31,19.0
2014-12-31,19.03
2015-12-31,18.63
2016-12-31,18.81
2017-12-31,18.86
2018-12-31,19.12
2019-12-31,19.49
2020-12-31,19.16
2021-12-31,18.97
2022-12-31,18.95
2023-12-31,19.32
2024-12-31,19.28
2025-12-31,19.33
2026-12-31,19.15
2027-12-31,19.26
2028-12-31,19.26
2029-12-31,19.47
2030-12-31,19.86
2031-12-31,19.51
2032-12-31,19.65
2033-12-31,19.83
2034-12-31,19.76
2035-12-31,19.79
2036-12-31,19.96
2037-12-31,19.91
2038-12-31,20.1
2039-12-31,19.91
2040-12-31,19.9
2041-12-31,20.26
2042-12-31,20.46
2043-12-31,20.44
2044-12-31,20.25
2045-12-31,20.33
2046-12-31,20.45
2047-12-31,20.6
2048-12-31,20.59
2049-12-31,20.74
2050-12-31,20.88
2051-12-31,20.73
2052-12-31,20.65
2053-12-31,20.96
2054-12-31,21.08
2055-12-31,20.98
2056-12-31,21.15
2057-12-31,20.91
2058-12-31,21.35
2059-12-31,21.42
2060-12-31,21.31
2061-12-31,21.32
2062-12-31,21.45
2063-12-31,21.58
2064-12-31,21.82
2065-12-31,21.75
2066-12-31,21.77
2067-12-31,21.68
2068-12-31,22.05
2069-12-31,22.06
2070-12-31,22.07
2071-12-31,22.1
2072-12-31,22.14
2073-12-31,22.41
2074-12-31,22.4
2075-12-31,22.3
2076-12-31,22.46
2077-12-31,22.44
2078-12-31,22.48
2079-12-31,22.6
2080-12-31,22.67
2081-12-31,22.9
2082-12-31,22.87
2083-12-31,22.92
2084-12-31,22.78
2085-12-31,23.05
2086-12-31,22.84
2087-12-31,23.17
2088-12-31,23.44
2089-12-31,23.24
2090-12-31,23.46
2091-12-31,23.55
2092-12-31,23.45
2093-12-31,23.67
2094-12-31,23.89
2095-12-31,23.54
2096-12-31,23.79
2097-12-31,23.62
2098-12-31,23.68
2099-12-31,24.0
