date,mean
2006-12-31,2.92
2007-12-31,2.83
2008-12-31,3.07
2009-12-31,2.99
2010-12-31,3.03
2011-12-31,2.76
2012-12-31,2.9
2013-12-31,2.89
2014-12-31,2.82
2015-12-31,2.76
2016-12-31,2.86
2017-12-31,2.88
2018-12-31,2.78
2019-12-31,2.81
2020-12-31,3.01
2021-12-31,3.01
2022-12-31,3.15
2023-12-31,2.82
2024-12-31,2.9
2025-12-31,3.16
2026-12-31,3.02
2027-12-31,3.0
2028-12-31,3.01
2029-12-31,3.05
2030-12-31,2.91
2031-12-31,3.01
2032-12-31,3.0
2033-12-31,2.93
2034-12-31,2.97
2035-12-31,2.92
2036-12-31,2.95
2037-12-31,3.03
2038-12-31,2.97
2039-12-31,2.99
2040-12-31,2.99
2041-12-31,3.04
2042-12-31,2.93
2043-12-31,2.93
2044-12-31,3.13
2045-12-31,3.08
2046-12-31,3.06
2047-12-31,3.15
2048-12-31,2.93
2049-12-31,2.99
2050-12-31,3.14
2051-12-31,2.95
2052-12-31,3.07
2053-12-31,2.99
2054-12-31,2.8
2055-12-31,3.04
2056-12-31,3.05
2057-12-31,3.03
2058-12-31,3.03
2059-12-31,3.08
2060-12-31,3.02
2061-12-31,3.01
2062-12-31,3.12
2063-12-31,2.97
2064-12-31,2.96
2065-12-31,3.04
2066-12-31,3.14
2067-12-31,3.15
2068-12-31,2.92
2069-12-31,2.93
2070-12-31,3.1
2071-12-31,3.04
2072-12-31,3.08
2073-12-31,2.99
2074-12-31,2.97
2075-12-31,3.0
2076-12-31,3.28
2077-12-31,3.01
2078-12-31,3.15
2079-12-31,3.12
2080-12-31,3.22
2081-12-31,3.19
2082-12-31,2.95
2083-12-31,3.09
2084-12-31,3.31
2085-12-31,3.11
2086-12-31,3.17
2087-12-31,3.34
2088-12-31,2.98
2089-12-31,3.23
2090-12-31,3.21
2091-12-31,3.21
2092-12-31,3.24
2093-12-31,3.01
2094-12-31,3.14
2095-12-31,3.16
2096-12-31,3.11
2097-12-31,3.17
2098-12-31,3.21
2099-12-31,3.23
