,historical,rcp45,rcp85
1950-12-31,46.14,,
1951-12-31,43.54,,
1952-12-31,46.46,,
1953-12-31,56.01,,
1954-12-31,48.59,,
1955-12-31,54.86,,
1956-12-31,45.76,,
1957-12-31,45.31,,
1958-12-31,52.94,,
1959-12-31,53.08,,
1960-12-31,48.1,,
1961-12-31,46.34,,
1962-12-31,45.92,,
1963-12-31,47.64,,
1964-12-31,45.89,,
1965-12-31,46.52,,
1966-12-31,44.81,,
1967-12-31,47.08,,
1968-12-31,44.18,,
1969-12-31,44.33,,
1970-12-31,45.44,,
1971-12-31,52.35,,
1972-12-31,47.37,,
1973-12-31,46.89,,
1974-12-31,49.42,,
1975-12-31,45.59,,
1976-12-31,49.51,,
1977-12-31,48.3,,
1978-12-31,44.96,,
1979-12-31,52.37,,
1980-12-31,46.67,,
1981-12-31,44.41,,
1982-12-31,46.0,,
1983-12-31,45.6,,
1984-12-31,48.73,,
1985-12-31,46.67,,
1986-12-31,43.56,,
1987-12-31,49.87,,
1988-12-31,47.37,,
1989-12-31,48.87,,
1990-12-31,45.71,,
1991-12-31,50.74,,
1992-12-31,46.74,,
1993-12-31,45.26,,
1994-12-31,41.37,,
1995-12-31,44.15,,
1996-12-31,51.7,,
1997-12-31,43.41,,
1998-12-31,55.27,,
1999-12-31,48.24,,
2000-12-31,48.63,,
2001-12-31,46.16,,
2002-12-31,48.4,,
2003-12-31,51.67,,
2004-12-31,45.8,,
2005-12-31,46.58,,
2006-12-31,,54.88,50.6
2007-12-31,,49.19,55.11
2008-12-31,,55.11,52.28
2009-12-31,,50.6,53.62
2010-12-31,,51.66,54.83
2011-12-31,,50.17,50.87
2012-12-31,,53.81,51.81
2013-12-31,,52.4,49.79
2014-12-31,,49.09,52.15
2015-12-31,,54.56,47.27
2016-12-31,,52.97,53.95
2017-12-31,,48.36,49.9
2018-12-31,,50.21,58.25
2019-12-31,,50.77,51.24
2020-12-31,,50.96,55.16
2021-12-31,,49.1,55.75
2022-12-31,,49.58,61.92
2023-12-31,,47.64,54.96
2024-12-31,,49.45,56.46
2025-12-31,,53.55,59.28
2026-12-31,,53.0,52.03
2027-12-31,,47.45,54.5
2028-12-31,,51.63,53.08
2029-12-31,,49.83,54.17
2030-12-31,,52.8,54.16
2031-12-31,,50.18,56.24
2032-12-31,,51.36,60.59
2033-12-31,,50.81,52.38
2034-12-31,,54.69,54.01
2035-12-31,,48.24,50.47
2036-12-31,,62.04,57.7
2037-12-31,,51.6,65.56
2038-12-31,,49.72,51.47
2039-12-31,,48.27,53.96
2040-12-31,,47.34,52.08
2041-12-31,,51.42,62.47
2042-12-31,,54.43,54.27
2043-12-31,,49.12,58.28
2044-12-31,,48.88,60.92
2045-12-31,,52.64,55.62
2046-12-31,,49.33,56.99
2047-12-31,,58.39,60.96
2048-12-31,,46.99,53.97
2049-12-31,,52.61,56.47
2050-12-31,,56.24,61.99
2051-12-31,,49.59,55.97
2052-12-31,,51.78,53.05
2053-12-31,,48.67,57.16
2054-12-31,,47.47,52.66
2055-12-31,,51.02,57.14
2056-12-31,,53.08,57.37
2057-12-31,,49.96,56.66
2058-12-31,,49.95,59.7
2059-12-31,,48.73,59.83
2060-12-31,,53.24,58.69
2061-12-31,,56.24,60.32
2062-12-31,,52.14,64.96
2063-12-31,,53.18,55.74
2064-12-31,,54.53,63.33
2065-12-31,,51.71,52.34
2066-12-31,,54.6,60.73
2067-12-31,,56.06,53.82
2068-12-31,,57.59,57.15
2069-12-31,,59.17,57.92
2070-12-31,,55.04,54.4
2071-12-31,,53.11,58.47
2072-12-31,,50.42,56.14
2073-12-31,,49.9,53.91
2074-12-31,,54.17,59.07
2075-12-31,,48.18,63.35
2076-12-31,,49.54,63.7
2077-12-31,,49.88,58.83
2078-12-31,,51.99,60.17
2079-12-31,,55.44,59.04
2080-12-31,,56.23,64.63
2081-12-31,,50.21,61.84
2082-12-31,,55.7,54.52
2083-12-31,,49.49,61.54
2084-12-31,,54.48,61.33
2085-12-31,,48.88,59.78
2086-12-31,,53.42,63.31
2087-12-31,,55.66,63.39
2088-12-31,,53.01,64.37
2089-12-31,,54.72,63.78
2090-12-31,,54.19,59.1
2091-12-31,,49.01,58.75
2092-12-31,,50.01,69.16
2093-12-31,,60.1,62.23
2094-12-31,,54.18,64.04
2095-12-31,,56.2,68.18
2096-12-31,,56.08,60.73
2097-12-31,,53.26,62.68
2098-12-31,,51.34,65.54
2099-12-31,,52.03,63.56
