date,spei
1981-12-31,0.38
1982-12-31,0.18
1983-12-31,0.02
1984-12-31,0.4
1985-12-31,0.53
1986-12-31,-0.15
1987-12-31,-0.14
1988-12-31,0.03
1989-12-31,0.67
1990-12-31,0.77
1991-12-31,0.23
1992-12-31,0.09
1993-12-31,0.17
1994-12-31,0.07
1995-12-31,-0.17
1996-12-31,0.03
1997-12-31,0.08
1998-12-31,-0.08
1999-12-31,-0.25
2000-12-31,0.25
2001-12-31,-0.16
2002-12-31,0.05
2003-12-31,-0.38
2004-12-31,-0.48
2005-12-31,0.01
2006-12-31,-0.02
2007-12-31,-0.42
2008-12-31,-0.27
2009-12-31,-0.53
2010-12-31,-0.48
2011-12-31,-0.1
2012-12-31,0.18
2013-12-31,-0.43
2014-12-31,-0.59
