date,mean
2006-12-31,26.2
2007-12-31,26.54
2008-12-31,26.27
2009-12-31,26.19
2010-12-31,26.05
2011-12-31,26.28
2012-12-31,26.57
2013-12-31,26.23
2014-12-31,26.18
2015-12-31,26.45
2016-12-31,26.8
2017-12-31,26.48
2018-12-31,26.57
2019-12-31,26.89
2020-12-31,27.04
2021-12-31,26.71
2022-12-31,27.02
2023-12-31,26.91
2024-12-31,26.81
2025-12-31,26.94
2026-12-31,26.95
2027-12-31,27.03
2028-12-31,27.21
2029-12-31,27.3
2030-12-31,27.15
2031-12-31,27.2
2032-12-31,27.07
2033-12-31,27.24
2034-12-31,27.51
2035-12-31,27.69
2036-12-31,27.24
2037-12-31,26.92
2038-12-31,27.37
2039-12-31,27.65
2040-12-31,27.21
2041-12-31,27.45
2042-12-31,27.35
2043-12-31,27.38
2044-12-31,27.44
2045-12-31,27.7
2046-12-31,27.96
2047-12-31,27.84
2048-12-31,27.59
2049-12-31,27.93
2050-12-31,27.73
2051-12-31,27.58
2052-12-31,27.86
2053-12-31,28.01
2054-12-31,27.57
2055-12-31,28.0
2056-12-31,27.82
2057-12-31,28.06
2058-12-31,28.44
2059-12-31,28.24
2060-12-31,27.93
2061-12-31,27.99
2062-12-31,27.88
2063-12-31,28.12
2064-12-31,27.82
2065-12-31,28.33
2066-12-31,28.29
2067-12-31,28.11
2068-12-31,28.04
2069-12-31,28.24
2070-12-31,28.04
2071-12-31,28.08
2072-12-31,28.56
2073-12-31,28.24
2074-12-31,28.43
2075-12-31,28.5
2076-12-31,28.27
2077-12-31,28.26
2078-12-31,28.16
2079-12-31,28.32
2080-12-31,28.06
2081-12-31,28.26
2082-12-31,28.61
2083-12-31,28.79
2084-12-31,28.36
2085-12-31,28.38
2086-12-31,28.45
2087-12-31,28.64
2088-12-31,28.45
2089-12-31,28.31
2090-12-31,28.45
2091-12-31,28.46
2092-12-31,28.68
2093-12-31,28.67
2094-12-31,28.34
2095-12-31,28.33
2096-12-31,28.05
2097-12-31,28.21
2098-12-31,28.29
2099-12-31,29.03
