,historical,rcp45,rcp85
1950-12-31,1974.4536637660508,,
1951-12-31,1928.393176967083,,
1952-12-31,1915.3173179408554,,
1953-12-31,1950.364713570738,,
1954-12-31,1893.745779157373,,
1955-12-31,1927.0158054896838,,
1956-12-31,1911.4772034563412,,
1957-12-31,1868.453144531257,,
1958-12-31,1904.2087665666925,,
1959-12-31,1902.4302201625349,,
1960-12-31,1899.969476754332,,
1961-12-31,1911.1083735874788,,
1962-12-31,1925.9317604282992,,
1963-12-31,1906.7127825927807,,
1964-12-31,1873.958702218199,,
1965-12-31,1802.833901018422,,
1966-12-31,1900.5995755440922,,
1967-12-31,1933.0944001988073,,
1968-12-31,1825.6458201381208,,
1969-12-31,1887.8540222168037,,
1970-12-31,1852.866043613986,,
1971-12-31,1926.174164254332,,
1972-12-31,1972.8148953683108,,
1973-12-31,1899.9958848353867,,
1974-12-31,1895.314818115241,,
1975-12-31,1879.9198448835173,,
1976-12-31,1875.011777343757,,
1977-12-31,1929.1830065046113,,
1978-12-31,1960.6822610909676,,
1979-12-31,1967.2858730643206,,
1980-12-31,1941.4109596470496,,
1981-12-31,1919.7776400320945,,
1982-12-31,1915.2162894984726,,
1983-12-31,1833.4230171421666,,
1984-12-31,1921.464537876682,,
1985-12-31,1920.9146620396277,,
1986-12-31,1941.2693279157438,,
1987-12-31,1943.695571812228,,
1988-12-31,1974.6501613072057,,
1989-12-31,1993.1611397879537,,
1990-12-31,2008.641612287256,,
1991-12-31,2054.6782166399344,,
1992-12-31,1839.9715168980267,,
1993-12-31,1957.6198877825127,,
1994-12-31,1990.3933850097728,,
1995-12-31,2043.8728110177249,,
1996-12-31,1958.796658325203,,
1997-12-31,1982.6682675606942,,
1998-12-31,2109.3831719970776,,
1999-12-31,2065.939267926905,,
2000-12-31,2138.2346641322624,,
2001-12-31,2083.1492742048067,,
2002-12-31,2086.409130074645,,
2003-12-31,2140.9183217947902,,
2004-12-31,2155.478913835806,,
2005-12-31,2138.403742675788,,
2006-12-31,,2236.9396488734733,2190.967585710805
2007-12-31,,2231.6225461251474,2214.564855608267
2008-12-31,,2235.3879830496726,2232.9360687255935
2009-12-31,,2188.8427879987526,2204.785899309439
2010-12-31,,2207.5791548374796,2245.485190168116
2011-12-31,,2253.4288355364192,2240.8067786516535
2012-12-31,,2306.550015956341,2345.224043491916
2013-12-31,,2280.319570922859,2260.018831351152
2014-12-31,,2253.4558191789974,2291.382018258239
2015-12-31,,2262.841953909745,2205.155597011029
2016-12-31,,2443.0931143624525,2304.0605924769884
2017-12-31,,2300.447609514517,2372.7991086251477
2018-12-31,,2292.1407533482216,2348.737379324785
2019-12-31,,2420.025985020237,2345.6688080706
2020-12-31,,2446.8413343157163,2434.898199986057
2021-12-31,,2371.0176215471615,2366.3011862618664
2022-12-31,,2441.3685963658004,2398.6581642368938
2023-12-31,,2443.5232461983896,2414.5287193080435
2024-12-31,,2444.073587820879,2496.775393327993
2025-12-31,,2440.8584658377595,2360.9781159319277
2026-12-31,,2463.666097237731,2426.615820661281
2027-12-31,,2550.8432667759566,2478.3255975341876
2028-12-31,,2544.676838117335,2615.7911846923907
2029-12-31,,2545.2295268031608,2513.474043143144
2030-12-31,,2538.488288487033,2605.454031110499
2031-12-31,,2556.687231009355,2566.4617318289697
2032-12-31,,2508.940395943786,2581.1916223144617
2033-12-31,,2548.9806706891823,2555.4068530273516
2034-12-31,,2619.61795410157,2632.3036974225806
2035-12-31,,2675.3301592145735,2605.3340656389587
2036-12-31,,2591.5471047537753,2648.814757254473
2037-12-31,,2518.809025094176,2664.488700299952
2038-12-31,,2610.482772739964,2633.8935592215485
2039-12-31,,2725.7835028948184,2762.0134691510966
2040-12-31,,2614.8008155168886,2705.303137555812
2041-12-31,,2703.2727052525197,2693.403920113708
2042-12-31,,2647.2548331996454,2768.5582550920835
2043-12-31,,2663.9189916992273,2785.95491768974
2044-12-31,,2624.700872105198,2779.182537841805
2045-12-31,,2761.972225864963,2804.07996041435
2046-12-31,,2797.9842061942054,2904.8020460728326
2047-12-31,,2757.4652235630665,2937.5763446045007
2048-12-31,,2701.2191114153266,2935.2304091971346
2049-12-31,,2817.1984858049755,3006.030434308742
2050-12-31,,2767.424462280281,2980.441411917559
2051-12-31,,2713.220309012285,2949.984779139936
2052-12-31,,2779.7211261858342,3024.4939783586856
2053-12-31,,2810.0886240931995,3073.830219290606
2054-12-31,,2727.8668367222467,3075.5919879150483
2055-12-31,,2888.897072143564,3137.4844699532737
2056-12-31,,2840.3405816650475,3130.5353540039146
2057-12-31,,2849.026374424535,3224.081261160724
2058-12-31,,2938.5166638183678,3249.129591326041
2059-12-31,,2912.395592912955,3240.5318164062587
2060-12-31,,2890.0567628697067,3309.4593048095794
2061-12-31,,2835.0207291957395,3282.503890729641
2062-12-31,,2877.06720084055,3388.1088232421966
2063-12-31,,2900.978940080923,3319.698272530701
2064-12-31,,2817.1127924456005,3450.7512124197915
2065-12-31,,2967.4681020682287,3483.2467112514037
2066-12-31,,2909.188640311114,3362.943823503775
2067-12-31,,2922.605957292837,3469.548792288653
2068-12-31,,2880.77679748536,3557.270021972665
2069-12-31,,2973.9351792689813,3572.1982595389322
2070-12-31,,2906.6910434396013,3635.5088363211585
2071-12-31,,2886.223631417419,3612.584820120685
2072-12-31,,3066.904922921325,3641.4962757219682
2073-12-31,,2942.38439426968,3678.125241524842
2074-12-31,,2988.3239474923357,3765.7523459298363
2075-12-31,,3032.1541298130664,3722.135021362315
2076-12-31,,2988.3566433279943,3672.3624690464653
2077-12-31,,2979.7809706333787,3788.3951456124537
2078-12-31,,2936.530068795349,3757.69152343751
2079-12-31,,3057.1298455810634,3816.9620145089375
2080-12-31,,2939.1448042515435,3819.7534422084364
2081-12-31,,2973.2660045514876,3839.832210780562
2082-12-31,,3061.9853002057844,3861.6534503173925
2083-12-31,,3113.7958424595513,3873.6791584123966
2084-12-31,,3014.8053642926984,3885.340749075763
2085-12-31,,2967.871813790466,3896.084943150121
2086-12-31,,3035.420319998613,3916.0910992431736
2087-12-31,,3069.473685302743,4014.277461809441
2088-12-31,,2984.233778424953,4089.372246442531
2089-12-31,,2980.3911083984462,4020.8949584961033
2090-12-31,,3028.0388463483623,4217.376382097526
2091-12-31,,3059.350027029863,4154.413409249451
2092-12-31,,3050.603232073111,4256.419176112593
2093-12-31,,3069.7119594901037,4232.951351405561
2094-12-31,,3002.1018442208515,4464.296843610502
2095-12-31,,2993.1446277727487,4275.955643136172
2096-12-31,,2908.7666032104576,4357.731818586088
2097-12-31,,2921.4098499755946,4297.791019374312
2098-12-31,,2958.874850097665,4306.737119140635
2099-12-31,,2984.4272161560148,4363.413338099898
