date,spei
2015-12-31,-0.66
2016-12-31,-0.64
2017-12-31,-0.14
2018-12-31,0.45
2019-12-31,-0.02
2020-12-31,-0.06
2021-12-31,-0.3
2022-12-31,-0.38
2023-12-31,-0.35
2024-12-31,0.12
2025-12-31,0.1
2026-12-31,-0.24
2027-12-31,-0.63
2028-12-31,-0.15
2029-12-31,-0.58
2030-12-31,-0.96
2031-12-31,-0.6
2032-12-31,-0.76
2033-12-31,-0.59
2034-12-31,-0.45
2035-12-31,-0.18
2036-12-31,0.12
2037-12-31,-0.31
2038-12-31,-0.3
2039-12-31,-0.84
2040-12-31,-0.8
2041-12-31,-0.49
2042-12-31,-0.75
2043-12-31,-0.25
2044-12-31,-0.51
2045-12-31,-0.44
2046-12-31,-0.0
2047-12-31,-0.31
2048-12-31,-0.26
2049-12-31,-0.14
2050-12-31,-0.32
2051-12-31,-0.43
2052-12-31,-0.09
2053-12-31,-0.07
2054-12-31,-0.51
2055-12-31,-0.36
2056-12-31,-0.57
2057-12-31,-0.58
2058-12-31,-0.26
2059-12-31,-0.23
2060-12-31,-0.48
2061-12-31,-0.21
2062-12-31,-0.03
2063-12-31,0.13
2064-12-31,-0.49
2065-12-31,-0.76
2066-12-31,0.1
2067-12-31,-0.39
2068-12-31,-0.53
2069-12-31,-0.57
2070-12-31,-0.96
2071-12-31,-0.45
2072-12-31,-0.4
2073-12-31,-0.39
2074-12-31,-0.27
2075-12-31,-0.4
2076-12-31,-0.47
2077-12-31,-0.4
2078-12-31,-0.25
2079-12-31,-0.39
2080-12-31,-0.27
2081-12-31,-0.23
2082-12-31,-0.5
2083-12-31,-0.71
2084-12-31,-0.35
2085-12-31,-0.48
2086-12-31,-0.54
2087-12-31,-0.39
2088-12-31,-0.82
2089-12-31,-0.32
2090-12-31,0.16
2091-12-31,-0.25
2092-12-31,-0.63
2093-12-31,-0.75
2094-12-31,-0.45
2095-12-31,-0.02
2096-12-31,0.1
2097-12-31,-0.15
2098-12-31,-0.03
2099-12-31,-0.4
2100-12-31,-0.71
