date,mean
2006-12-31,18.89
2007-12-31,19.16
2008-12-31,18.86
2009-12-31,19.02
2010-12-31,18.9
2011-12-31,19.03
2012-12-31,19.25
2013-12-31,19.07
2014-12-31,18.96
2015-12-31,19.18
2016-12-31,19.02
2017-12-31,19.08
2018-12-31,19.06
2019-12-31,19.45
2020-12-31,19.4
2021-12-31,19.05
2022-12-31,19.56
2023-12-31,19.53
2024-12-31,19.58
2025-12-31,19.69
2026-12-31,19.91
2027-12-31,19.48
2028-12-31,19.82
2029-12-31,19.92
2030-12-31,19.69
2031-12-31,19.89
2032-12-31,19.93
2033-12-31,20.12
2034-12-31,19.96
2035-12-31,20.2
2036-12-31,20.09
2037-12-31,19.89
2038-12-31,20.11
2039-12-31,20.18
2040-12-31,19.77
2041-12-31,20.28
2042-12-31,20.1
2043-12-31,20.09
2044-12-31,20.07
2045-12-31,20.49
2046-12-31,20.51
2047-12-31,20.52
2048-12-31,20.36
2049-12-31,20.63
2050-12-31,20.61
2051-12-31,20.45
2052-12-31,20.82
2053-12-31,20.77
2054-12-31,20.69
2055-12-31,20.56
2056-12-31,20.43
2057-12-31,20.7
2058-12-31,21.2
2059-12-31,20.73
2060-12-31,20.5
2061-12-31,20.75
2062-12-31,20.76
2063-12-31,20.76
2064-12-31,20.6
2065-12-31,20.98
2066-12-31,20.95
2067-12-31,20.96
2068-12-31,20.84
2069-12-31,21.13
2070-12-31,20.82
2071-12-31,20.96
2072-12-31,21.47
2073-12-31,21.04
2074-12-31,21.14
2075-12-31,21.18
2076-12-31,21.55
2077-12-31,21.1
2078-12-31,21.03
2079-12-31,21.15
2080-12-31,20.96
2081-12-31,21.21
2082-12-31,21.31
2083-12-31,21.51
2084-12-31,21.21
2085-12-31,21.07
2086-12-31,21.3
2087-12-31,21.38
2088-12-31,21.23
2089-12-31,21.23
2090-12-31,21.12
2091-12-31,21.29
2092-12-31,21.58
2093-12-31,21.46
2094-12-31,21.28
2095-12-31,21.27
2096-12-31,21.18
2097-12-31,21.28
2098-12-31,21.14
2099-12-31,21.58
