date,mean
1950-12-31,0.87
1951-12-31,0.87
1952-12-31,0.88
1953-12-31,0.87
1954-12-31,0.99
1955-12-31,0.88
1956-12-31,0.88
1957-12-31,0.89
1958-12-31,0.9
1959-12-31,0.89
1960-12-31,0.93
1961-12-31,0.84
1962-12-31,0.92
1963-12-31,0.88
1964-12-31,0.92
1965-12-31,0.84
1966-12-31,0.84
1967-12-31,0.89
1968-12-31,0.93
1969-12-31,0.92
1970-12-31,0.89
1971-12-31,0.87
1972-12-31,0.88
1973-12-31,0.92
1974-12-31,0.94
1975-12-31,0.93
1976-12-31,0.88
1977-12-31,0.93
1978-12-31,0.96
1979-12-31,0.9
1980-12-31,0.79
1981-12-31,0.91
1982-12-31,0.9
1983-12-31,0.89
1984-12-31,0.88
1985-12-31,0.92
1986-12-31,0.9
1987-12-31,0.9
1988-12-31,0.83
1989-12-31,1.0
1990-12-31,0.82
1991-12-31,0.97
1992-12-31,0.87
1993-12-31,0.89
1994-12-31,0.84
1995-12-31,0.82
1996-12-31,0.97
1997-12-31,0.91
1998-12-31,0.95
1999-12-31,0.88
2000-12-31,0.93
2001-12-31,0.94
2002-12-31,0.87
2003-12-31,1.0
2004-12-31,0.94
2005-12-31,0.94
