date,mean
2006-12-31,0.93
2007-12-31,0.85
2008-12-31,0.91
2009-12-31,0.88
2010-12-31,0.89
2011-12-31,0.85
2012-12-31,0.88
2013-12-31,0.91
2014-12-31,0.78
2015-12-31,0.88
2016-12-31,0.97
2017-12-31,0.94
2018-12-31,0.92
2019-12-31,0.87
2020-12-31,0.92
2021-12-31,0.89
2022-12-31,0.91
2023-12-31,1.03
2024-12-31,0.91
2025-12-31,0.99
2026-12-31,0.88
2027-12-31,1.01
2028-12-31,0.91
2029-12-31,0.9
2030-12-31,0.89
2031-12-31,0.95
2032-12-31,0.97
2033-12-31,0.91
2034-12-31,0.91
2035-12-31,1.0
2036-12-31,0.92
2037-12-31,0.94
2038-12-31,0.98
2039-12-31,0.87
2040-12-31,0.92
2041-12-31,0.92
2042-12-31,0.92
2043-12-31,0.94
2044-12-31,0.96
2045-12-31,0.94
2046-12-31,0.93
2047-12-31,0.95
2048-12-31,1.02
2049-12-31,0.92
2050-12-31,0.98
2051-12-31,0.99
2052-12-31,1.01
2053-12-31,1.05
2054-12-31,0.96
2055-12-31,0.99
2056-12-31,1.0
2057-12-31,0.95
2058-12-31,0.93
2059-12-31,1.0
2060-12-31,1.05
2061-12-31,0.93
2062-12-31,0.98
2063-12-31,0.93
2064-12-31,0.92
2065-12-31,0.96
2066-12-31,0.99
2067-12-31,1.01
2068-12-31,0.9
2069-12-31,1.0
2070-12-31,1.01
2071-12-31,0.97
2072-12-31,1.08
2073-12-31,0.93
2074-12-31,0.98
2075-12-31,0.95
2076-12-31,1.07
2077-12-31,0.98
2078-12-31,1.01
2079-12-31,1.08
2080-12-31,1.02
2081-12-31,1.07
2082-12-31,0.96
2083-12-31,1.04
2084-12-31,1.03
2085-12-31,1.1
2086-12-31,1.09
2087-12-31,1.05
2088-12-31,0.98
2089-12-31,1.05
2090-12-31,1.11
2091-12-31,1.12
2092-12-31,1.04
2093-12-31,1.02
2094-12-31,1.05
2095-12-31,1.06
2096-12-31,1.03
2097-12-31,1.02
2098-12-31,1.07
2099-12-31,0.96
