date,spei
2015-12-31,-0.07
2016-12-31,0.22
2017-12-31,-0.07
2018-12-31,-0.16
2019-12-31,-0.1
2020-12-31,-0.21
2021-12-31,-0.02
2022-12-31,0.17
2023-12-31,-0.25
2024-12-31,-0.41
2025-12-31,-0.54
2026-12-31,-0.41
2027-12-31,-0.43
2028-12-31,-0.33
2029-12-31,-0.56
2030-12-31,-0.53
2031-12-31,-0.16
2032-12-31,-0.05
2033-12-31,-0.78
2034-12-31,-0.49
2035-12-31,-0.22
2036-12-31,-0.17
2037-12-31,-0.48
2038-12-31,-0.83
2039-12-31,-0.57
2040-12-31,-0.16
2041-12-31,-0.59
2042-12-31,-0.37
2043-12-31,-0.56
2044-12-31,-0.19
2045-12-31,-0.21
2046-12-31,-0.27
2047-12-31,-0.48
2048-12-31,-0.28
2049-12-31,-0.46
2050-12-31,-1.28
2051-12-31,-0.75
2052-12-31,-0.45
2053-12-31,-0.36
2054-12-31,-0.55
2055-12-31,-1.23
2056-12-31,-0.32
2057-12-31,-0.06
2058-12-31,0.03
2059-12-31,-0.38
2060-12-31,-0.91
2061-12-31,-0.85
2062-12-31,-0.36
2063-12-31,-0.05
2064-12-31,-0.49
2065-12-31,-0.8
2066-12-31,-0.72
2067-12-31,-1.4
2068-12-31,-1.04
2069-12-31,-0.47
2070-12-31,-0.2
2071-12-31,-0.68
2072-12-31,0.03
2073-12-31,-0.13
2074-12-31,-0.29
2075-12-31,-0.13
2076-12-31,-0.29
2077-12-31,-0.71
2078-12-31,-0.15
2079-12-31,-0.78
2080-12-31,-1.33
2081-12-31,-0.6
2082-12-31,-1.49
2083-12-31,-1.22
2084-12-31,-0.83
2085-12-31,-0.69
2086-12-31,-1.01
2087-12-31,-1.53
2088-12-31,-1.28
2089-12-31,-0.9
2090-12-31,-0.45
2091-12-31,-0.77
2092-12-31,-1.11
2093-12-31,-0.45
2094-12-31,-0.75
2095-12-31,-0.96
2096-12-31,-0.51
2097-12-31,-0.97
2098-12-31,-0.99
2099-12-31,-0.79
2100-12-31,-0.77
