,historical,rcp45,rcp85
1950-12-31,18.42,,
1951-12-31,14.2,,
1952-12-31,15.5,,
1953-12-31,14.2,,
1954-12-31,19.36,,
1955-12-31,16.4,,
1956-12-31,15.92,,
1957-12-31,13.49,,
1958-12-31,18.15,,
1959-12-31,16.52,,
1960-12-31,15.78,,
1961-12-31,14.97,,
1962-12-31,15.0,,
1963-12-31,15.39,,
1964-12-31,18.33,,
1965-12-31,14.88,,
1966-12-31,13.69,,
1967-12-31,13.95,,
1968-12-31,16.77,,
1969-12-31,15.83,,
1970-12-31,14.23,,
1971-12-31,19.32,,
1972-12-31,15.09,,
1973-12-31,16.19,,
1974-12-31,15.11,,
1975-12-31,14.61,,
1976-12-31,16.16,,
1977-12-31,19.51,,
1978-12-31,16.07,,
1979-12-31,15.13,,
1980-12-31,15.57,,
1981-12-31,18.78,,
1982-12-31,14.31,,
1983-12-31,16.6,,
1984-12-31,16.44,,
1985-12-31,15.5,,
1986-12-31,15.77,,
1987-12-31,15.5,,
1988-12-31,15.83,,
1989-12-31,15.86,,
1990-12-31,14.63,,
1991-12-31,14.25,,
1992-12-31,13.51,,
1993-12-31,17.74,,
1994-12-31,14.89,,
1995-12-31,13.48,,
1996-12-31,15.88,,
1997-12-31,18.04,,
1998-12-31,19.8,,
1999-12-31,23.23,,
2000-12-31,17.6,,
2001-12-31,17.29,,
2002-12-31,11.06,,
2003-12-31,16.34,,
2004-12-31,20.01,,
2005-12-31,15.04,,
2006-12-31,,17.96,15.7
2007-12-31,,15.73,14.55
2008-12-31,,14.39,15.51
2009-12-31,,14.73,16.89
2010-12-31,,15.16,13.24
2011-12-31,,16.62,14.45
2012-12-31,,15.86,18.03
2013-12-31,,16.33,14.29
2014-12-31,,18.34,14.45
2015-12-31,,12.87,14.73
2016-12-31,,16.22,16.82
2017-12-31,,18.21,15.69
2018-12-31,,15.03,16.25
2019-12-31,,12.51,13.94
2020-12-31,,15.9,16.61
2021-12-31,,14.76,15.98
2022-12-31,,14.94,16.76
2023-12-31,,17.76,16.42
2024-12-31,,16.02,14.57
2025-12-31,,14.86,20.13
2026-12-31,,15.55,15.91
2027-12-31,,17.66,20.76
2028-12-31,,16.55,15.47
2029-12-31,,17.74,16.88
2030-12-31,,16.39,16.33
2031-12-31,,15.88,16.33
2032-12-31,,14.82,18.38
2033-12-31,,17.09,16.63
2034-12-31,,17.27,17.38
2035-12-31,,14.97,16.47
2036-12-31,,17.87,16.91
2037-12-31,,15.65,15.3
2038-12-31,,15.03,16.94
2039-12-31,,16.47,16.33
2040-12-31,,15.73,17.83
2041-12-31,,15.3,15.54
2042-12-31,,18.45,16.03
2043-12-31,,16.97,14.83
2044-12-31,,17.87,13.88
2045-12-31,,16.28,14.7
2046-12-31,,18.9,16.12
2047-12-31,,15.94,14.93
2048-12-31,,16.11,15.96
2049-12-31,,15.37,20.88
2050-12-31,,14.77,18.83
2051-12-31,,14.43,16.22
2052-12-31,,16.66,17.34
2053-12-31,,16.85,19.17
2054-12-31,,17.7,17.46
2055-12-31,,19.8,18.85
2056-12-31,,16.56,19.23
2057-12-31,,15.39,17.5
2058-12-31,,18.12,16.55
2059-12-31,,15.89,17.1
2060-12-31,,18.17,15.33
2061-12-31,,19.16,19.6
2062-12-31,,13.4,17.62
2063-12-31,,16.19,15.92
2064-12-31,,20.61,13.74
2065-12-31,,17.8,16.12
2066-12-31,,18.02,18.69
2067-12-31,,16.66,20.11
2068-12-31,,15.52,17.59
2069-12-31,,13.93,20.04
2070-12-31,,17.19,17.55
2071-12-31,,18.47,17.52
2072-12-31,,17.05,18.32
2073-12-31,,18.92,14.55
2074-12-31,,20.79,18.16
2075-12-31,,16.46,16.02
2076-12-31,,16.64,17.9
2077-12-31,,19.03,17.44
2078-12-31,,20.94,14.8
2079-12-31,,17.78,20.81
2080-12-31,,16.77,18.7
2081-12-31,,19.53,20.13
2082-12-31,,16.22,19.83
2083-12-31,,19.7,17.7
2084-12-31,,17.21,17.52
2085-12-31,,15.83,16.5
2086-12-31,,18.12,17.68
2087-12-31,,16.94,17.26
2088-12-31,,16.02,15.99
2089-12-31,,17.04,17.23
2090-12-31,,19.14,17.96
2091-12-31,,18.61,19.35
2092-12-31,,17.89,15.41
2093-12-31,,15.67,22.48
2094-12-31,,18.09,16.38
2095-12-31,,17.37,19.83
2096-12-31,,15.8,15.48
2097-12-31,,19.74,16.34
2098-12-31,,17.68,15.98
2099-12-31,,17.13,17.15
