date,mean
1950-12-31,17.9
1951-12-31,17.95
1952-12-31,17.97
1953-12-31,18.14
1954-12-31,17.73
1955-12-31,17.8
1956-12-31,17.97
1957-12-31,17.76
1958-12-31,17.82
1959-12-31,17.84
1960-12-31,17.82
1961-12-31,17.85
1962-12-31,17.92
1963-12-31,17.92
1964-12-31,17.46
1965-12-31,17.35
1966-12-31,17.65
1967-12-31,18.05
1968-12-31,17.52
1969-12-31,17.55
1970-12-31,17.54
1971-12-31,17.84
1972-12-31,17.9
1973-12-31,17.86
1974-12-31,17.59
1975-12-31,17.77
1976-12-31,17.68
1977-12-31,17.96
1978-12-31,17.94
1979-12-31,18.22
1980-12-31,18.21
1981-12-31,18.15
1982-12-31,17.82
1983-12-31,17.5
1984-12-31,17.83
1985-12-31,18.07
1986-12-31,18.14
1987-12-31,18.11
1988-12-31,18.19
1989-12-31,18.28
1990-12-31,18.45
1991-12-31,18.43
1992-12-31,17.72
1993-12-31,17.98
1994-12-31,18.51
1995-12-31,18.26
1996-12-31,18.18
1997-12-31,18.42
1998-12-31,18.82
1999-12-31,18.38
2000-12-31,18.67
2001-12-31,18.33
2002-12-31,18.86
2003-12-31,18.81
2004-12-31,18.78
2005-12-31,19.41
