date,mean
2006-12-31,18.97
2007-12-31,19.32
2008-12-31,18.95
2009-12-31,18.98
2010-12-31,18.83
2011-12-31,18.98
2012-12-31,19.22
2013-12-31,19.0
2014-12-31,18.87
2015-12-31,19.18
2016-12-31,19.24
2017-12-31,19.15
2018-12-31,19.11
2019-12-31,19.49
2020-12-31,19.61
2021-12-31,19.11
2022-12-31,19.57
2023-12-31,19.54
2024-12-31,19.56
2025-12-31,19.74
2026-12-31,19.79
2027-12-31,19.52
2028-12-31,19.9
2029-12-31,19.95
2030-12-31,19.8
2031-12-31,19.97
2032-12-31,19.94
2033-12-31,20.13
2034-12-31,19.97
2035-12-31,20.35
2036-12-31,20.14
2037-12-31,19.86
2038-12-31,20.14
2039-12-31,20.35
2040-12-31,19.84
2041-12-31,20.3
2042-12-31,20.17
2043-12-31,20.07
2044-12-31,20.15
2045-12-31,20.55
2046-12-31,20.68
2047-12-31,20.57
2048-12-31,20.33
2049-12-31,20.75
2050-12-31,20.62
2051-12-31,20.49
2052-12-31,20.8
2053-12-31,20.73
2054-12-31,20.61
2055-12-31,20.75
2056-12-31,20.51
2057-12-31,20.78
2058-12-31,21.33
2059-12-31,20.89
2060-12-31,20.56
2061-12-31,20.81
2062-12-31,20.7
2063-12-31,20.76
2064-12-31,20.63
2065-12-31,21.08
2066-12-31,20.97
2067-12-31,21.03
2068-12-31,20.86
2069-12-31,21.16
2070-12-31,20.76
2071-12-31,20.83
2072-12-31,21.47
2073-12-31,21.0
2074-12-31,21.17
2075-12-31,21.23
2076-12-31,21.44
2077-12-31,21.1
2078-12-31,20.97
2079-12-31,21.12
2080-12-31,20.83
2081-12-31,21.25
2082-12-31,21.32
2083-12-31,21.61
2084-12-31,21.12
2085-12-31,21.13
2086-12-31,21.3
2087-12-31,21.46
2088-12-31,21.3
2089-12-31,21.18
2090-12-31,21.08
2091-12-31,21.27
2092-12-31,21.62
2093-12-31,21.54
2094-12-31,21.27
2095-12-31,21.18
2096-12-31,21.02
2097-12-31,21.19
2098-12-31,21.13
2099-12-31,21.44
