,historical,rcp45,rcp85
1950-12-31,189.04,,
1951-12-31,195.44,,
1952-12-31,173.96,,
1953-12-31,188.46,,
1954-12-31,165.14,,
1955-12-31,178.39,,
1956-12-31,181.44,,
1957-12-31,195.54,,
1958-12-31,167.2,,
1959-12-31,167.13,,
1960-12-31,171.83,,
1961-12-31,162.0,,
1962-12-31,176.37,,
1963-12-31,163.33,,
1964-12-31,161.45,,
1965-12-31,133.28,,
1966-12-31,147.52,,
1967-12-31,207.54,,
1968-12-31,149.51,,
1969-12-31,157.68,,
1970-12-31,156.28,,
1971-12-31,178.76,,
1972-12-31,193.33,,
1973-12-31,185.25,,
1974-12-31,177.05,,
1975-12-31,143.49,,
1976-12-31,161.61,,
1977-12-31,195.5,,
1978-12-31,206.96,,
1979-12-31,186.6,,
1980-12-31,197.34,,
1981-12-31,206.26,,
1982-12-31,182.23,,
1983-12-31,147.51,,
1984-12-31,156.27,,
1985-12-31,190.63,,
1986-12-31,181.94,,
1987-12-31,207.73,,
1988-12-31,225.11,,
1989-12-31,206.2,,
1990-12-31,245.37,,
1991-12-31,241.8,,
1992-12-31,150.54,,
1993-12-31,198.7,,
1994-12-31,239.25,,
1995-12-31,213.38,,
1996-12-31,188.36,,
1997-12-31,224.37,,
1998-12-31,261.69,,
1999-12-31,251.07,,
2000-12-31,277.89,,
2001-12-31,263.14,,
2002-12-31,265.67,,
2003-12-31,290.43,,
2004-12-31,270.5,,
2005-12-31,283.82,,
2006-12-31,,313.01,295.22
2007-12-31,,278.83,295.29
2008-12-31,,274.98,296.33
2009-12-31,,312.86,325.95
2010-12-31,,297.55,318.19
2011-12-31,,304.77,325.86
2012-12-31,,327.64,355.03
2013-12-31,,323.02,306.76
2014-12-31,,291.68,346.44
2015-12-31,,302.29,327.73
2016-12-31,,374.26,319.37
2017-12-31,,335.88,354.0
2018-12-31,,339.7,380.89
2019-12-31,,359.55,353.78
2020-12-31,,379.15,378.83
2021-12-31,,337.11,360.55
2022-12-31,,414.34,400.09
2023-12-31,,379.3,399.5
2024-12-31,,393.98,445.29
2025-12-31,,413.77,387.03
2026-12-31,,396.38,392.79
2027-12-31,,423.62,410.86
2028-12-31,,434.37,449.82
2029-12-31,,408.99,460.09
2030-12-31,,409.73,504.84
2031-12-31,,431.86,454.52
2032-12-31,,426.32,463.15
2033-12-31,,440.78,460.08
2034-12-31,,475.4,489.85
2035-12-31,,519.77,473.82
2036-12-31,,502.64,513.38
2037-12-31,,481.44,557.06
2038-12-31,,503.51,526.42
2039-12-31,,538.22,539.09
2040-12-31,,498.28,532.3
2041-12-31,,515.9,527.13
2042-12-31,,500.42,584.4
2043-12-31,,478.14,548.61
2044-12-31,,454.13,583.1
2045-12-31,,552.2,612.86
2046-12-31,,557.9,633.33
2047-12-31,,572.31,652.25
2048-12-31,,502.67,638.91
2049-12-31,,591.41,686.17
2050-12-31,,563.26,668.73
2051-12-31,,542.53,672.65
2052-12-31,,559.2,684.25
2053-12-31,,563.63,718.64
2054-12-31,,520.21,741.96
2055-12-31,,600.29,726.44
2056-12-31,,580.92,791.41
2057-12-31,,590.98,795.8
2058-12-31,,651.58,770.35
2059-12-31,,582.42,789.7
2060-12-31,,591.7,767.86
2061-12-31,,534.97,808.05
2062-12-31,,586.94,861.38
2063-12-31,,607.32,913.45
2064-12-31,,567.55,903.65
2065-12-31,,626.17,939.12
2066-12-31,,642.28,864.79
2067-12-31,,636.77,948.19
2068-12-31,,618.77,1012.71
2069-12-31,,653.11,1021.4
2070-12-31,,570.51,991.97
2071-12-31,,624.31,1004.38
2072-12-31,,688.84,987.96
2073-12-31,,605.29,1081.49
2074-12-31,,621.81,1102.94
2075-12-31,,668.23,1071.35
2076-12-31,,669.75,1019.87
2077-12-31,,668.6,1131.75
2078-12-31,,622.63,1103.23
2079-12-31,,629.32,1147.86
2080-12-31,,622.92,1168.28
2081-12-31,,627.18,1137.47
2082-12-31,,636.08,1211.84
2083-12-31,,687.97,1177.04
2084-12-31,,677.01,1216.83
2085-12-31,,649.59,1155.43
2086-12-31,,681.3,1206.28
2087-12-31,,674.07,1231.49
2088-12-31,,691.26,1267.57
2089-12-31,,679.62,1265.3
2090-12-31,,640.9,1350.27
2091-12-31,,649.18,1296.59
2092-12-31,,725.16,1374.8
2093-12-31,,719.56,1363.76
2094-12-31,,666.88,1484.33
2095-12-31,,666.3,1353.46
2096-12-31,,627.03,1493.31
2097-12-31,,630.7,1432.23
2098-12-31,,659.36,1451.98
2099-12-31,,671.16,1561.2
