,historical,rcp45,rcp85
1950-12-31,6790.68,,
1951-12-31,6720.36,,
1952-12-31,6757.25,,
1953-12-31,6681.87,,
1954-12-31,6808.91,,
1955-12-31,6860.07,,
1956-12-31,6737.36,,
1957-12-31,6840.52,,
1958-12-31,6762.98,,
1959-12-31,6799.79,,
1960-12-31,6834.03,,
1961-12-31,6795.02,,
1962-12-31,6750.99,,
1963-12-31,6692.56,,
1964-12-31,7021.78,,
1965-12-31,7057.39,,
1966-12-31,6954.66,,
1967-12-31,6755.9,,
1968-12-31,6981.43,,
1969-12-31,6975.1,,
1970-12-31,6984.06,,
1971-12-31,6856.18,,
1972-12-31,6821.46,,
1973-12-31,6759.17,,
1974-12-31,6942.57,,
1975-12-31,6805.03,,
1976-12-31,6849.15,,
1977-12-31,6727.18,,
1978-12-31,6757.76,,
1979-12-31,6576.44,,
1980-12-31,6645.86,,
1981-12-31,6585.47,,
1982-12-31,6804.84,,
1983-12-31,6944.42,,
1984-12-31,6816.76,,
1985-12-31,6715.96,,
1986-12-31,6615.4,,
1987-12-31,6696.75,,
1988-12-31,6656.33,,
1989-12-31,6580.58,,
1990-12-31,6648.17,,
1991-12-31,6446.51,,
1992-12-31,6885.45,,
1993-12-31,6728.37,,
1994-12-31,6567.86,,
1995-12-31,6740.42,,
1996-12-31,6587.81,,
1997-12-31,6461.68,,
1998-12-31,6332.52,,
1999-12-31,6499.3,,
2000-12-31,6385.89,,
2001-12-31,6567.37,,
2002-12-31,6341.75,,
2003-12-31,6409.04,,
2004-12-31,6306.64,,
2005-12-31,5931.62,,
2006-12-31,,6214.76,6270.55
2007-12-31,,6071.47,6238.56
2008-12-31,,6283.81,6223.45
2009-12-31,,6212.37,6322.99
2010-12-31,,6221.15,6373.33
2011-12-31,,6216.17,6194.61
2012-12-31,,6104.43,6041.14
2013-12-31,,6248.4,6276.09
2014-12-31,,6190.23,6195.97
2015-12-31,,6091.61,6270.49
2016-12-31,,6198.5,6168.16
2017-12-31,,6145.99,6010.35
2018-12-31,,6179.87,5947.16
2019-12-31,,6080.14,6053.52
2020-12-31,,6041.3,6013.49
2021-12-31,,6107.35,5972.15
2022-12-31,,5966.44,5967.02
2023-12-31,,5927.18,5950.38
2024-12-31,,6006.4,5903.12
2025-12-31,,5821.51,5976.76
2026-12-31,,5770.92,5858.92
2027-12-31,,5958.09,5981.95
2028-12-31,,5806.57,5724.69
2029-12-31,,5741.01,5738.75
2030-12-31,,5789.26,5673.42
2031-12-31,,5787.44,5861.26
2032-12-31,,5767.89,5927.8
2033-12-31,,5681.41,5655.61
2034-12-31,,5812.1,5754.47
2035-12-31,,5645.75,5599.65
2036-12-31,,5640.1,5705.58
2037-12-31,,5834.46,5555.34
2038-12-31,,5735.95,5562.46
2039-12-31,,5654.1,5583.53
2040-12-31,,5838.64,5558.27
2041-12-31,,5653.27,5552.95
2042-12-31,,5704.44,5512.05
2043-12-31,,5663.3,5421.02
2044-12-31,,5623.88,5551.62
2045-12-31,,5575.4,5449.08
2046-12-31,,5540.43,5323.23
2047-12-31,,5518.21,5366.87
2048-12-31,,5573.58,5375.9
2049-12-31,,5478.39,5281.82
2050-12-31,,5457.1,5119.21
2051-12-31,,5518.79,5305.52
2052-12-31,,5423.38,5255.34
2053-12-31,,5384.64,5113.31
2054-12-31,,5389.15,5073.93
2055-12-31,,5464.37,5095.53
2056-12-31,,5548.73,5093.75
2057-12-31,,5456.74,4932.04
2058-12-31,,5307.45,4961.4
2059-12-31,,5317.57,4977.06
2060-12-31,,5510.52,5009.42
2061-12-31,,5350.07,4944.3
2062-12-31,,5403.74,4858.21
2063-12-31,,5455.5,4918.81
2064-12-31,,5407.12,4888.97
2065-12-31,,5307.29,4848.03
2066-12-31,,5364.34,4769.33
2067-12-31,,5418.19,4887.33
2068-12-31,,5464.92,4609.6
2069-12-31,,5300.02,4610.96
2070-12-31,,5378.63,4590.0
2071-12-31,,5393.93,4645.0
2072-12-31,,5225.62,4647.19
2073-12-31,,5279.96,4588.39
2074-12-31,,5227.17,4625.51
2075-12-31,,5267.66,4527.82
2076-12-31,,5162.29,4588.98
2077-12-31,,5230.18,4583.82
2078-12-31,,5206.46,4452.86
2079-12-31,,5219.23,4407.91
2080-12-31,,5409.16,4484.7
2081-12-31,,5282.01,4346.08
2082-12-31,,5147.89,4289.18
2083-12-31,,5128.91,4395.17
2084-12-31,,5271.76,4434.22
2085-12-31,,5237.42,4314.5
2086-12-31,,5248.41,4237.14
2087-12-31,,5205.29,4260.35
2088-12-31,,5216.14,4232.33
2089-12-31,,5300.43,4236.51
2090-12-31,,5289.28,4205.96
2091-12-31,,5239.31,4122.27
2092-12-31,,5196.13,4191.59
2093-12-31,,5174.63,4058.32
2094-12-31,,5189.65,4004.6
2095-12-31,,5193.6,4099.96
2096-12-31,,5241.7,4049.96
2097-12-31,,5197.46,4034.45
2098-12-31,,5276.29,3945.55
2099-12-31,,4602.95,3507.2
