date,mean
2006-12-31,13.17
2007-12-31,13.44
2008-12-31,13.12
2009-12-31,13.2
2010-12-31,13.1
2011-12-31,13.21
2012-12-31,13.39
2013-12-31,13.28
2014-12-31,13.19
2015-12-31,13.37
2016-12-31,13.3
2017-12-31,13.29
2018-12-31,13.3
2019-12-31,13.63
2020-12-31,13.72
2021-12-31,13.33
2022-12-31,13.78
2023-12-31,13.72
2024-12-31,13.79
2025-12-31,13.95
2026-12-31,14.1
2027-12-31,13.7
2028-12-31,14.07
2029-12-31,14.1
2030-12-31,13.89
2031-12-31,14.12
2032-12-31,14.13
2033-12-31,14.3
2034-12-31,14.12
2035-12-31,14.46
2036-12-31,14.33
2037-12-31,14.04
2038-12-31,14.31
2039-12-31,14.43
2040-12-31,14.02
2041-12-31,14.46
2042-12-31,14.31
2043-12-31,14.28
2044-12-31,14.31
2045-12-31,14.69
2046-12-31,14.74
2047-12-31,14.73
2048-12-31,14.55
2049-12-31,14.85
2050-12-31,14.83
2051-12-31,14.66
2052-12-31,14.94
2053-12-31,14.9
2054-12-31,14.8
2055-12-31,14.78
2056-12-31,14.63
2057-12-31,14.91
2058-12-31,15.36
2059-12-31,14.99
2060-12-31,14.65
2061-12-31,14.94
2062-12-31,14.87
2063-12-31,14.9
2064-12-31,14.77
2065-12-31,15.22
2066-12-31,15.1
2067-12-31,15.13
2068-12-31,14.93
2069-12-31,15.32
2070-12-31,14.96
2071-12-31,15.04
2072-12-31,15.63
2073-12-31,15.2
2074-12-31,15.29
2075-12-31,15.39
2076-12-31,15.66
2077-12-31,15.24
2078-12-31,15.12
2079-12-31,15.34
2080-12-31,15.05
2081-12-31,15.33
2082-12-31,15.5
2083-12-31,15.75
2084-12-31,15.32
2085-12-31,15.21
2086-12-31,15.38
2087-12-31,15.54
2088-12-31,15.4
2089-12-31,15.42
2090-12-31,15.23
2091-12-31,15.43
2092-12-31,15.75
2093-12-31,15.69
2094-12-31,15.41
2095-12-31,15.39
2096-12-31,15.26
2097-12-31,15.35
2098-12-31,15.28
2099-12-31,15.71
