,historical,rcp45,rcp85
1950-12-31,10421.81,,
1951-12-31,10301.36,,
1952-12-31,10387.24,,
1953-12-31,10309.87,,
1954-12-31,10437.45,,
1955-12-31,10491.47,,
1956-12-31,10417.09,,
1957-12-31,10430.93,,
1958-12-31,10352.83,,
1959-12-31,10440.44,,
1960-12-31,10442.87,,
1961-12-31,10408.32,,
1962-12-31,10377.85,,
1963-12-31,10326.32,,
1964-12-31,10656.67,,
1965-12-31,10726.8,,
1966-12-31,10593.13,,
1967-12-31,10358.91,,
1968-12-31,10650.14,,
1969-12-31,10602.36,,
1970-12-31,10637.67,,
1971-12-31,10445.65,,
1972-12-31,10410.74,,
1973-12-31,10349.47,,
1974-12-31,10549.58,,
1975-12-31,10478.82,,
1976-12-31,10473.44,,
1977-12-31,10348.19,,
1978-12-31,10345.63,,
1979-12-31,10221.02,,
1980-12-31,10210.61,,
1981-12-31,10174.49,,
1982-12-31,10418.27,,
1983-12-31,10525.51,,
1984-12-31,10441.02,,
1985-12-31,10309.71,,
1986-12-31,10240.37,,
1987-12-31,10267.47,,
1988-12-31,10180.4,,
1989-12-31,10143.84,,
1990-12-31,10214.3,,
1991-12-31,9973.07,,
1992-12-31,10517.72,,
1993-12-31,10310.2,,
1994-12-31,10061.4,,
1995-12-31,10301.71,,
1996-12-31,10163.92,,
1997-12-31,10012.45,,
1998-12-31,9910.91,,
1999-12-31,10012.55,,
2000-12-31,9903.13,,
2001-12-31,10091.59,,
2002-12-31,9879.15,,
2003-12-31,9863.43,,
2004-12-31,9792.98,,
2005-12-31,9297.7,,
2006-12-31,,9660.23,9715.83
2007-12-31,,9562.25,9736.35
2008-12-31,,9796.34,9729.5
2009-12-31,,9653.91,9775.56
2010-12-31,,9702.28,9816.87
2011-12-31,,9667.92,9676.66
2012-12-31,,9546.63,9438.76
2013-12-31,,9674.7,9739.44
2014-12-31,,9662.32,9616.05
2015-12-31,,9566.84,9724.93
2016-12-31,,9641.15,9623.54
2017-12-31,,9635.93,9459.95
2018-12-31,,9627.78,9347.23
2019-12-31,,9491.15,9439.33
2020-12-31,,9494.85,9423.28
2021-12-31,,9548.23,9382.97
2022-12-31,,9335.5,9291.89
2023-12-31,,9331.88,9334.9
2024-12-31,,9367.99,9279.76
2025-12-31,,9172.19,9377.09
2026-12-31,,9074.09,9251.08
2027-12-31,,9324.16,9303.22
2028-12-31,,9185.17,9063.87
2029-12-31,,9130.66,9072.31
2030-12-31,,9212.74,8952.69
2031-12-31,,9158.17,9159.38
2032-12-31,,9131.19,9264.24
2033-12-31,,9063.66,8964.65
2034-12-31,,9117.54,9046.47
2035-12-31,,8929.23,8914.55
2036-12-31,,8980.48,8966.73
2037-12-31,,9129.84,8769.92
2038-12-31,,9026.28,8839.42
2039-12-31,,8937.61,8862.09
2040-12-31,,9159.25,8829.25
2041-12-31,,8928.01,8833.57
2042-12-31,,8967.52,8669.93
2043-12-31,,8961.29,8679.42
2044-12-31,,8979.25,8778.51
2045-12-31,,8813.25,8594.51
2046-12-31,,8813.06,8490.02
2047-12-31,,8738.85,8494.08
2048-12-31,,8832.64,8544.01
2049-12-31,,8689.29,8414.01
2050-12-31,,8626.87,8218.2
2051-12-31,,8742.06,8391.31
2052-12-31,,8631.23,8357.63
2053-12-31,,8597.71,8211.26
2054-12-31,,8647.85,8135.78
2055-12-31,,8687.08,8158.97
2056-12-31,,8845.26,8121.61
2057-12-31,,8655.59,7944.4
2058-12-31,,8464.85,7984.23
2059-12-31,,8528.45,7929.8
2060-12-31,,8757.32,8020.64
2061-12-31,,8584.76,7975.08
2062-12-31,,8595.22,7864.5
2063-12-31,,8616.47,7888.4
2064-12-31,,8667.04,7824.61
2065-12-31,,8448.11,7770.42
2066-12-31,,8474.94,7741.95
2067-12-31,,8590.66,7770.9
2068-12-31,,8658.63,7454.57
2069-12-31,,8431.06,7435.73
2070-12-31,,8558.54,7453.92
2071-12-31,,8527.54,7471.55
2072-12-31,,8321.39,7510.99
2073-12-31,,8404.64,7365.88
2074-12-31,,8378.17,7388.39
2075-12-31,,8383.71,7350.91
2076-12-31,,8212.65,7397.06
2077-12-31,,8352.18,7332.16
2078-12-31,,8371.5,7196.45
2079-12-31,,8330.86,7186.23
2080-12-31,,8537.46,7296.67
2081-12-31,,8401.94,7069.62
2082-12-31,,8240.46,6987.54
2083-12-31,,8178.56,7129.02
2084-12-31,,8402.4,7128.36
2085-12-31,,8403.41,7069.13
2086-12-31,,8352.14,6934.11
2087-12-31,,8315.73,6972.4
2088-12-31,,8326.56,6924.07
2089-12-31,,8358.98,6926.6
2090-12-31,,8395.63,6852.39
2091-12-31,,8368.63,6799.64
2092-12-31,,8248.88,6846.22
2093-12-31,,8231.01,6689.54
2094-12-31,,8306.37,6610.75
2095-12-31,,8289.6,6716.42
2096-12-31,,8369.04,6662.26
2097-12-31,,8354.46,6650.49
2098-12-31,,8407.79,6539.14
2099-12-31,,7578.52,5884.68
