,historical,rcp45,rcp85
1950-12-31,37.67,,
1951-12-31,39.2,,
1952-12-31,40.22,,
1953-12-31,37.88,,
1954-12-31,36.82,,
1955-12-31,43.46,,
1956-12-31,32.87,,
1957-12-31,33.2,,
1958-12-31,34.64,,
1959-12-31,37.93,,
1960-12-31,38.22,,
1961-12-31,30.78,,
1962-12-31,37.55,,
1963-12-31,43.81,,
1964-12-31,37.8,,
1965-12-31,32.96,,
1966-12-31,41.54,,
1967-12-31,36.72,,
1968-12-31,35.88,,
1969-12-31,38.14,,
1970-12-31,36.04,,
1971-12-31,34.96,,
1972-12-31,43.45,,
1973-12-31,41.24,,
1974-12-31,33.78,,
1975-12-31,42.28,,
1976-12-31,37.92,,
1977-12-31,35.58,,
1978-12-31,35.96,,
1979-12-31,33.69,,
1980-12-31,32.88,,
1981-12-31,38.63,,
1982-12-31,36.12,,
1983-12-31,41.44,,
1984-12-31,33.14,,
1985-12-31,36.02,,
1986-12-31,32.5,,
1987-12-31,34.03,,
1988-12-31,31.99,,
1989-12-31,38.21,,
1990-12-31,33.82,,
1991-12-31,41.23,,
1992-12-31,35.14,,
1993-12-31,33.3,,
1994-12-31,38.03,,
1995-12-31,39.19,,
1996-12-31,35.32,,
1997-12-31,33.14,,
1998-12-31,37.79,,
1999-12-31,34.29,,
2000-12-31,34.68,,
2001-12-31,35.65,,
2002-12-31,39.7,,
2003-12-31,41.95,,
2004-12-31,35.0,,
2005-12-31,35.88,,
2006-12-31,,37.78,36.26
2007-12-31,,37.5,37.14
2008-12-31,,37.73,38.84
2009-12-31,,33.93,49.72
2010-12-31,,35.82,32.49
2011-12-31,,36.87,37.9
2012-12-31,,42.1,37.44
2013-12-31,,36.95,40.89
2014-12-31,,44.08,31.99
2015-12-31,,37.34,35.88
2016-12-31,,41.22,39.8
2017-12-31,,34.22,46.3
2018-12-31,,35.54,40.2
2019-12-31,,34.27,32.85
2020-12-31,,36.8,39.31
2021-12-31,,37.46,34.61
2022-12-31,,38.08,37.25
2023-12-31,,40.13,46.04
2024-12-31,,35.43,36.82
2025-12-31,,39.61,39.45
2026-12-31,,37.09,39.38
2027-12-31,,43.69,43.77
2028-12-31,,34.95,35.48
2029-12-31,,41.34,42.41
2030-12-31,,40.63,35.11
2031-12-31,,40.19,32.07
2032-12-31,,38.5,46.69
2033-12-31,,34.42,44.18
2034-12-31,,36.67,39.76
2035-12-31,,37.79,35.58
2036-12-31,,39.1,39.21
2037-12-31,,38.96,42.41
2038-12-31,,34.75,40.75
2039-12-31,,39.53,39.04
2040-12-31,,41.64,45.6
2041-12-31,,36.09,37.96
2042-12-31,,43.49,35.53
2043-12-31,,36.17,42.87
2044-12-31,,44.39,35.02
2045-12-31,,40.9,39.45
2046-12-31,,36.34,38.71
2047-12-31,,37.11,38.94
2048-12-31,,35.4,39.66
2049-12-31,,37.06,36.86
2050-12-31,,35.76,36.77
2051-12-31,,42.95,43.93
2052-12-31,,35.73,43.54
2053-12-31,,41.25,47.8
2054-12-31,,43.73,37.93
2055-12-31,,40.23,38.85
2056-12-31,,48.44,41.52
2057-12-31,,39.06,36.3
2058-12-31,,36.32,43.94
2059-12-31,,37.76,40.15
2060-12-31,,43.35,42.53
2061-12-31,,39.89,43.84
2062-12-31,,39.65,36.96
2063-12-31,,38.86,36.5
2064-12-31,,35.47,36.81
2065-12-31,,38.02,41.04
2066-12-31,,35.9,39.51
2067-12-31,,36.19,44.37
2068-12-31,,36.48,31.7
2069-12-31,,43.65,43.56
2070-12-31,,37.76,41.29
2071-12-31,,41.7,44.87
2072-12-31,,35.51,45.47
2073-12-31,,40.52,36.99
2074-12-31,,37.2,37.58
2075-12-31,,35.8,37.74
2076-12-31,,41.68,45.79
2077-12-31,,40.1,39.17
2078-12-31,,40.56,44.85
2079-12-31,,32.06,52.62
2080-12-31,,35.88,43.91
2081-12-31,,41.7,47.38
2082-12-31,,34.41,44.7
2083-12-31,,42.63,47.12
2084-12-31,,46.56,41.48
2085-12-31,,37.96,39.28
2086-12-31,,35.73,42.21
2087-12-31,,40.25,41.56
2088-12-31,,42.41,47.04
2089-12-31,,44.45,40.83
2090-12-31,,35.13,39.52
2091-12-31,,40.93,50.66
2092-12-31,,37.49,45.27
2093-12-31,,40.17,45.57
2094-12-31,,46.82,49.36
2095-12-31,,42.37,41.73
2096-12-31,,39.83,40.84
2097-12-31,,53.98,43.82
2098-12-31,,45.7,55.3
2099-12-31,,34.75,40.4
