date,spei
1981-12-31,0.36
1982-12-31,-0.01
1983-12-31,-0.0
1984-12-31,-0.0
1985-12-31,-0.64
1986-12-31,-0.07
1987-12-31,-0.03
1988-12-31,-0.31
1989-12-31,-0.42
1990-12-31,0.23
1991-12-31,0.33
1992-12-31,0.48
1993-12-31,0.43
1994-12-31,0.04
1995-12-31,-0.22
1996-12-31,-0.23
1997-12-31,0.04
1998-12-31,0.43
1999-12-31,0.23
2000-12-31,0.63
2001-12-31,-0.2
2002-12-31,-0.21
2003-12-31,0.38
2004-12-31,-0.21
2005-12-31,-0.16
2006-12-31,0.1
2007-12-31,-0.2
2008-12-31,-0.13
2009-12-31,-0.2
2010-12-31,-0.06
2011-12-31,-0.19
2012-12-31,0.3
2013-12-31,-0.3
2014-12-31,-0.84
