date,spei
2015-12-31,-0.54
2016-12-31,-1.01
2017-12-31,-0.11
2018-12-31,0.34
2019-12-31,0.13
2020-12-31,0.14
2021-12-31,-0.36
2022-12-31,-0.69
2023-12-31,-0.65
2024-12-31,-0.61
2025-12-31,-0.62
2026-12-31,-0.36
2027-12-31,-0.54
2028-12-31,-0.55
2029-12-31,-0.58
2030-12-31,-0.28
2031-12-31,-0.49
2032-12-31,-0.71
2033-12-31,-0.17
2034-12-31,0.06
2035-12-31,-0.33
2036-12-31,-0.07
2037-12-31,-0.08
2038-12-31,-0.56
2039-12-31,-0.48
2040-12-31,-0.31
2041-12-31,-0.74
2042-12-31,0.03
2043-12-31,-0.22
2044-12-31,-0.57
2045-12-31,0.18
2046-12-31,0.25
2047-12-31,0.25
2048-12-31,-0.31
2049-12-31,-0.17
2050-12-31,-0.37
2051-12-31,-0.25
2052-12-31,-0.15
2053-12-31,-0.33
2054-12-31,-0.52
2055-12-31,-0.53
2056-12-31,-1.03
2057-12-31,-1.04
2058-12-31,-0.12
2059-12-31,0.22
2060-12-31,0.1
2061-12-31,0.14
2062-12-31,-0.23
2063-12-31,0.02
2064-12-31,-0.61
2065-12-31,-0.28
2066-12-31,-0.23
2067-12-31,-0.27
2068-12-31,-0.16
2069-12-31,-0.43
2070-12-31,-0.61
2071-12-31,0.32
2072-12-31,-0.4
2073-12-31,-0.72
2074-12-31,-0.28
2075-12-31,0.2
2076-12-31,-0.07
2077-12-31,0.06
2078-12-31,0.07
2079-12-31,-0.24
2080-12-31,-0.28
2081-12-31,-0.16
2082-12-31,-0.57
2083-12-31,-0.61
2084-12-31,-0.63
2085-12-31,-0.17
2086-12-31,-0.79
2087-12-31,-0.15
2088-12-31,-0.05
2089-12-31,-0.13
2090-12-31,-0.0
2091-12-31,0.04
2092-12-31,-0.83
2093-12-31,-0.82
2094-12-31,-0.36
2095-12-31,-0.04
2096-12-31,-0.03
2097-12-31,-0.13
2098-12-31,-0.27
2099-12-31,-0.15
2100-12-31,-0.27
