date,mean
2006-12-31,18.42
2007-12-31,18.7
2008-12-31,18.59
2009-12-31,18.31
2010-12-31,18.33
2011-12-31,18.56
2012-12-31,19.16
2013-12-31,18.8
2014-12-31,18.83
2015-12-31,18.41
2016-12-31,18.77
2017-12-31,18.65
2018-12-31,18.91
2019-12-31,19.28
2020-12-31,19.28
2021-12-31,18.99
2022-12-31,18.97
2023-12-31,19.04
2024-12-31,19.4
2025-12-31,19.06
2026-12-31,19.04
2027-12-31,19.09
2028-12-31,19.43
2029-12-31,19.27
2030-12-31,19.78
2031-12-31,19.62
2032-12-31,19.4
2033-12-31,19.6
2034-12-31,19.65
2035-12-31,19.72
2036-12-31,19.69
2037-12-31,19.95
2038-12-31,20.0
2039-12-31,19.95
2040-12-31,20.0
2041-12-31,20.13
2042-12-31,20.29
2043-12-31,20.24
2044-12-31,20.14
2045-12-31,20.28
2046-12-31,20.48
2047-12-31,20.51
2048-12-31,20.57
2049-12-31,20.89
2050-12-31,20.77
2051-12-31,20.6
2052-12-31,20.66
2053-12-31,20.81
2054-12-31,21.0
2055-12-31,20.87
2056-12-31,20.97
2057-12-31,21.02
2058-12-31,21.32
2059-12-31,21.44
2060-12-31,21.14
2061-12-31,21.31
2062-12-31,21.34
2063-12-31,21.42
2064-12-31,21.74
2065-12-31,21.78
2066-12-31,21.61
2067-12-31,21.67
2068-12-31,22.17
2069-12-31,22.31
2070-12-31,22.11
2071-12-31,22.21
2072-12-31,22.09
2073-12-31,22.37
2074-12-31,22.47
2075-12-31,22.45
2076-12-31,22.64
2077-12-31,22.55
2078-12-31,22.66
2079-12-31,22.74
2080-12-31,22.7
2081-12-31,22.88
2082-12-31,22.88
2083-12-31,23.04
2084-12-31,22.8
2085-12-31,23.16
2086-12-31,22.99
2087-12-31,23.2
2088-12-31,23.44
2089-12-31,23.47
2090-12-31,23.73
2091-12-31,23.4
2092-12-31,23.45
2093-12-31,24.01
2094-12-31,24.11
2095-12-31,23.51
2096-12-31,23.81
2097-12-31,23.78
2098-12-31,23.96
2099-12-31,25.09
