date,spei
2015-12-31,-0.37
2016-12-31,-0.12
2017-12-31,-0.07
2018-12-31,-0.59
2019-12-31,-0.11
2020-12-31,0.02
2021-12-31,-0.03
2022-12-31,0.25
2023-12-31,0.28
2024-12-31,0.0
2025-12-31,-0.01
2026-12-31,-0.43
2027-12-31,0.26
2028-12-31,0.44
2029-12-31,-0.03
2030-12-31,-0.31
2031-12-31,0.18
2032-12-31,0.11
2033-12-31,-0.58
2034-12-31,-0.54
2035-12-31,-0.18
2036-12-31,-0.21
2037-12-31,-0.22
2038-12-31,-0.55
2039-12-31,-0.15
2040-12-31,0.04
2041-12-31,-0.73
2042-12-31,-0.46
2043-12-31,0.09
2044-12-31,-0.33
2045-12-31,-0.05
2046-12-31,-0.29
2047-12-31,-0.24
2048-12-31,0.05
2049-12-31,-0.08
2050-12-31,-0.4
2051-12-31,-0.24
2052-12-31,0.17
2053-12-31,-0.06
2054-12-31,-0.43
2055-12-31,-0.41
2056-12-31,-0.09
2057-12-31,0.02
2058-12-31,0.28
2059-12-31,0.21
2060-12-31,0.04
2061-12-31,0.05
2062-12-31,-0.57
2063-12-31,-0.68
2064-12-31,-0.2
2065-12-31,-0.28
2066-12-31,-0.1
2067-12-31,-0.01
2068-12-31,-0.16
2069-12-31,-0.18
2070-12-31,-0.06
2071-12-31,-0.06
2072-12-31,0.42
2073-12-31,-0.06
2074-12-31,-0.01
2075-12-31,0.29
2076-12-31,-0.54
2077-12-31,-0.67
2078-12-31,0.11
2079-12-31,-0.02
2080-12-31,-0.1
2081-12-31,-0.1
2082-12-31,-0.34
2083-12-31,-0.63
2084-12-31,-0.45
2085-12-31,-0.17
2086-12-31,-0.4
2087-12-31,-0.44
2088-12-31,-0.36
2089-12-31,-0.88
2090-12-31,-0.62
2091-12-31,-0.11
2092-12-31,-1.11
2093-12-31,-0.32
2094-12-31,-0.38
2095-12-31,-0.22
2096-12-31,-0.73
2097-12-31,-0.43
2098-12-31,-0.15
2099-12-31,0.05
2100-12-31,0.06
