,historical,rcp45,rcp85
1950-12-31,5786.92,,
1951-12-31,5730.44,,
1952-12-31,5881.28,,
1953-12-31,5835.98,,
1954-12-31,5862.77,,
1955-12-31,5973.77,,
1956-12-31,5954.15,,
1957-12-31,5859.83,,
1958-12-31,5863.29,,
1959-12-31,5871.07,,
1960-12-31,5922.17,,
1961-12-31,5821.0,,
1962-12-31,5855.47,,
1963-12-31,5881.36,,
1964-12-31,6130.23,,
1965-12-31,6104.64,,
1966-12-31,5925.84,,
1967-12-31,5818.65,,
1968-12-31,6115.92,,
1969-12-31,5926.8,,
1970-12-31,6036.17,,
1971-12-31,5925.75,,
1972-12-31,5888.65,,
1973-12-31,5813.51,,
1974-12-31,6008.49,,
1975-12-31,5954.29,,
1976-12-31,5992.86,,
1977-12-31,5862.18,,
1978-12-31,5773.42,,
1979-12-31,5686.37,,
1980-12-31,5861.76,,
1981-12-31,5716.81,,
1982-12-31,5865.35,,
1983-12-31,5964.04,,
1984-12-31,5859.41,,
1985-12-31,5972.01,,
1986-12-31,5720.3,,
1987-12-31,5823.15,,
1988-12-31,5941.64,,
1989-12-31,5771.88,,
1990-12-31,5961.88,,
1991-12-31,5629.73,,
1992-12-31,6087.65,,
1993-12-31,5831.97,,
1994-12-31,5693.2,,
1995-12-31,5728.82,,
1996-12-31,5749.67,,
1997-12-31,5697.48,,
1998-12-31,5628.04,,
1999-12-31,5643.05,,
2000-12-31,5665.15,,
2001-12-31,5825.98,,
2002-12-31,5632.78,,
2003-12-31,5627.76,,
2004-12-31,5702.4,,
2005-12-31,5225.17,,
2006-12-31,,5419.49,5499.61
2007-12-31,,5368.55,5405.88
2008-12-31,,5604.94,5465.57
2009-12-31,,5441.96,5492.18
2010-12-31,,5542.09,5557.42
2011-12-31,,5418.64,5458.43
2012-12-31,,5492.04,5286.51
2013-12-31,,5525.42,5369.36
2014-12-31,,5324.09,5322.88
2015-12-31,,5392.0,5546.9
2016-12-31,,5477.01,5417.69
2017-12-31,,5362.69,5430.91
2018-12-31,,5456.15,5325.85
2019-12-31,,5270.19,5231.43
2020-12-31,,5369.82,5311.38
2021-12-31,,5380.22,5359.92
2022-12-31,,5360.7,5358.96
2023-12-31,,5224.31,5313.18
2024-12-31,,5196.44,5271.1
2025-12-31,,5161.44,5244.03
2026-12-31,,5054.19,5202.56
2027-12-31,,5221.66,5334.55
2028-12-31,,5204.35,5164.54
2029-12-31,,5217.56,5141.25
2030-12-31,,5103.56,4973.88
2031-12-31,,5245.28,5120.08
2032-12-31,,5197.54,5151.07
2033-12-31,,5038.69,4974.09
2034-12-31,,5143.58,5025.84
2035-12-31,,5057.87,5006.09
2036-12-31,,5113.14,5080.81
2037-12-31,,5212.56,5014.95
2038-12-31,,5018.76,4909.62
2039-12-31,,5072.11,4897.67
2040-12-31,,5124.61,4979.19
2041-12-31,,5032.29,4844.59
2042-12-31,,5142.18,4824.62
2043-12-31,,5069.32,4802.35
2044-12-31,,5093.03,4909.42
2045-12-31,,4896.69,4843.02
2046-12-31,,4902.53,4837.75
2047-12-31,,4882.42,4787.27
2048-12-31,,5011.18,4793.28
2049-12-31,,4927.63,4704.76
2050-12-31,,4923.06,4644.23
2051-12-31,,4971.92,4769.1
2052-12-31,,4772.28,4715.32
2053-12-31,,4871.26,4664.46
2054-12-31,,4745.28,4602.5
2055-12-31,,4848.2,4652.67
2056-12-31,,4894.5,4612.98
2057-12-31,,4804.59,4568.35
2058-12-31,,4665.09,4494.99
2059-12-31,,4876.99,4404.59
2060-12-31,,4934.92,4582.1
2061-12-31,,4830.58,4487.65
2062-12-31,,4782.44,4421.26
2063-12-31,,4841.58,4407.78
2064-12-31,,4800.89,4446.27
2065-12-31,,4703.01,4389.85
2066-12-31,,4730.18,4381.73
2067-12-31,,4747.86,4462.69
2068-12-31,,4847.46,4231.88
2069-12-31,,4749.24,4180.54
2070-12-31,,4764.58,4172.39
2071-12-31,,4681.71,4193.27
2072-12-31,,4753.79,4194.02
2073-12-31,,4790.4,4127.83
2074-12-31,,4772.66,4113.52
2075-12-31,,4760.04,4139.98
2076-12-31,,4738.71,4109.27
2077-12-31,,4677.61,4174.89
2078-12-31,,4697.0,4034.07
2079-12-31,,4766.73,4026.95
2080-12-31,,4757.85,4037.25
2081-12-31,,4649.11,3966.82
2082-12-31,,4581.64,3907.42
2083-12-31,,4525.71,3940.0
2084-12-31,,4661.87,4023.38
2085-12-31,,4636.88,3948.97
2086-12-31,,4703.73,3950.33
2087-12-31,,4749.25,3852.78
2088-12-31,,4719.82,3894.52
2089-12-31,,4748.41,3855.37
2090-12-31,,4735.17,3892.96
2091-12-31,,4750.14,3764.34
2092-12-31,,4607.15,3885.18
2093-12-31,,4626.79,3704.19
2094-12-31,,4698.67,3710.85
2095-12-31,,4644.32,3827.8
2096-12-31,,4689.78,3762.41
2097-12-31,,4649.01,3770.77
2098-12-31,,4722.48,3676.86
2099-12-31,,3992.81,3169.34
