date,mean
1950-12-31,20.83
1951-12-31,20.89
1952-12-31,20.83
1953-12-31,21.06
1954-12-31,20.69
1955-12-31,20.76
1956-12-31,20.86
1957-12-31,20.67
1958-12-31,20.67
1959-12-31,20.77
1960-12-31,20.75
1961-12-31,20.86
1962-12-31,20.89
1963-12-31,20.87
1964-12-31,20.41
1965-12-31,20.31
1966-12-31,20.48
1967-12-31,20.9
1968-12-31,20.5
1969-12-31,20.44
1970-12-31,20.35
1971-12-31,20.7
1972-12-31,20.74
1973-12-31,20.79
1974-12-31,20.57
1975-12-31,20.66
1976-12-31,20.67
1977-12-31,20.93
1978-12-31,20.87
1979-12-31,21.17
1980-12-31,21.18
1981-12-31,21.09
1982-12-31,20.78
1983-12-31,20.45
1984-12-31,20.77
1985-12-31,20.96
1986-12-31,21.09
1987-12-31,20.91
1988-12-31,21.15
1989-12-31,21.14
1990-12-31,21.28
1991-12-31,21.28
1992-12-31,20.69
1993-12-31,20.89
1994-12-31,21.5
1995-12-31,21.13
1996-12-31,21.11
1997-12-31,21.34
1998-12-31,21.75
1999-12-31,21.25
2000-12-31,21.52
2001-12-31,21.28
2002-12-31,21.81
2003-12-31,21.73
2004-12-31,21.71
2005-12-31,22.24
