date,mean
2006-12-31,24.67
2007-12-31,24.64
2008-12-31,24.68
2009-12-31,24.75
2010-12-31,24.8
2011-12-31,24.73
2012-12-31,24.87
2013-12-31,24.75
2014-12-31,24.6
2015-12-31,24.67
2016-12-31,24.5
2017-12-31,24.6
2018-12-31,24.83
2019-12-31,24.86
2020-12-31,24.84
2021-12-31,24.69
2022-12-31,25.03
2023-12-31,25.07
2024-12-31,25.23
2025-12-31,25.06
2026-12-31,25.42
2027-12-31,25.04
2028-12-31,25.18
2029-12-31,25.51
2030-12-31,25.23
2031-12-31,25.28
2032-12-31,25.43
2033-12-31,25.39
2034-12-31,25.6
2035-12-31,25.3
2036-12-31,25.37
2037-12-31,25.32
2038-12-31,25.39
2039-12-31,25.51
2040-12-31,25.43
2041-12-31,25.59
2042-12-31,25.66
2043-12-31,25.65
2044-12-31,25.69
2045-12-31,25.78
2046-12-31,25.76
2047-12-31,25.97
2048-12-31,25.72
2049-12-31,25.67
2050-12-31,26.02
2051-12-31,25.96
2052-12-31,26.14
2053-12-31,26.06
2054-12-31,26.08
2055-12-31,26.0
2056-12-31,25.87
2057-12-31,26.15
2058-12-31,26.5
2059-12-31,26.14
2060-12-31,25.92
2061-12-31,26.31
2062-12-31,26.38
2063-12-31,26.06
2064-12-31,26.18
2065-12-31,26.27
2066-12-31,26.17
2067-12-31,26.21
2068-12-31,26.2
2069-12-31,26.38
2070-12-31,26.21
2071-12-31,26.35
2072-12-31,26.56
2073-12-31,26.44
2074-12-31,26.41
2075-12-31,26.41
2076-12-31,26.55
2077-12-31,26.47
2078-12-31,26.43
2079-12-31,26.42
2080-12-31,26.37
2081-12-31,26.38
2082-12-31,26.49
2083-12-31,26.52
2084-12-31,26.33
2085-12-31,26.28
2086-12-31,26.43
2087-12-31,26.34
2088-12-31,26.44
2089-12-31,26.35
2090-12-31,26.42
2091-12-31,26.45
2092-12-31,26.58
2093-12-31,26.42
2094-12-31,26.59
2095-12-31,26.56
2096-12-31,26.53
2097-12-31,26.48
2098-12-31,26.42
2099-12-31,27.33
