date,mean
2006-12-31,1.55
2007-12-31,1.9
2008-12-31,1.64
2009-12-31,1.9
2010-12-31,1.68
2011-12-31,1.55
2012-12-31,1.83
2013-12-31,1.44
2014-12-31,1.65
2015-12-31,1.46
2016-12-31,1.9
2017-12-31,1.97
2018-12-31,1.66
2019-12-31,1.63
2020-12-31,1.65
2021-12-31,1.57
2022-12-31,1.76
2023-12-31,1.88
2024-12-31,1.65
2025-12-31,1.77
2026-12-31,1.86
2027-12-31,1.93
2028-12-31,1.68
2029-12-31,1.87
2030-12-31,1.63
2031-12-31,1.67
2032-12-31,1.83
2033-12-31,1.7
2034-12-31,1.8
2035-12-31,1.67
2036-12-31,1.72
2037-12-31,1.64
2038-12-31,1.8
2039-12-31,1.93
2040-12-31,1.7
2041-12-31,1.59
2042-12-31,1.7
2043-12-31,1.77
2044-12-31,1.74
2045-12-31,1.58
2046-12-31,1.72
2047-12-31,1.65
2048-12-31,1.64
2049-12-31,1.65
2050-12-31,1.82
2051-12-31,1.78
2052-12-31,1.9
2053-12-31,1.45
2054-12-31,1.58
2055-12-31,1.62
2056-12-31,1.57
2057-12-31,1.73
2058-12-31,1.78
2059-12-31,1.83
2060-12-31,1.71
2061-12-31,1.57
2062-12-31,1.85
2063-12-31,1.83
2064-12-31,1.5
2065-12-31,1.62
2066-12-31,1.71
2067-12-31,1.49
2068-12-31,1.9
2069-12-31,1.68
2070-12-31,1.83
2071-12-31,1.84
2072-12-31,1.86
2073-12-31,1.89
2074-12-31,1.6
2075-12-31,2.02
2076-12-31,1.86
2077-12-31,1.85
2078-12-31,1.92
2079-12-31,1.91
2080-12-31,2.34
2081-12-31,1.65
2082-12-31,1.75
2083-12-31,1.81
2084-12-31,1.8
2085-12-31,1.98
2086-12-31,1.73
2087-12-31,1.72
2088-12-31,1.82
2089-12-31,1.59
2090-12-31,1.91
2091-12-31,1.88
2092-12-31,1.9
2093-12-31,1.71
2094-12-31,1.9
2095-12-31,1.75
2096-12-31,1.8
2097-12-31,1.78
2098-12-31,1.98
2099-12-31,1.44
