date,mean
2006-12-31,1.7
2007-12-31,1.44
2008-12-31,1.48
2009-12-31,1.8
2010-12-31,1.51
2011-12-31,1.77
2012-12-31,1.51
2013-12-31,1.43
2014-12-31,1.75
2015-12-31,1.74
2016-12-31,1.76
2017-12-31,1.5
2018-12-31,1.67
2019-12-31,1.52
2020-12-31,1.74
2021-12-31,1.56
2022-12-31,1.78
2023-12-31,1.7
2024-12-31,1.51
2025-12-31,1.8
2026-12-31,1.62
2027-12-31,1.68
2028-12-31,1.65
2029-12-31,1.48
2030-12-31,1.65
2031-12-31,1.74
2032-12-31,1.58
2033-12-31,1.72
2034-12-31,1.53
2035-12-31,1.76
2036-12-31,1.71
2037-12-31,1.91
2038-12-31,1.73
2039-12-31,1.64
2040-12-31,1.6
2041-12-31,1.45
2042-12-31,1.64
2043-12-31,1.38
2044-12-31,1.84
2045-12-31,1.41
2046-12-31,1.44
2047-12-31,1.61
2048-12-31,1.77
2049-12-31,1.73
2050-12-31,1.76
2051-12-31,1.61
2052-12-31,1.65
2053-12-31,1.78
2054-12-31,1.7
2055-12-31,1.61
2056-12-31,1.6
2057-12-31,1.48
2058-12-31,1.49
2059-12-31,1.72
2060-12-31,1.83
2061-12-31,1.95
2062-12-31,1.82
2063-12-31,1.92
2064-12-31,1.52
2065-12-31,1.79
2066-12-31,1.98
2067-12-31,1.55
2068-12-31,1.49
2069-12-31,1.44
2070-12-31,1.66
2071-12-31,1.42
2072-12-31,1.54
2073-12-31,1.56
2074-12-31,1.76
2075-12-31,1.54
2076-12-31,1.56
2077-12-31,2.0
2078-12-31,2.01
2079-12-31,1.59
2080-12-31,1.6
2081-12-31,1.81
2082-12-31,1.78
2083-12-31,1.77
2084-12-31,1.77
2085-12-31,1.75
2086-12-31,1.78
2087-12-31,1.59
2088-12-31,1.87
2089-12-31,1.58
2090-12-31,1.84
2091-12-31,1.66
2092-12-31,1.74
2093-12-31,1.57
2094-12-31,1.53
2095-12-31,1.67
2096-12-31,1.66
2097-12-31,1.84
2098-12-31,1.77
2099-12-31,1.65
