,historical,rcp45,rcp85
1950-12-31,58.96,,
1951-12-31,64.48,,
1952-12-31,65.44,,
1953-12-31,53.15,,
1954-12-31,58.23,,
1955-12-31,58.82,,
1956-12-31,70.66,,
1957-12-31,76.64,,
1958-12-31,51.86,,
1959-12-31,54.9,,
1960-12-31,73.33,,
1961-12-31,58.39,,
1962-12-31,65.2,,
1963-12-31,51.19,,
1964-12-31,57.59,,
1965-12-31,69.2,,
1966-12-31,59.54,,
1967-12-31,58.79,,
1968-12-31,65.85,,
1969-12-31,70.49,,
1970-12-31,54.68,,
1971-12-31,67.07,,
1972-12-31,63.37,,
1973-12-31,61.42,,
1974-12-31,69.94,,
1975-12-31,65.77,,
1976-12-31,65.51,,
1977-12-31,57.71,,
1978-12-31,56.18,,
1979-12-31,54.21,,
1980-12-31,68.76,,
1981-12-31,70.73,,
1982-12-31,67.94,,
1983-12-31,56.64,,
1984-12-31,65.0,,
1985-12-31,68.68,,
1986-12-31,63.76,,
1987-12-31,65.23,,
1988-12-31,64.4,,
1989-12-31,60.64,,
1990-12-31,59.57,,
1991-12-31,67.43,,
1992-12-31,68.09,,
1993-12-31,65.32,,
1994-12-31,62.89,,
1995-12-31,62.74,,
1996-12-31,67.39,,
1997-12-31,67.25,,
1998-12-31,63.41,,
1999-12-31,59.97,,
2000-12-31,67.22,,
2001-12-31,73.28,,
2002-12-31,64.61,,
2003-12-31,63.14,,
2004-12-31,69.67,,
2005-12-31,76.03,,
2006-12-31,,67.43,70.21
2007-12-31,,53.38,169.98
2008-12-31,,59.95,57.92
2009-12-31,,74.4,116.0
2010-12-31,,57.71,76.11
2011-12-31,,67.8,83.4
2012-12-31,,60.56,88.27
2013-12-31,,62.19,59.34
2014-12-31,,79.54,80.57
2015-12-31,,64.11,65.52
2016-12-31,,63.93,73.41
2017-12-31,,62.42,85.76
2018-12-31,,67.96,68.89
2019-12-31,,58.79,69.04
2020-12-31,,77.11,73.9
2021-12-31,,64.85,67.01
2022-12-31,,68.98,78.44
2023-12-31,,59.31,111.59
2024-12-31,,62.24,68.48
2025-12-31,,64.54,81.25
2026-12-31,,60.73,73.29
2027-12-31,,66.33,77.54
2028-12-31,,63.36,77.61
2029-12-31,,65.44,89.05
2030-12-31,,74.37,65.48
2031-12-31,,66.9,74.02
2032-12-31,,65.74,96.34
2033-12-31,,71.35,69.46
2034-12-31,,59.49,76.6
2035-12-31,,70.25,68.17
2036-12-31,,60.68,74.18
2037-12-31,,71.06,65.52
2038-12-31,,72.61,79.99
2039-12-31,,66.84,156.14
2040-12-31,,63.27,75.4
2041-12-31,,65.11,75.43
2042-12-31,,77.0,72.05
2043-12-31,,55.21,95.88
2044-12-31,,69.87,75.42
2045-12-31,,64.49,71.55
2046-12-31,,73.52,75.95
2047-12-31,,70.77,75.9
2048-12-31,,64.42,73.97
2049-12-31,,68.23,84.55
2050-12-31,,68.54,100.03
2051-12-31,,63.75,78.3
2052-12-31,,66.81,84.43
2053-12-31,,78.04,68.58
2054-12-31,,77.62,74.45
2055-12-31,,59.95,63.53
2056-12-31,,67.02,63.43
2057-12-31,,54.59,83.8
2058-12-31,,62.25,83.29
2059-12-31,,73.55,71.77
2060-12-31,,75.3,76.1
2061-12-31,,75.32,62.73
2062-12-31,,71.28,82.46
2063-12-31,,75.25,81.79
2064-12-31,,56.42,65.28
2065-12-31,,66.44,82.33
2066-12-31,,76.01,73.63
2067-12-31,,67.5,63.08
2068-12-31,,60.19,88.79
2069-12-31,,61.86,66.97
2070-12-31,,67.92,73.84
2071-12-31,,59.95,77.93
2072-12-31,,68.44,74.73
2073-12-31,,70.29,82.67
2074-12-31,,79.52,75.27
2075-12-31,,65.98,106.44
2076-12-31,,61.76,82.03
2077-12-31,,77.55,93.14
2078-12-31,,86.77,78.25
2079-12-31,,65.27,86.82
2080-12-31,,65.29,214.96
2081-12-31,,84.62,86.52
2082-12-31,,70.7,77.97
2083-12-31,,68.3,74.28
2084-12-31,,66.11,80.92
2085-12-31,,70.1,113.63
2086-12-31,,68.55,76.56
2087-12-31,,62.42,74.53
2088-12-31,,80.76,77.86
2089-12-31,,59.26,62.18
2090-12-31,,74.3,75.05
2091-12-31,,69.3,91.08
2092-12-31,,67.32,76.88
2093-12-31,,68.51,84.29
2094-12-31,,67.17,83.79
2095-12-31,,79.05,76.74
2096-12-31,,64.32,99.3
2097-12-31,,73.21,82.97
2098-12-31,,71.44,133.05
2099-12-31,,58.71,82.25
